,symbol,time,open,high,low,close,volume,date
0,AAPL,2014-09-17 00:00:00-04:00,101.27,101.8,100.59,101.58,48206500,20140917
1,AAPL,2014-09-18 00:00:00-04:00,101.95,102.35,101.56,101.79,30962700,20140918
2,AAPL,2014-09-19 00:00:00-04:00,102.27,102.35,100.88,100.96,52332600,20140919
3,AAPL,2014-09-22 00:00:00-04:00,101.8,102.14,100.58,101.06,43234000,20140922
4,AAPL,2014-09-23 00:00:00-04:00,100.62,102.94,100.54,102.64,55748800,20140923
5,AAPL,2014-09-24 00:00:00-04:00,102.16,102.85,101.2,101.75,50448500,20140924
6,AAPL,2014-09-25 00:00:00-04:00,100.51,100.71,97.72,97.87,88977700,20140925
7,AAPL,2014-09-26 00:00:00-04:00,98.58,100.74,98.4,100.75,54959300,20140926
8,AAPL,2014-09-29 00:00:00-04:00,98.73,100.44,98.63,100.11,41582400,20140929
9,AAPL,2014-09-30 00:00:00-04:00,100.84,101.54,100.53,100.75,42856600,20140930
10,AAPL,2014-10-01 00:00:00-04:00,100.6,100.69,98.7,99.18,45160200,20141001
11,AAPL,2014-10-02 00:00:00-04:00,99.27,100.22,98.04,99.9,42775100,20141002
12,AAPL,2014-10-03 00:00:00-04:00,99.41,100.21,99.04,99.62,36970800,20141003
13,AAPL,2014-10-06 00:00:00-04:00,99.95,100.65,99.42,99.62,32968000,20141006
14,AAPL,2014-10-07 00:00:00-04:00,99.44,100.12,98.73,98.75,36864500,20141007
15,AAPL,2014-10-08 00:00:00-04:00,98.76,101.11,98.31,100.8,50568600,20141008
16,AAPL,2014-10-09 00:00:00-04:00,101.6,102.38,100.61,101.02,66578900,20141009
17,AAPL,2014-10-10 00:00:00-04:00,100.7,102.03,100.3,100.73,57155900,20141010
18,AAPL,2014-10-13 00:00:00-04:00,101.38,101.78,99.81,99.81,46007600,20141013
19,AAPL,2014-10-14 00:00:00-04:00,100.39,100.52,98.57,98.75,54782700,20141014
20,AAPL,2014-10-15 00:00:00-04:00,98.01,99.15,95.18,97.54,87340100,20141015
21,AAPL,2014-10-16 00:00:00-04:00,95.53,97.72,95.41,96.26,63384100,20141016
22,AAPL,2014-10-17 00:00:00-04:00,97.56,99.0,96.81,97.67,57270500,20141017
23,AAPL,2014-10-20 00:00:00-04:00,98.31,99.96,98.3,99.76,56825900,20141020
24,AAPL,2014-10-21 00:00:00-04:00,103.01,103.02,101.27,102.47,77998800,20141021
25,AAPL,2014-10-22 00:00:00-04:00,102.85,104.11,102.6,102.99,60138700,20141022
26,AAPL,2014-10-23 00:00:00-04:00,104.01,105.05,103.63,104.83,59662000,20141023
27,AAPL,2014-10-24 00:00:00-04:00,105.14,105.49,104.53,105.22,37255500,20141024
28,AAPL,2014-10-27 00:00:00-04:00,104.85,105.48,104.7,105.11,28810600,20141027
29,AAPL,2014-10-28 00:00:00-04:00,105.4,106.72,105.35,106.74,35884300,20141028
30,AAPL,2014-10-29 00:00:00-04:00,106.65,107.37,106.36,107.34,36422600,20141029
31,AAPL,2014-10-30 00:00:00-04:00,106.87,107.35,105.9,106.98,32943200,20141030
32,AAPL,2014-10-31 00:00:00-04:00,108.01,108.04,107.21,108.0,34692100,20141031
33,AAPL,2014-11-03 00:00:00-05:00,108.23,109.9,108.01,109.4,43140600,20141103
34,AAPL,2014-11-04 00:00:00-05:00,109.36,109.49,107.72,108.6,33223200,20141104
35,AAPL,2014-11-05 00:00:00-05:00,109.13,109.3,108.13,108.86,28276000,20141105
36,AAPL,2014-11-06 00:00:00-05:00,108.52,108.79,107.8,108.7,28509600,20141106
37,AAPL,2014-11-07 00:00:00-05:00,108.75,109.32,108.55,109.01,25564200,20141107
38,AAPL,2014-11-10 00:00:00-05:00,109.02,109.33,108.67,108.83,22650100,20141110
39,AAPL,2014-11-11 00:00:00-05:00,108.7,109.75,108.4,109.7,23418000,20141111
40,AAPL,2014-11-12 00:00:00-05:00,109.38,111.43,109.37,111.25,37893700,20141112
41,AAPL,2014-11-13 00:00:00-05:00,111.8,113.45,111.6,112.82,52621000,20141113
42,AAPL,2014-11-14 00:00:00-05:00,113.13,114.19,113.05,114.18,36758500,20141114
43,AAPL,2014-11-17 00:00:00-05:00,114.27,115.09,113.3,113.99,41046500,20141117
44,AAPL,2014-11-18 00:00:00-05:00,113.94,115.69,113.89,115.47,36269100,20141118
45,AAPL,2014-11-19 00:00:00-05:00,115.45,115.74,113.8,114.67,33690900,20141119
46,AAPL,2014-11-20 00:00:00-05:00,114.91,116.86,114.85,116.31,35632300,20141120
47,AAPL,2014-11-21 00:00:00-05:00,117.51,117.57,116.03,116.47,41116400,20141121
48,AAPL,2014-11-24 00:00:00-05:00,116.85,118.77,116.62,118.625,37228500,20141124
49,AAPL,2014-11-25 00:00:00-05:00,119.07,119.75,117.45,117.6,55438700,20141125
50,AAPL,2014-11-26 00:00:00-05:00,117.93,119.1,117.83,119.0,33727200,20141126
51,AAPL,2014-11-28 00:00:00-05:00,119.27,119.4,118.05,118.93,20151600,20141128
52,AAPL,2014-12-01 00:00:00-05:00,118.81,119.25,111.27,115.07,74359700,20141201
53,AAPL,2014-12-02 00:00:00-05:00,113.5,115.75,112.75,114.63,47390600,20141202
54,AAPL,2014-12-03 00:00:00-05:00,115.76,116.35,115.11,115.93,33890400,20141203
55,AAPL,2014-12-04 00:00:00-05:00,115.75,117.2,115.29,115.49,33302300,20141204
56,AAPL,2014-12-05 00:00:00-05:00,115.99,116.08,114.64,115.0,32882600,20141205
57,AAPL,2014-12-08 00:00:00-05:00,114.13,114.65,111.62,112.4,48217700,20141208
58,AAPL,2014-12-09 00:00:00-05:00,110.21,114.3,109.35,114.12,49851900,20141209
59,AAPL,2014-12-10 00:00:00-05:00,114.41,114.85,111.54,111.95,37880300,20141210
60,AAPL,2014-12-11 00:00:00-05:00,112.26,113.8,111.34,111.62,35262100,20141211
61,AAPL,2014-12-12 00:00:00-05:00,110.46,111.87,109.58,109.73,45717500,20141212
62,AAPL,2014-12-15 00:00:00-05:00,110.7,111.6,106.35,108.225,57481700,20141215
63,AAPL,2014-12-16 00:00:00-05:00,106.36,110.16,106.26,106.745,50347000,20141216
64,AAPL,2014-12-17 00:00:00-05:00,107.12,109.84,106.82,109.41,44896800,20141217
65,AAPL,2014-12-18 00:00:00-05:00,111.82,112.65,110.66,112.65,47261200,20141218
66,AAPL,2014-12-19 00:00:00-05:00,112.24,113.24,111.66,111.78,52742800,20141219
67,AAPL,2014-12-22 00:00:00-05:00,112.24,113.49,111.97,112.94,30517700,20141222
68,AAPL,2014-12-23 00:00:00-05:00,113.25,113.33,112.46,112.54,21452200,20141223
69,AAPL,2014-12-24 00:00:00-05:00,112.58,112.71,112.01,112.01,9250700,20141224
70,AAPL,2014-12-26 00:00:00-05:00,112.06,114.52,112.01,113.99,27630600,20141226
71,AAPL,2014-12-29 00:00:00-05:00,113.79,114.77,113.7,113.91,23254600,20141229
72,AAPL,2014-12-30 00:00:00-05:00,113.59,113.92,112.11,112.52,24922300,20141230
73,AAPL,2014-12-31 00:00:00-05:00,112.82,113.13,110.21,110.38,34817800,20141231
74,AAPL,2015-01-02 00:00:00-05:00,111.39,111.44,107.35,109.33,46192400,20150102
75,AAPL,2015-01-05 00:00:00-05:00,108.29,108.65,105.41,106.25,49264100,20150105
76,AAPL,2015-01-06 00:00:00-05:00,106.56,107.43,104.63,106.26,58459300,20150106
77,AAPL,2015-01-07 00:00:00-05:00,107.2,108.2,106.69,107.75,33861300,20150107
78,AAPL,2015-01-08 00:00:00-05:00,109.23,112.15,108.7,111.89,49406100,20150108
79,AAPL,2015-01-09 00:00:00-05:00,112.71,113.25,110.21,112.01,47606900,20150109
80,AAPL,2015-01-12 00:00:00-05:00,112.58,112.64,108.8,109.25,43715600,20150112
81,AAPL,2015-01-13 00:00:00-05:00,111.43,112.8,108.91,110.22,59604000,20150113
82,AAPL,2015-01-14 00:00:00-05:00,108.94,110.49,108.5,109.8,41002600,20150114
83,AAPL,2015-01-15 00:00:00-05:00,110.0,110.06,106.66,106.82,50509900,20150115
84,AAPL,2015-01-16 00:00:00-05:00,107.03,107.58,105.2,105.99,56860600,20150116
85,AAPL,2015-01-20 00:00:00-05:00,107.85,108.78,106.5,108.72,38176200,20150120
86,AAPL,2015-01-21 00:00:00-05:00,108.76,111.06,108.27,109.55,41973900,20150121
87,AAPL,2015-01-22 00:00:00-05:00,110.33,112.47,109.72,112.4,40339400,20150122
88,AAPL,2015-01-23 00:00:00-05:00,112.28,113.75,111.53,112.98,37495600,20150123
89,AAPL,2015-01-26 00:00:00-05:00,113.64,114.37,112.8,113.1,42963300,20150126
90,AAPL,2015-01-27 00:00:00-05:00,112.43,112.48,109.03,109.14,66236100,20150127
91,AAPL,2015-01-28 00:00:00-05:00,117.63,118.12,115.32,115.31,122499800,20150128
92,AAPL,2015-01-29 00:00:00-05:00,116.36,119.19,115.56,118.9,73217800,20150129
93,AAPL,2015-01-30 00:00:00-05:00,118.4,120.0,116.85,117.16,68466100,20150130
94,AAPL,2015-02-02 00:00:00-05:00,118.04,119.17,116.08,118.63,54174500,20150202
95,AAPL,2015-02-03 00:00:00-05:00,118.46,119.09,117.61,118.65,42829300,20150203
96,AAPL,2015-02-04 00:00:00-05:00,118.5,120.51,118.3,119.56,62037000,20150204
97,AAPL,2015-02-05 00:00:00-05:00,120.02,120.23,119.25,119.94,35472200,20150205
98,AAPL,2015-02-06 00:00:00-05:00,120.05,120.25,118.45,118.93,38184300,20150206
99,AAPL,2015-02-09 00:00:00-05:00,118.55,119.84,118.43,119.72,33208500,20150209
100,AAPL,2015-02-10 00:00:00-05:00,120.17,122.15,120.16,122.02,51821400,20150210
101,AAPL,2015-02-11 00:00:00-05:00,122.86,124.92,122.5,124.88,62765800,20150211
102,AAPL,2015-02-12 00:00:00-05:00,126.06,127.48,125.57,126.46,64600500,20150212
103,AAPL,2015-02-13 00:00:00-05:00,127.3,127.31,125.65,127.08,45571600,20150213
104,AAPL,2015-02-17 00:00:00-05:00,127.37,128.88,126.92,127.83,53815000,20150217
105,AAPL,2015-02-18 00:00:00-05:00,127.58,128.78,127.45,128.715,37796000,20150218
106,AAPL,2015-02-19 00:00:00-05:00,128.48,129.03,128.33,128.45,32533200,20150219
107,AAPL,2015-02-20 00:00:00-05:00,128.62,129.5,128.05,129.495,41738900,20150220
108,AAPL,2015-02-23 00:00:00-05:00,130.03,133.0,129.66,133.0,57282100,20150223
109,AAPL,2015-02-24 00:00:00-05:00,132.94,133.6,131.17,132.17,60839100,20150224
110,AAPL,2015-02-25 00:00:00-05:00,131.56,131.6,128.15,128.79,66073800,20150225
111,AAPL,2015-02-26 00:00:00-05:00,128.83,130.87,126.61,130.415,79923900,20150226
112,AAPL,2015-02-27 00:00:00-05:00,130.0,130.57,128.24,128.46,49192500,20150227
113,AAPL,2015-03-02 00:00:00-05:00,129.25,130.28,128.3,129.09,40582400,20150302
114,AAPL,2015-03-03 00:00:00-05:00,128.97,129.52,128.09,129.36,32258700,20150303
115,AAPL,2015-03-04 00:00:00-05:00,129.1,129.56,128.32,128.54,25686100,20150304
116,AAPL,2015-03-05 00:00:00-05:00,128.58,128.75,125.76,126.41,49051200,20150305
117,AAPL,2015-03-06 00:00:00-05:00,128.4,129.37,126.26,126.6,61042400,20150306
