,symbol,time,open,high,low,close,volume,date
0,AMZN,2014-09-17 00:00:00-04:00,327.76,328.0,321.52,324.0,3096300,20140917
1,AMZN,2014-09-18 00:00:00-04:00,325.36,327.1,323.71,325.0,1916800,20140918
2,AMZN,2014-09-19 00:00:00-04:00,327.56,332.76,325.57,331.32,4589200,20140919
3,AMZN,2014-09-22 00:00:00-04:00,328.49,329.49,321.06,324.5,2393500,20140922
4,AMZN,2014-09-23 00:00:00-04:00,322.46,327.6,321.25,323.63,1789000,20140923
5,AMZN,2014-09-24 00:00:00-04:00,324.17,329.44,319.56,328.21,1981300,20140924
6,AMZN,2014-09-25 00:00:00-04:00,327.99,328.54,321.4,321.93,2286700,20140925
7,AMZN,2014-09-26 00:00:00-04:00,320.6,323.5,317.64,323.21,2877900,20140926
8,AMZN,2014-09-29 00:00:00-04:00,320.5,323.75,319.0,321.82,1449100,20140929
9,AMZN,2014-09-30 00:00:00-04:00,321.36,323.43,318.51,322.44,1812500,20140930
10,AMZN,2014-10-01 00:00:00-04:00,322.04,322.17,315.55,317.46,2356400,20141001
11,AMZN,2014-10-02 00:00:00-04:00,316.86,318.53,311.31,318.41,2833600,20141002
12,AMZN,2014-10-03 00:00:00-04:00,320.36,325.16,319.53,322.74,2304000,20141003
13,AMZN,2014-10-06 00:00:00-04:00,323.5,324.13,319.6,322.2,1716000,20141006
14,AMZN,2014-10-07 00:00:00-04:00,319.43,322.0,316.67,316.98,1809100,20141007
15,AMZN,2014-10-08 00:00:00-04:00,316.58,324.11,314.14,322.7,2714700,20141008
16,AMZN,2014-10-09 00:00:00-04:00,321.49,322.27,314.52,315.37,2715700,20141009
17,AMZN,2014-10-10 00:00:00-04:00,314.02,317.77,311.38,311.39,2843600,20141010
18,AMZN,2014-10-13 00:00:00-04:00,309.87,313.2,303.47,306.45,3398800,20141013
19,AMZN,2014-10-14 00:00:00-04:00,308.0,312.24,305.75,308.31,2475300,20141014
20,AMZN,2014-10-15 00:00:00-04:00,304.35,307.9,299.1,305.97,3998800,20141015
21,AMZN,2014-10-16 00:00:00-04:00,293.83,306.82,293.83,302.86,3623500,20141016
22,AMZN,2014-10-17 00:00:00-04:00,307.28,309.2,302.72,303.64,3452400,20141017
23,AMZN,2014-10-20 00:00:00-04:00,302.95,306.53,302.02,306.21,2502500,20141020
24,AMZN,2014-10-21 00:00:00-04:00,309.9,315.64,307.07,315.33,2772400,20141021
25,AMZN,2014-10-22 00:00:00-04:00,315.43,318.98,312.64,312.97,2201500,20141022
26,AMZN,2014-10-23 00:00:00-04:00,313.16,316.8,311.4,313.18,3906700,20141023
27,AMZN,2014-10-24 00:00:00-04:00,284.4,293.81,284.0,287.06,16007300,20141024
28,AMZN,2014-10-27 00:00:00-04:00,285.47,290.42,285.02,289.97,4651100,20141027
29,AMZN,2014-10-28 00:00:00-04:00,289.76,298.0,289.76,295.59,4358400,20141028
30,AMZN,2014-10-29 00:00:00-04:00,299.11,299.74,293.07,294.12,3976500,20141029
31,AMZN,2014-10-30 00:00:00-04:00,293.71,299.74,292.36,299.07,3349700,20141030
32,AMZN,2014-10-31 00:00:00-04:00,305.26,305.72,301.5,305.46,3509500,20141031
33,AMZN,2014-11-03 00:00:00-05:00,306.23,308.01,303.24,305.72,2549600,20141103
34,AMZN,2014-11-04 00:00:00-05:00,303.99,304.25,300.17,302.81,2631300,20141104
35,AMZN,2014-11-05 00:00:00-05:00,303.01,304.0,294.16,296.52,3785100,20141105
36,AMZN,2014-11-06 00:00:00-05:00,296.69,297.0,292.29,296.64,2909000,20141106
37,AMZN,2014-11-07 00:00:00-05:00,297.82,299.99,296.29,299.86,2039900,20141107
38,AMZN,2014-11-10 00:00:00-05:00,300.0,305.8,300.0,305.11,2113600,20141110
39,AMZN,2014-11-11 00:00:00-05:00,305.94,312.38,303.65,312.01,2963600,20141111
40,AMZN,2014-11-12 00:00:00-05:00,310.73,312.58,308.79,311.51,1593700,20141112
41,AMZN,2014-11-13 00:00:00-05:00,312.0,317.89,311.51,316.48,2956500,20141113
42,AMZN,2014-11-14 00:00:00-05:00,317.12,332.88,316.4,327.82,7148700,20141114
43,AMZN,2014-11-17 00:00:00-05:00,326.44,328.0,318.03,323.05,3834300,20141117
44,AMZN,2014-11-18 00:00:00-05:00,323.99,329.56,323.25,324.93,2831400,20141118
45,AMZN,2014-11-19 00:00:00-05:00,327.25,328.4,324.02,326.54,2553300,20141119
46,AMZN,2014-11-20 00:00:00-05:00,324.0,332.67,323.33,330.54,2741600,20141120
47,AMZN,2014-11-21 00:00:00-05:00,334.77,338.33,331.47,332.63,3477300,20141121
48,AMZN,2014-11-24 00:00:00-05:00,334.78,337.39,333.6,335.64,2098000,20141124
49,AMZN,2014-11-25 00:00:00-05:00,335.27,336.34,331.28,335.04,1843300,20141125
50,AMZN,2014-11-26 00:00:00-05:00,334.17,334.65,331.75,333.57,1413000,20141126
51,AMZN,2014-11-28 00:00:00-05:00,336.03,341.26,336.0,338.64,2301800,20141128
52,AMZN,2014-12-01 00:00:00-05:00,338.16,340.64,325.93,326.0,3890600,20141201
53,AMZN,2014-12-02 00:00:00-05:00,327.5,327.93,323.25,326.31,2120000,20141202
54,AMZN,2014-12-03 00:00:00-05:00,325.96,326.77,314.36,316.5,4609000,20141203
55,AMZN,2014-12-04 00:00:00-05:00,315.53,318.59,313.47,316.93,2542900,20141204
56,AMZN,2014-12-05 00:00:00-05:00,316.8,316.93,310.84,312.63,2555500,20141205
57,AMZN,2014-12-08 00:00:00-05:00,311.57,316.56,304.82,306.64,2892500,20141208
58,AMZN,2014-12-09 00:00:00-05:00,302.99,313.64,301.14,312.5,3218300,20141209
59,AMZN,2014-12-10 00:00:00-05:00,312.0,313.19,304.68,305.84,2450600,20141210
60,AMZN,2014-12-11 00:00:00-05:00,307.89,312.64,306.01,307.36,2484900,20141211
61,AMZN,2014-12-12 00:00:00-05:00,304.38,310.64,303.01,307.32,2396700,20141212
62,AMZN,2014-12-15 00:00:00-05:00,308.87,310.86,302.15,306.07,2898300,20141215
63,AMZN,2014-12-16 00:00:00-05:00,304.35,304.49,295.01,295.06,5377900,20141216
64,AMZN,2014-12-17 00:00:00-05:00,296.08,299.67,293.03,298.88,3593900,20141217
65,AMZN,2014-12-18 00:00:00-05:00,304.01,304.5,293.25,297.73,6299500,20141218
66,AMZN,2014-12-19 00:00:00-05:00,296.51,301.54,295.52,299.9,6568900,20141219
67,AMZN,2014-12-22 00:00:00-05:00,301.94,307.36,301.94,306.54,3025100,20141222
