,symbol,time,open,high,low,close,volume,date
0,BAC,2014-09-17 00:00:00-04:00,16.7,16.93,16.68,16.77,71070400,20140917
1,BAC,2014-09-18 00:00:00-04:00,16.88,17.15,16.87,17.04,101734600,20140918
2,BAC,2014-09-19 00:00:00-04:00,17.15,17.17,16.88,16.95,78808800,20140919
3,BAC,2014-09-22 00:00:00-04:00,17.09,17.17,16.99,17.03,97942500,20140922
4,BAC,2014-09-23 00:00:00-04:00,17.05,17.2,17.03,17.05,78483200,20140923
5,BAC,2014-09-24 00:00:00-04:00,17.12,17.19,16.97,17.18,76868500,20140924
6,BAC,2014-09-25 00:00:00-04:00,17.16,17.18,16.85,16.85,94292500,20140925
7,BAC,2014-09-26 00:00:00-04:00,16.91,17.05,16.89,17.03,61629500,20140926
8,BAC,2014-09-29 00:00:00-04:00,16.91,17.05,16.88,17.01,63641100,20140929
9,BAC,2014-09-30 00:00:00-04:00,17.08,17.11,16.97,17.05,71110400,20140930
10,BAC,2014-10-01 00:00:00-04:00,17.07,17.09,16.8,16.82,81639500,20141001
11,BAC,2014-10-02 00:00:00-04:00,16.86,16.99,16.63,16.88,104536100,20141002
12,BAC,2014-10-03 00:00:00-04:00,17.11,17.3,17.06,17.29,96692200,20141003
13,BAC,2014-10-06 00:00:00-04:00,17.37,17.41,17.22,17.29,59928100,20141006
14,BAC,2014-10-07 00:00:00-04:00,17.18,17.2,16.88,16.88,84928300,20141007
15,BAC,2014-10-08 00:00:00-04:00,16.88,17.12,16.72,17.12,92341400,20141008
16,BAC,2014-10-09 00:00:00-04:00,17.04,17.11,16.55,16.59,112063600,20141009
17,BAC,2014-10-10 00:00:00-04:00,16.52,16.77,16.36,16.48,109932900,20141010
18,BAC,2014-10-13 00:00:00-04:00,16.48,16.67,16.4,16.4,86179500,20141013
19,BAC,2014-10-14 00:00:00-04:00,16.51,16.63,16.36,16.52,87949900,20141014
20,BAC,2014-10-15 00:00:00-04:00,16.23,16.24,15.43,15.76,197339600,20141015
21,BAC,2014-10-16 00:00:00-04:00,15.61,16.25,15.52,16.08,137421200,20141016
22,BAC,2014-10-17 00:00:00-04:00,16.25,16.41,16.16,16.21,85294900,20141017
