,symbol,time,open,high,low,close,volume,date
0,CSCO,2014-09-17 00:00:00-04:00,25.13,25.31,25.07,25.205,21474800,20140917
1,CSCO,2014-09-18 00:00:00-04:00,25.21,25.27,25.15,25.22,13306100,20140918
2,CSCO,2014-09-19 00:00:00-04:00,25.26,25.3,25.01,25.2,29540300,20140919
3,CSCO,2014-09-22 00:00:00-04:00,25.19,25.19,24.86,24.97,18882200,20140922
4,CSCO,2014-09-23 00:00:00-04:00,24.87,25.03,24.67,24.7,15506500,20140923
5,CSCO,2014-09-24 00:00:00-04:00,24.73,25.04,24.63,24.98,15366200,20140924
6,CSCO,2014-09-25 00:00:00-04:00,24.96,24.96,24.5,24.54,21485000,20140925
7,CSCO,2014-09-26 00:00:00-04:00,24.5,25.09,24.46,25.0,26664700,20140926
8,CSCO,2014-09-29 00:00:00-04:00,24.73,25.2,24.73,25.12,25956900,20140929
9,CSCO,2014-09-30 00:00:00-04:00,24.9,25.25,24.85,25.17,29947400,20140930
10,CSCO,2014-10-01 00:00:00-04:00,25.2,25.25,24.94,25.03,40541100,20141001
11,CSCO,2014-10-02 00:00:00-04:00,25.05,25.11,24.75,25.06,26612200,20141002
12,CSCO,2014-10-03 00:00:00-04:00,25.2,25.37,25.04,25.31,25580600,20141003
13,CSCO,2014-10-06 00:00:00-04:00,25.35,25.42,24.96,25.01,21465500,20141006
14,CSCO,2014-10-07 00:00:00-04:00,25.01,25.1,24.59,24.635,26693300,20141007
15,CSCO,2014-10-08 00:00:00-04:00,24.57,24.68,24.18,24.66,34936200,20141008
16,CSCO,2014-10-09 00:00:00-04:00,24.51,24.64,24.18,24.19,25847000,20141009
17,CSCO,2014-10-10 00:00:00-04:00,23.91,24.01,23.34,23.34,43096700,20141010
18,CSCO,2014-10-13 00:00:00-04:00,23.24,23.45,22.93,22.93,27296600,20141013
19,CSCO,2014-10-14 00:00:00-04:00,23.07,23.35,22.96,23.055,24892900,20141014
20,CSCO,2014-10-15 00:00:00-04:00,22.79,23.15,22.49,22.96,34253200,20141015
21,CSCO,2014-10-16 00:00:00-04:00,22.65,23.08,22.56,22.82,27342600,20141016
22,CSCO,2014-10-17 00:00:00-04:00,22.98,23.33,22.92,23.25,24451600,20141017
23,CSCO,2014-10-20 00:00:00-04:00,22.96,23.08,22.69,22.93,31112700,20141020
24,CSCO,2014-10-21 00:00:00-04:00,23.18,23.6,22.96,23.51,29733600,20141021
25,CSCO,2014-10-22 00:00:00-04:00,23.67,23.68,23.24,23.26,22376800,20141022
26,CSCO,2014-10-23 00:00:00-04:00,23.61,23.76,23.42,23.565,18454400,20141023
27,CSCO,2014-10-24 00:00:00-04:00,23.6,23.8,23.46,23.78,16787000,20141024
28,CSCO,2014-10-27 00:00:00-04:00,23.66,23.81,23.6,23.76,11980800,20141027
29,CSCO,2014-10-28 00:00:00-04:00,23.82,24.07,23.82,24.065,15228900,20141028
30,CSCO,2014-10-29 00:00:00-04:00,24.01,24.3,23.92,24.1,16903300,20141029
31,CSCO,2014-10-30 00:00:00-04:00,23.99,24.15,23.88,24.08,23712900,20141030
32,CSCO,2014-10-31 00:00:00-04:00,24.59,24.64,24.18,24.47,24375400,20141031
33,CSCO,2014-11-03 00:00:00-05:00,24.45,24.59,24.45,24.58,13649800,20141103
34,CSCO,2014-11-04 00:00:00-05:00,24.58,24.91,24.57,24.88,20068900,20141104
35,CSCO,2014-11-05 00:00:00-05:00,24.97,25.17,24.84,25.15,19031500,20141105
36,CSCO,2014-11-06 00:00:00-05:00,25.1,25.26,25.02,25.26,16066300,20141106
37,CSCO,2014-11-07 00:00:00-05:00,25.3,25.4,25.16,25.33,30662300,20141107
38,CSCO,2014-11-10 00:00:00-05:00,25.04,25.23,24.88,25.15,28839500,20141110
39,CSCO,2014-11-11 00:00:00-05:00,25.19,25.21,25.02,25.15,17438300,20141111
40,CSCO,2014-11-12 00:00:00-05:00,24.91,25.19,24.88,25.11,33760700,20141112
41,CSCO,2014-11-13 00:00:00-05:00,24.94,25.89,24.88,25.68,51935400,20141113
42,CSCO,2014-11-14 00:00:00-05:00,25.76,26.34,25.65,26.32,43937800,20141114
43,CSCO,2014-11-17 00:00:00-05:00,26.1,26.55,26.0,26.465,28587800,20141117
44,CSCO,2014-11-18 00:00:00-05:00,26.5,26.74,26.4,26.595,23987700,20141118
45,CSCO,2014-11-19 00:00:00-05:00,26.58,26.62,26.3,26.59,17553800,20141119
46,CSCO,2014-11-20 00:00:00-05:00,26.47,26.84,26.35,26.81,20520300,20141120
47,CSCO,2014-11-21 00:00:00-05:00,26.95,27.05,26.67,26.88,24479100,20141121
48,CSCO,2014-11-24 00:00:00-05:00,26.88,27.12,26.88,27.03,23030200,20141124
49,CSCO,2014-11-25 00:00:00-05:00,27.04,27.3,27.03,27.28,22188200,20141125
50,CSCO,2014-11-26 00:00:00-05:00,27.3,27.46,27.14,27.425,15812000,20141126
51,CSCO,2014-11-28 00:00:00-05:00,27.52,27.78,27.36,27.64,14536200,20141128
52,CSCO,2014-12-01 00:00:00-05:00,27.5,27.61,27.33,27.59,17019700,20141201
53,CSCO,2014-12-02 00:00:00-05:00,27.65,27.96,27.6,27.82,21278100,20141202
54,CSCO,2014-12-03 00:00:00-05:00,27.71,27.99,27.51,27.95,23653700,20141203
55,CSCO,2014-12-04 00:00:00-05:00,27.92,27.99,27.58,27.77,21479100,20141204
56,CSCO,2014-12-05 00:00:00-05:00,27.79,27.85,27.4,27.5,23166700,20141205
57,CSCO,2014-12-08 00:00:00-05:00,27.42,27.53,27.15,27.23,21857100,20141208
58,CSCO,2014-12-09 00:00:00-05:00,26.95,27.48,26.83,27.42,22300500,20141209
59,CSCO,2014-12-10 00:00:00-05:00,27.26,27.36,26.79,26.87,25137100,20141210
