,symbol,time,open,high,low,close,volume,date
0,CVX,2014-09-17 00:00:00-04:00,125.13,125.49,124.45,124.72,3019400,20140917
1,CVX,2014-09-18 00:00:00-04:00,124.85,125.04,123.85,124.14,3555300,20140918
2,CVX,2014-09-19 00:00:00-04:00,124.94,125.7,124.64,124.8,7489700,20140919
3,CVX,2014-09-22 00:00:00-04:00,124.6,124.92,123.47,123.49,4587100,20140922
4,CVX,2014-09-23 00:00:00-04:00,123.53,123.98,122.86,123.06,3994700,20140923
5,CVX,2014-09-24 00:00:00-04:00,123.07,123.07,120.85,122.4,6061300,20140924
6,CVX,2014-09-25 00:00:00-04:00,122.2,122.61,120.7,120.68,4750100,20140925
7,CVX,2014-09-26 00:00:00-04:00,120.55,122.04,120.02,121.47,4182000,20140926
8,CVX,2014-09-29 00:00:00-04:00,120.72,120.74,119.14,120.55,5457300,20140929
9,CVX,2014-09-30 00:00:00-04:00,120.51,120.51,118.66,119.32,5453600,20140930
10,CVX,2014-10-01 00:00:00-04:00,118.8,119.35,117.38,117.65,6163800,20141001
11,CVX,2014-10-02 00:00:00-04:00,117.7,117.9,116.13,117.11,6769700,20141002
12,CVX,2014-10-03 00:00:00-04:00,118.16,118.16,116.4,117.71,4838200,20141003
13,CVX,2014-10-06 00:00:00-04:00,117.91,119.05,117.28,118.09,4092800,20141006
14,CVX,2014-10-07 00:00:00-04:00,117.47,118.43,116.0,116.02,5449500,20141007
15,CVX,2014-10-08 00:00:00-04:00,115.83,118.25,115.15,117.95,7642600,20141008
16,CVX,2014-10-09 00:00:00-04:00,117.02,117.08,114.24,114.51,9356100,20141009
17,CVX,2014-10-10 00:00:00-04:00,114.7,115.73,112.88,113.89,7361000,20141010
18,CVX,2014-10-13 00:00:00-04:00,113.58,114.59,111.85,112.03,6108200,20141013
19,CVX,2014-10-14 00:00:00-04:00,112.6,113.05,109.1,109.78,9211100,20141014
20,CVX,2014-10-15 00:00:00-04:00,108.57,109.5,106.65,109.27,11905000,20141015
21,CVX,2014-10-16 00:00:00-04:00,107.94,111.32,107.2,111.06,9487000,20141016
22,CVX,2014-10-17 00:00:00-04:00,111.78,112.74,110.73,111.8,8132000,20141017
23,CVX,2014-10-20 00:00:00-04:00,111.53,112.28,110.97,111.49,7271100,20141020
24,CVX,2014-10-21 00:00:00-04:00,113.18,115.17,112.91,115.09,6923300,20141021
25,CVX,2014-10-22 00:00:00-04:00,115.2,116.24,113.91,114.0,5520200,20141022
26,CVX,2014-10-23 00:00:00-04:00,116.0,117.32,114.95,116.19,5648000,20141023
27,CVX,2014-10-24 00:00:00-04:00,116.19,116.26,114.53,115.91,4132600,20141024
28,CVX,2014-10-27 00:00:00-04:00,114.38,115.37,113.46,115.02,5217600,20141027
29,CVX,2014-10-28 00:00:00-04:00,116.17,117.27,115.16,117.13,4810300,20141028
30,CVX,2014-10-29 00:00:00-04:00,118.0,118.93,116.1,117.14,5633700,20141029
31,CVX,2014-10-30 00:00:00-04:00,116.18,117.25,115.57,117.2,3970500,20141030
32,CVX,2014-10-31 00:00:00-04:00,118.35,120.17,116.39,119.95,7936700,20141031
33,CVX,2014-11-03 00:00:00-05:00,119.83,119.97,116.46,116.78,8370700,20141103
34,CVX,2014-11-04 00:00:00-05:00,115.99,116.02,114.8,115.37,8031500,20141104
35,CVX,2014-11-05 00:00:00-05:00,117.27,117.3,114.86,117.05,5255700,20141105
36,CVX,2014-11-06 00:00:00-05:00,116.9,118.55,116.36,118.53,4446100,20141106
37,CVX,2014-11-07 00:00:00-05:00,118.75,119.73,118.36,118.8,5397200,20141107
38,CVX,2014-11-10 00:00:00-05:00,119.65,119.67,117.31,117.92,4638700,20141110
39,CVX,2014-11-11 00:00:00-05:00,117.95,118.67,117.3,118.44,3127000,20141111
40,CVX,2014-11-12 00:00:00-05:00,117.86,118.71,117.38,117.65,3609500,20141112
41,CVX,2014-11-13 00:00:00-05:00,117.09,117.47,115.64,116.45,6049500,20141113
42,CVX,2014-11-14 00:00:00-05:00,115.7,116.35,115.42,116.32,3547900,20141114
43,CVX,2014-11-17 00:00:00-05:00,115.96,116.15,115.27,115.75,3813400,20141117
44,CVX,2014-11-18 00:00:00-05:00,115.97,116.63,115.25,115.47,4197200,20141118
45,CVX,2014-11-19 00:00:00-05:00,115.97,116.68,115.07,116.47,3205500,20141119
46,CVX,2014-11-20 00:00:00-05:00,116.16,117.47,116.16,117.31,4128800,20141120
47,CVX,2014-11-21 00:00:00-05:00,118.79,118.91,117.73,118.58,5556400,20141121
48,CVX,2014-11-24 00:00:00-05:00,118.13,118.58,117.15,117.59,4264000,20141124
49,CVX,2014-11-25 00:00:00-05:00,117.8,117.82,115.63,116.15,4490500,20141125
50,CVX,2014-11-26 00:00:00-05:00,116.07,116.35,115.02,115.11,4603100,20141126
51,CVX,2014-11-28 00:00:00-05:00,111.59,111.69,108.43,108.87,9158600,20141128
52,CVX,2014-12-01 00:00:00-05:00,109.38,112.49,108.68,111.73,10855700,20141201
53,CVX,2014-12-02 00:00:00-05:00,111.27,114.56,110.89,114.02,6936200,20141202
54,CVX,2014-12-03 00:00:00-05:00,114.74,114.82,113.15,113.71,6221300,20141203
55,CVX,2014-12-04 00:00:00-05:00,113.08,113.08,111.01,112.28,6653400,20141204
56,CVX,2014-12-05 00:00:00-05:00,111.79,112.29,110.71,110.87,6080500,20141205
57,CVX,2014-12-08 00:00:00-05:00,109.89,110.88,106.41,106.8,11429600,20141208
58,CVX,2014-12-09 00:00:00-05:00,106.17,108.16,106.13,107.01,8778000,20141209
59,CVX,2014-12-10 00:00:00-05:00,106.3,106.3,103.07,104.86,11983800,20141210
60,CVX,2014-12-11 00:00:00-05:00,104.97,107.27,104.3,104.91,8305800,20141211
61,CVX,2014-12-12 00:00:00-05:00,103.76,104.35,102.37,102.38,9730100,20141212
62,CVX,2014-12-15 00:00:00-05:00,103.13,103.91,100.41,100.86,10825500,20141215
63,CVX,2014-12-16 00:00:00-05:00,100.53,104.47,100.15,101.7,10498400,20141216
64,CVX,2014-12-17 00:00:00-05:00,102.18,106.59,102.01,106.02,10912800,20141217
65,CVX,2014-12-18 00:00:00-05:00,108.01,109.01,105.49,109.03,10954800,20141218
66,CVX,2014-12-19 00:00:00-05:00,109.44,112.96,108.5,112.93,11848100,20141219
