,symbol,time,open,high,low,close,volume,date
0,DIS,2014-09-17 00:00:00-04:00,90.58,90.77,89.97,90.33,3125800,20140917
1,DIS,2014-09-18 00:00:00-04:00,90.31,90.5,89.91,90.34,3472800,20140918
2,DIS,2014-09-19 00:00:00-04:00,90.8,91.15,90.39,90.49,8479900,20140919
3,DIS,2014-09-22 00:00:00-04:00,90.49,90.61,89.19,89.29,4150700,20140922
4,DIS,2014-09-23 00:00:00-04:00,89.12,89.23,88.23,88.31,5083900,20140923
5,DIS,2014-09-24 00:00:00-04:00,88.36,89.64,88.24,89.45,4252300,20140924
6,DIS,2014-09-25 00:00:00-04:00,89.26,89.6,88.06,88.07,5610200,20140925
7,DIS,2014-09-26 00:00:00-04:00,88.15,88.89,87.91,88.74,4952400,20140926
8,DIS,2014-09-29 00:00:00-04:00,88.12,89.05,87.36,88.83,4500700,20140929
9,DIS,2014-09-30 00:00:00-04:00,88.84,89.54,88.54,89.03,3497200,20140930
10,DIS,2014-10-01 00:00:00-04:00,89.08,89.24,87.2,87.49,5997900,20141001
11,DIS,2014-10-02 00:00:00-04:00,87.5,87.66,84.65,86.79,9285000,20141002
12,DIS,2014-10-03 00:00:00-04:00,88.1,88.9,87.55,88.45,6237900,20141003
13,DIS,2014-10-06 00:00:00-04:00,88.79,89.18,88.07,88.56,3370300,20141006
14,DIS,2014-10-07 00:00:00-04:00,88.0,88.26,87.04,87.11,5266800,20141007
15,DIS,2014-10-08 00:00:00-04:00,87.06,88.15,86.33,88.11,5785400,20141008
16,DIS,2014-10-09 00:00:00-04:00,88.04,88.16,85.57,85.71,6977400,20141009
17,DIS,2014-10-10 00:00:00-04:00,85.92,87.0,85.4,86.27,10757300,20141010
18,DIS,2014-10-13 00:00:00-04:00,85.92,86.39,83.76,83.91,7817400,20141013
19,DIS,2014-10-14 00:00:00-04:00,84.75,85.52,83.9,84.14,7202100,20141014
20,DIS,2014-10-15 00:00:00-04:00,82.39,83.76,78.54,82.08,18936000,20141015
21,DIS,2014-10-16 00:00:00-04:00,79.93,82.47,79.55,81.74,11522300,20141016
22,DIS,2014-10-17 00:00:00-04:00,82.68,84.66,82.68,83.83,10670500,20141017
23,DIS,2014-10-20 00:00:00-04:00,84.23,85.61,84.15,85.52,7134100,20141020
24,DIS,2014-10-21 00:00:00-04:00,86.32,87.68,86.25,87.54,7798900,20141021
25,DIS,2014-10-22 00:00:00-04:00,87.94,88.61,86.98,87.1,7058000,20141022
26,DIS,2014-10-23 00:00:00-04:00,88.21,88.63,87.76,87.99,6015400,20141023
27,DIS,2014-10-24 00:00:00-04:00,87.91,88.66,87.58,88.61,4186700,20141024
28,DIS,2014-10-27 00:00:00-04:00,88.47,88.99,88.24,88.45,4581400,20141027
29,DIS,2014-10-28 00:00:00-04:00,89.04,89.96,88.95,89.93,3696400,20141028
30,DIS,2014-10-29 00:00:00-04:00,89.84,90.25,88.95,89.53,4443100,20141029
31,DIS,2014-10-30 00:00:00-04:00,89.44,90.54,88.91,90.22,3539700,20141030
32,DIS,2014-10-31 00:00:00-04:00,91.51,91.98,90.75,91.38,5839100,20141031
33,DIS,2014-11-03 00:00:00-05:00,91.24,91.82,91.0,91.71,4349200,20141103
34,DIS,2014-11-04 00:00:00-05:00,91.97,91.99,89.8,90.35,6759600,20141104
35,DIS,2014-11-05 00:00:00-05:00,91.6,91.6,89.59,91.0,5923700,20141105
36,DIS,2014-11-06 00:00:00-05:00,91.29,92.0,91.15,92.0,7666800,20141106
37,DIS,2014-11-07 00:00:00-05:00,89.39,90.02,88.65,90.0,13799800,20141107
38,DIS,2014-11-10 00:00:00-05:00,90.24,90.42,88.95,89.78,6520700,20141110
39,DIS,2014-11-11 00:00:00-05:00,90.01,90.03,89.13,89.98,4865100,20141111
40,DIS,2014-11-12 00:00:00-05:00,89.77,90.12,89.33,89.9,4104900,20141112
41,DIS,2014-11-13 00:00:00-05:00,90.1,90.71,90.03,90.49,3879500,20141113
42,DIS,2014-11-14 00:00:00-05:00,90.68,90.85,90.38,90.8,3093200,20141114
43,DIS,2014-11-17 00:00:00-05:00,90.5,90.78,90.05,90.41,3333000,20141117
44,DIS,2014-11-18 00:00:00-05:00,90.33,90.69,90.13,90.28,3514700,20141118
45,DIS,2014-11-19 00:00:00-05:00,90.26,90.28,89.18,89.82,6176500,20141119
46,DIS,2014-11-20 00:00:00-05:00,89.25,89.46,88.75,88.9,7256100,20141120
47,DIS,2014-11-21 00:00:00-05:00,89.69,89.8,88.76,88.96,6026900,20141121
48,DIS,2014-11-24 00:00:00-05:00,89.32,90.66,89.32,90.58,5005100,20141124
49,DIS,2014-11-25 00:00:00-05:00,90.71,91.92,90.71,91.65,5781700,20141125
50,DIS,2014-11-26 00:00:00-05:00,91.96,92.28,91.67,91.92,3658300,20141126
51,DIS,2014-11-28 00:00:00-05:00,92.53,92.96,92.23,92.51,2815200,20141128
52,DIS,2014-12-01 00:00:00-05:00,92.63,93.14,92.1,92.7,5525800,20141201
53,DIS,2014-12-02 00:00:00-05:00,92.65,93.81,92.42,93.47,5394000,20141202
54,DIS,2014-12-03 00:00:00-05:00,93.54,93.67,92.5,93.11,4112200,20141203
55,DIS,2014-12-04 00:00:00-05:00,93.61,93.63,92.56,93.23,5179000,20141204
56,DIS,2014-12-05 00:00:00-05:00,93.69,93.98,93.34,93.76,4362700,20141205
57,DIS,2014-12-08 00:00:00-05:00,94.21,94.5,93.41,93.8,5102100,20141208
58,DIS,2014-12-09 00:00:00-05:00,93.51,93.57,91.76,92.94,6640700,20141209
59,DIS,2014-12-10 00:00:00-05:00,92.52,92.83,91.55,91.63,5955000,20141210
60,DIS,2014-12-11 00:00:00-05:00,91.09,92.66,90.66,91.75,6777300,20141211
61,DIS,2014-12-12 00:00:00-05:00,91.18,92.61,90.95,91.49,6437200,20141212
62,DIS,2014-12-15 00:00:00-05:00,92.03,92.69,90.19,90.9,5680100,20141215
63,DIS,2014-12-16 00:00:00-05:00,90.5,92.0,90.13,90.17,5528700,20141216
64,DIS,2014-12-17 00:00:00-05:00,90.36,91.68,90.2,91.38,5834500,20141217
65,DIS,2014-12-18 00:00:00-05:00,92.19,92.61,91.86,92.61,7588300,20141218
66,DIS,2014-12-19 00:00:00-05:00,92.34,93.2,91.88,92.89,8584100,20141219
67,DIS,2014-12-22 00:00:00-05:00,93.39,94.36,93.22,94.2,5838400,20141222
68,DIS,2014-12-23 00:00:00-05:00,94.48,95.07,94.4,94.69,3901100,20141223
69,DIS,2014-12-24 00:00:00-05:00,94.69,95.12,94.37,94.42,1787600,20141224
70,DIS,2014-12-26 00:00:00-05:00,94.7,95.32,94.52,95.03,2042200,20141226
71,DIS,2014-12-29 00:00:00-05:00,94.74,95.93,94.68,95.5,2919100,20141229
72,DIS,2014-12-30 00:00:00-05:00,95.21,95.5,94.5,94.7,2801100,20141230
73,DIS,2014-12-31 00:00:00-05:00,95.13,95.52,94.03,94.19,3852800,20141231
74,DIS,2015-01-02 00:00:00-05:00,94.91,95.28,92.84,93.75,4415600,20150102
75,DIS,2015-01-05 00:00:00-05:00,93.28,93.35,91.78,92.38,6470200,20150105
76,DIS,2015-01-06 00:00:00-05:00,92.57,93.2,91.44,91.89,5640300,20150106
77,DIS,2015-01-07 00:00:00-05:00,92.72,93.15,92.1,92.83,5473700,20150107
78,DIS,2015-01-08 00:00:00-05:00,93.87,94.3,93.55,93.79,6346100,20150108
79,DIS,2015-01-09 00:00:00-05:00,94.05,95.27,93.99,94.25,7210900,20150109
80,DIS,2015-01-12 00:00:00-05:00,94.69,94.76,93.77,94.46,5748100,20150112
81,DIS,2015-01-13 00:00:00-05:00,95.26,96.43,94.7,95.19,7992000,20150113
82,DIS,2015-01-14 00:00:00-05:00,94.0,94.8,93.29,94.23,5203200,20150114
83,DIS,2015-01-15 00:00:00-05:00,94.61,94.96,94.04,94.35,4785000,20150115
84,DIS,2015-01-16 00:00:00-05:00,94.0,95.23,93.98,95.18,5061300,20150116
85,DIS,2015-01-20 00:00:00-05:00,95.22,95.39,93.75,94.74,6222800,20150120
86,DIS,2015-01-21 00:00:00-05:00,94.37,94.7,93.82,94.17,6013800,20150121
87,DIS,2015-01-22 00:00:00-05:00,94.58,95.39,94.01,95.15,5891300,20150122
88,DIS,2015-01-23 00:00:00-05:00,94.92,95.53,94.43,94.72,3874300,20150123
89,DIS,2015-01-26 00:00:00-05:00,94.45,95.0,93.93,94.97,4670500,20150126
90,DIS,2015-01-27 00:00:00-05:00,93.94,94.74,93.36,93.97,4476100,20150127
91,DIS,2015-01-28 00:00:00-05:00,94.14,94.47,92.61,92.67,5194700,20150128
92,DIS,2015-01-29 00:00:00-05:00,93.11,93.5,91.52,93.22,6688200,20150129
93,DIS,2015-01-30 00:00:00-05:00,92.5,92.94,90.83,90.96,8117000,20150130
94,DIS,2015-02-02 00:00:00-05:00,91.3,92.05,90.06,91.93,7229300,20150202
95,DIS,2015-02-03 00:00:00-05:00,92.43,94.11,92.19,94.1,9380100,20150203
96,DIS,2015-02-04 00:00:00-05:00,99.4,101.94,98.82,101.28,29256000,20150204
97,DIS,2015-02-05 00:00:00-05:00,100.76,102.84,100.51,102.64,12319000,20150205
98,DIS,2015-02-06 00:00:00-05:00,102.67,102.99,101.65,102.02,7480300,20150206
99,DIS,2015-02-09 00:00:00-05:00,101.87,102.5,101.45,101.73,4104700,20150209
100,DIS,2015-02-10 00:00:00-05:00,101.96,102.19,101.18,101.92,4790200,20150210
101,DIS,2015-02-11 00:00:00-05:00,102.01,102.02,101.07,101.87,4348000,20150211
102,DIS,2015-02-12 00:00:00-05:00,102.16,103.85,101.7,103.58,5622900,20150212
103,DIS,2015-02-13 00:00:00-05:00,103.73,104.41,103.43,104.17,4350700,20150213
104,DIS,2015-02-17 00:00:00-05:00,104.23,104.45,103.57,104.12,3681700,20150217
105,DIS,2015-02-18 00:00:00-05:00,103.4,104.33,103.4,103.86,3001400,20150218
106,DIS,2015-02-19 00:00:00-05:00,104.0,104.08,103.55,103.89,3364900,20150219
107,DIS,2015-02-20 00:00:00-05:00,103.86,104.69,102.73,104.55,4107800,20150220
108,DIS,2015-02-23 00:00:00-05:00,104.76,105.23,104.44,104.99,4073700,20150223
109,DIS,2015-02-24 00:00:00-05:00,104.54,105.05,104.35,104.67,3154100,20150224
110,DIS,2015-02-25 00:00:00-05:00,104.68,105.98,104.67,105.57,5000200,20150225
111,DIS,2015-02-26 00:00:00-05:00,105.5,105.71,104.14,104.56,3986800,20150226
112,DIS,2015-02-27 00:00:00-05:00,104.67,105.14,103.96,104.08,2621600,20150227
113,DIS,2015-03-02 00:00:00-05:00,104.35,105.98,104.35,105.89,3808900,20150302
114,DIS,2015-03-03 00:00:00-05:00,105.78,106.64,105.21,106.35,3704400,20150303
115,DIS,2015-03-04 00:00:00-05:00,105.86,106.0,104.78,105.57,3558800,20150304
116,DIS,2015-03-05 00:00:00-05:00,105.54,105.81,104.87,105.03,2831900,20150305
117,DIS,2015-03-06 00:00:00-05:00,104.67,105.0,103.49,103.82,4310900,20150306
118,DIS,2015-03-09 00:00:00-04:00,103.94,105.42,103.82,105.26,3948400,20150309
119,DIS,2015-03-10 00:00:00-04:00,104.27,104.35,103.12,103.09,4968400,20150310
120,DIS,2015-03-11 00:00:00-04:00,103.51,104.0,102.86,102.89,3240900,20150311
121,DIS,2015-03-12 00:00:00-04:00,103.85,107.33,103.81,107.17,8852900,20150312
122,DIS,2015-03-13 00:00:00-04:00,107.28,107.28,105.52,106.44,6384100,20150313
123,DIS,2015-03-16 00:00:00-04:00,106.84,107.73,106.05,107.37,4992300,20150316
124,DIS,2015-03-17 00:00:00-04:00,107.0,107.21,106.15,106.96,3573000,20150317
125,DIS,2015-03-18 00:00:00-04:00,106.9,108.42,105.73,107.97,4150600,20150318
126,DIS,2015-03-19 00:00:00-04:00,107.84,108.48,107.14,107.37,3297300,20150319
127,DIS,2015-03-20 00:00:00-04:00,107.83,108.94,107.5,108.43,6263800,20150320
128,DIS,2015-03-23 00:00:00-04:00,108.6,108.85,108.04,108.22,3667000,20150323
129,DIS,2015-03-24 00:00:00-04:00,107.72,108.05,107.08,107.11,3491000,20150324
130,DIS,2015-03-25 00:00:00-04:00,107.45,107.45,105.0,105.0,5276800,20150325
131,DIS,2015-03-26 00:00:00-04:00,104.47,105.82,104.1,105.24,4558900,20150326
132,DIS,2015-03-27 00:00:00-04:00,105.2,106.45,104.88,105.48,4224500,20150327
133,DIS,2015-03-30 00:00:00-04:00,106.06,106.95,106.05,106.12,2974000,20150330
134,DIS,2015-03-31 00:00:00-04:00,105.6,106.32,104.92,104.89,4030100,20150331
135,DIS,2015-04-01 00:00:00-04:00,105.49,106.0,104.25,105.44,4532500,20150401
136,DIS,2015-04-02 00:00:00-04:00,105.49,106.24,104.86,106.0,2799000,20150402
137,DIS,2015-04-06 00:00:00-04:00,105.31,106.57,105.04,105.63,2957700,20150406
138,DIS,2015-04-07 00:00:00-04:00,105.8,106.41,105.4,105.43,2855100,20150407
139,DIS,2015-04-08 00:00:00-04:00,105.23,106.69,105.16,106.36,3342000,20150408
140,DIS,2015-04-09 00:00:00-04:00,106.51,107.0,105.88,106.77,3243000,20150409
141,DIS,2015-04-10 00:00:00-04:00,106.73,107.1,106.41,106.95,2565700,20150410
142,DIS,2015-04-13 00:00:00-04:00,107.07,107.9,106.47,106.51,3336500,20150413
143,DIS,2015-04-14 00:00:00-04:00,106.41,107.3,106.11,106.66,4262400,20150414
144,DIS,2015-04-15 00:00:00-04:00,106.92,107.43,106.86,106.98,3398100,20150415
145,DIS,2015-04-16 00:00:00-04:00,107.32,108.3,106.9,108.1,5331100,20150416
146,DIS,2015-04-17 00:00:00-04:00,107.8,107.8,106.04,106.69,6449700,20150417
147,DIS,2015-04-20 00:00:00-04:00,107.83,108.5,107.32,108.22,6375800,20150420
148,DIS,2015-04-21 00:00:00-04:00,108.93,108.99,107.58,107.68,3626200,20150421
149,DIS,2015-04-22 00:00:00-04:00,108.02,108.25,106.97,107.94,3174900,20150422
150,DIS,2015-04-23 00:00:00-04:00,107.96,109.9,107.61,109.0,4959300,20150423
