,symbol,time,open,high,low,close,volume,date
0,FB,2014-09-17 00:00:00-04:00,75.96,77.25,75.57,76.43,25743900,20140917
1,FB,2014-09-18 00:00:00-04:00,76.77,77.33,76.52,77.0,20513200,20140918
2,FB,2014-09-19 00:00:00-04:00,77.36,78.3,76.44,77.91,34508600,20140919
3,FB,2014-09-22 00:00:00-04:00,77.0,77.53,75.95,76.8,27779500,20140922
4,FB,2014-09-23 00:00:00-04:00,76.35,78.63,76.04,78.29,33914700,20140923
5,FB,2014-09-24 00:00:00-04:00,78.1,78.62,77.51,78.535,26536700,20140924
6,FB,2014-09-25 00:00:00-04:00,78.61,78.94,77.13,77.22,33276600,20140925
7,FB,2014-09-26 00:00:00-04:00,77.59,78.84,77.33,78.79,24126400,20140926
8,FB,2014-09-29 00:00:00-04:00,78.12,79.2,77.91,79.0,29836700,20140929
9,FB,2014-09-30 00:00:00-04:00,79.33,79.7,78.6,79.04,30979600,20140930
10,FB,2014-10-01 00:00:00-04:00,78.74,78.82,75.9,76.55,51218600,20141001
11,FB,2014-10-02 00:00:00-04:00,76.61,77.48,75.64,77.08,33968100,20141002
12,FB,2014-10-03 00:00:00-04:00,77.76,78.06,77.26,77.44,20576200,20141003
13,FB,2014-10-06 00:00:00-04:00,77.15,77.89,76.85,77.555,23810400,20141006
14,FB,2014-10-07 00:00:00-04:00,77.07,77.95,76.24,76.29,23246500,20141007
15,FB,2014-10-08 00:00:00-04:00,76.16,77.71,75.1,77.52,30127800,20141008
16,FB,2014-10-09 00:00:00-04:00,77.25,77.76,75.85,75.91,29161700,20141009
17,FB,2014-10-10 00:00:00-04:00,75.54,76.5,72.76,72.91,45518500,20141010
18,FB,2014-10-13 00:00:00-04:00,73.22,74.78,72.52,72.99,38620200,20141013
19,FB,2014-10-14 00:00:00-04:00,74.03,74.18,72.05,73.59,40924500,20141014
20,FB,2014-10-15 00:00:00-04:00,71.69,73.8,70.32,73.21,55556100,20141015
21,FB,2014-10-16 00:00:00-04:00,70.85,73.35,70.58,72.63,46941100,20141016
22,FB,2014-10-17 00:00:00-04:00,74.23,76.0,73.75,75.95,47559300,20141017
23,FB,2014-10-20 00:00:00-04:00,75.62,77.09,75.38,76.95,30606600,20141020
24,FB,2014-10-21 00:00:00-04:00,77.56,78.74,77.15,78.69,29124500,20141021
25,FB,2014-10-22 00:00:00-04:00,78.81,79.85,78.01,78.37,38890700,20141022
26,FB,2014-10-23 00:00:00-04:00,79.38,80.63,79.01,80.04,31770900,20141023
27,FB,2014-10-24 00:00:00-04:00,80.1,80.76,79.32,80.67,27217100,20141024
28,FB,2014-10-27 00:00:00-04:00,80.74,80.8,79.76,80.28,25225200,20141027
29,FB,2014-10-28 00:00:00-04:00,80.18,81.16,79.57,80.77,45589100,20141028
30,FB,2014-10-29 00:00:00-04:00,75.45,76.88,74.78,75.86,89323900,20141029
31,FB,2014-10-30 00:00:00-04:00,75.06,75.35,72.9,74.11,77407400,20141030
32,FB,2014-10-31 00:00:00-04:00,74.83,75.7,74.45,74.99,39210400,20141031
33,FB,2014-11-03 00:00:00-05:00,75.47,75.52,73.7,73.88,36937200,20141103
34,FB,2014-11-04 00:00:00-05:00,74.24,75.77,73.65,75.76,35306300,20141104
35,FB,2014-11-05 00:00:00-05:00,76.51,76.8,74.42,74.83,31923200,20141105
36,FB,2014-11-06 00:00:00-05:00,74.89,75.6,74.31,75.26,18654700,20141106
37,FB,2014-11-07 00:00:00-05:00,75.39,75.86,75.02,75.6,17716900,20141107
38,FB,2014-11-10 00:00:00-05:00,75.39,75.48,74.61,75.0,18967300,20141110
39,FB,2014-11-11 00:00:00-05:00,74.95,74.98,74.03,74.61,16238400,20141111
40,FB,2014-11-12 00:00:00-05:00,74.28,75.14,73.54,74.72,24003100,20141112
41,FB,2014-11-13 00:00:00-05:00,74.74,75.24,73.64,74.25,23490700,20141113
42,FB,2014-11-14 00:00:00-05:00,74.27,74.93,74.04,74.88,17437500,20141114
43,FB,2014-11-17 00:00:00-05:00,74.87,75.66,73.88,74.24,25462100,20141117
44,FB,2014-11-18 00:00:00-05:00,74.46,74.8,73.9,74.34,17656400,20141118
45,FB,2014-11-19 00:00:00-05:00,74.01,74.54,73.11,73.33,22434300,20141119
46,FB,2014-11-20 00:00:00-05:00,72.8,73.99,72.51,73.6,17028600,20141120
47,FB,2014-11-21 00:00:00-05:00,74.5,74.5,73.5,73.75,19735300,20141121
48,FB,2014-11-24 00:00:00-05:00,73.54,74.35,73.35,74.01,19381400,20141124
49,FB,2014-11-25 00:00:00-05:00,74.17,75.74,74.13,75.63,27522600,20141125
50,FB,2014-11-26 00:00:00-05:00,75.5,77.78,75.5,77.62,29671900,20141126
51,FB,2014-11-28 00:00:00-05:00,77.69,78.27,77.23,77.7,13334500,20141128
52,FB,2014-12-01 00:00:00-05:00,77.27,77.31,74.8,75.1,28326000,20141201
53,FB,2014-12-02 00:00:00-05:00,75.34,75.91,75.04,75.46,14446700,20141202
54,FB,2014-12-03 00:00:00-05:00,75.39,75.73,74.4,74.88,14039100,20141203
55,FB,2014-12-04 00:00:00-05:00,74.83,75.55,74.66,75.24,12764400,20141204
56,FB,2014-12-05 00:00:00-05:00,75.8,76.76,75.36,76.36,21892400,20141205
57,FB,2014-12-08 00:00:00-05:00,76.18,77.25,75.4,76.52,23090500,20141208
58,FB,2014-12-09 00:00:00-05:00,75.2,76.93,74.78,76.84,22089300,20141209
59,FB,2014-12-10 00:00:00-05:00,76.65,77.55,76.07,76.18,28845400,20141210
60,FB,2014-12-11 00:00:00-05:00,76.53,78.52,76.48,77.73,29345200,20141211
61,FB,2014-12-12 00:00:00-05:00,77.19,78.88,77.02,77.83,25197100,20141212
62,FB,2014-12-15 00:00:00-05:00,78.42,78.58,76.56,76.99,26487800,20141215
63,FB,2014-12-16 00:00:00-05:00,76.18,77.39,74.59,74.69,28397300,20141216
64,FB,2014-12-17 00:00:00-05:00,75.02,76.41,74.9,76.11,25763400,20141217
65,FB,2014-12-18 00:00:00-05:00,76.9,78.4,76.51,78.4,28603600,20141218
66,FB,2014-12-19 00:00:00-05:00,78.75,80.0,78.33,79.88,33994400,20141219
67,FB,2014-12-22 00:00:00-05:00,80.1,81.89,80.0,81.45,27668700,20141222
68,FB,2014-12-23 00:00:00-05:00,82.02,82.17,80.4,80.61,17010500,20141223
69,FB,2014-12-24 00:00:00-05:00,81.05,81.43,80.75,80.77,6608600,20141224
70,FB,2014-12-26 00:00:00-05:00,81.04,81.28,80.51,80.775,9251200,20141226
71,FB,2014-12-29 00:00:00-05:00,80.56,80.96,79.71,80.02,12473300,20141229
72,FB,2014-12-30 00:00:00-05:00,79.84,80.59,79.1,79.22,12660600,20141230
73,FB,2014-12-31 00:00:00-05:00,79.54,79.8,77.86,78.02,17599200,20141231
