,symbol,time,open,high,low,close,volume,date
0,GOOG,2014-09-17 00:00:00-04:00,578.55,585.94,577.21,583.195,1041300,20140917
1,GOOG,2014-09-18 00:00:00-04:00,585.91,587.955,583.425,587.685,922600,20140918
2,GOOG,2014-09-19 00:00:00-04:00,589.905,594.875,587.915,594.475,2316500,20140919
3,GOOG,2014-09-22 00:00:00-04:00,591.605,592.35,581.89,585.79,1093600,20140922
4,GOOG,2014-09-23 00:00:00-04:00,584.26,585.27,579.435,579.565,973700,20140923
5,GOOG,2014-09-24 00:00:00-04:00,579.895,588.04,578.955,586.405,987700,20140924
6,GOOG,2014-09-25 00:00:00-04:00,585.97,586.395,572.635,573.51,1273500,20140925
7,GOOG,2014-09-26 00:00:00-04:00,574.51,577.69,573.115,575.545,945600,20140926
8,GOOG,2014-09-29 00:00:00-04:00,570.21,576.635,569.63,574.81,789200,20140929
9,GOOG,2014-09-30 00:00:00-04:00,574.9,578.29,571.305,575.805,987900,20140930
10,GOOG,2014-10-01 00:00:00-04:00,574.0,576.025,565.485,566.74,922000,20141001
11,GOOG,2014-10-02 00:00:00-04:00,565.78,570.37,561.805,568.545,744800,20141002
12,GOOG,2014-10-03 00:00:00-04:00,571.505,575.675,570.96,573.73,663700,20141003
13,GOOG,2014-10-06 00:00:00-04:00,577.24,579.435,572.895,575.795,809400,20141006
14,GOOG,2014-10-07 00:00:00-04:00,572.805,573.72,562.23,562.22,1299200,20141007
15,GOOG,2014-10-08 00:00:00-04:00,564.045,572.335,555.99,570.96,1281500,20141008
16,GOOG,2014-10-09 00:00:00-04:00,569.7,569.95,557.555,559.37,1515600,20141009
17,GOOG,2014-10-10 00:00:00-04:00,556.22,563.61,542.585,543.025,2045800,20141010
18,GOOG,2014-10-13 00:00:00-04:00,543.52,548.02,531.755,531.775,1546800,20141013
19,GOOG,2014-10-14 00:00:00-04:00,537.35,545.715,531.735,536.49,1433600,20141014
20,GOOG,2014-10-15 00:00:00-04:00,529.57,531.365,516.905,528.605,2507600,20141015
21,GOOG,2014-10-16 00:00:00-04:00,516.955,528.005,513.615,523.1,1913700,20141016
22,GOOG,2014-10-17 00:00:00-04:00,526.19,529.55,507.16,509.795,3740400,20141017
23,GOOG,2014-10-20 00:00:00-04:00,508.08,520.355,506.73,519.44,1761600,20141020
24,GOOG,2014-10-21 00:00:00-04:00,523.775,525.37,517.71,525.12,1555900,20141021
25,GOOG,2014-10-22 00:00:00-04:00,528.215,538.345,527.375,531.275,1916400,20141022
26,GOOG,2014-10-23 00:00:00-04:00,537.55,545.745,534.405,542.515,1543100,20141023
27,GOOG,2014-10-24 00:00:00-04:00,542.895,543.415,534.345,538.325,1335500,20141024
28,GOOG,2014-10-27 00:00:00-04:00,535.585,542.945,535.585,539.315,725700,20141027
29,GOOG,2014-10-28 00:00:00-04:00,541.54,547.5,540.16,547.42,743700,20141028
30,GOOG,2014-10-29 00:00:00-04:00,548.52,552.7,545.505,547.85,1141500,20141029
31,GOOG,2014-10-30 00:00:00-04:00,547.175,551.3,542.045,548.83,911200,20141030
32,GOOG,2014-10-31 00:00:00-04:00,558.005,558.065,553.255,557.575,1226400,20141031
33,GOOG,2014-11-03 00:00:00-05:00,552.59,556.4,551.74,553.725,872800,20141103
34,GOOG,2014-11-04 00:00:00-05:00,550.99,554.005,547.82,552.62,770100,20141104
35,GOOG,2014-11-05 00:00:00-05:00,555.19,555.3,542.585,544.45,1330900,20141105
