,symbol,time,open,high,low,close,volume,date
0,HD,2014-09-17 00:00:00-04:00,90.63,91.54,89.94,91.22,4953400,20140917
1,HD,2014-09-18 00:00:00-04:00,91.83,92.44,91.2,92.09,4908500,20140918
2,HD,2014-09-19 00:00:00-04:00,92.85,93.75,92.2,92.34,7866100,20140919
3,HD,2014-09-22 00:00:00-04:00,91.98,92.42,91.68,91.89,4317200,20140922
4,HD,2014-09-23 00:00:00-04:00,91.79,92.22,91.45,91.49,4785400,20140923
5,HD,2014-09-24 00:00:00-04:00,91.68,93.11,91.35,93.02,5200300,20140924
6,HD,2014-09-25 00:00:00-04:00,92.8,93.0,91.55,91.9,3952000,20140925
7,HD,2014-09-26 00:00:00-04:00,92.29,93.0,91.8,92.84,3588200,20140926
8,HD,2014-09-29 00:00:00-04:00,92.37,93.17,91.95,92.88,3226000,20140929
9,HD,2014-09-30 00:00:00-04:00,93.03,93.21,91.4,91.74,5358600,20140930
10,HD,2014-10-01 00:00:00-04:00,92.14,92.34,90.92,91.02,4893800,20141001
11,HD,2014-10-02 00:00:00-04:00,91.31,92.46,91.07,92.24,5114400,20141002
12,HD,2014-10-03 00:00:00-04:00,92.52,93.68,92.34,93.54,4931000,20141003
13,HD,2014-10-06 00:00:00-04:00,93.72,94.25,93.06,93.26,4198600,20141006
14,HD,2014-10-07 00:00:00-04:00,93.04,93.56,92.44,92.47,4187100,20141007
15,HD,2014-10-08 00:00:00-04:00,92.57,94.16,92.24,94.09,5176500,20141008
16,HD,2014-10-09 00:00:00-04:00,93.91,94.79,93.02,93.07,5189900,20141009
17,HD,2014-10-10 00:00:00-04:00,93.25,93.86,92.54,92.55,5391800,20141010
18,HD,2014-10-13 00:00:00-04:00,92.88,92.94,90.43,90.6,6344600,20141013
19,HD,2014-10-14 00:00:00-04:00,90.37,90.53,88.52,90.1,8444400,20141014
20,HD,2014-10-15 00:00:00-04:00,88.09,89.17,86.62,87.85,10727400,20141015
21,HD,2014-10-16 00:00:00-04:00,86.35,89.72,86.35,88.88,5856700,20141016
22,HD,2014-10-17 00:00:00-04:00,89.3,91.12,89.05,90.24,5586900,20141017
23,HD,2014-10-20 00:00:00-04:00,89.87,92.07,89.77,91.85,4255000,20141020
24,HD,2014-10-21 00:00:00-04:00,92.53,94.37,92.12,94.2,5334800,20141021
25,HD,2014-10-22 00:00:00-04:00,94.3,94.99,93.24,93.34,4658500,20141022
26,HD,2014-10-23 00:00:00-04:00,94.5,95.52,94.44,94.8,4426200,20141023
27,HD,2014-10-24 00:00:00-04:00,94.6,95.19,94.13,94.99,3844500,20141024
28,HD,2014-10-27 00:00:00-04:00,94.96,95.68,94.71,95.47,3564300,20141027
29,HD,2014-10-28 00:00:00-04:00,95.91,96.6,95.5,96.59,4380200,20141028
30,HD,2014-10-29 00:00:00-04:00,96.62,97.25,95.8,96.42,3501600,20141029
31,HD,2014-10-30 00:00:00-04:00,96.12,97.8,96.03,97.52,3575400,20141030
32,HD,2014-10-31 00:00:00-04:00,98.78,99.26,97.33,97.52,4784300,20141031
33,HD,2014-11-03 00:00:00-05:00,96.81,96.83,95.98,96.09,6472500,20141103
34,HD,2014-11-04 00:00:00-05:00,96.06,96.18,95.19,95.96,4470400,20141104
35,HD,2014-11-05 00:00:00-05:00,96.59,96.85,95.15,95.78,4196000,20141105
36,HD,2014-11-06 00:00:00-05:00,96.35,97.51,96.01,97.29,2985000,20141106
37,HD,2014-11-07 00:00:00-05:00,97.2,97.75,96.69,97.65,2536800,20141107
38,HD,2014-11-10 00:00:00-05:00,97.64,98.17,97.0,98.16,2780600,20141110
39,HD,2014-11-11 00:00:00-05:00,98.46,98.75,97.88,98.14,2976800,20141111
40,HD,2014-11-12 00:00:00-05:00,98.3,98.7,97.61,98.49,3740300,20141112
41,HD,2014-11-13 00:00:00-05:00,98.9,99.36,98.34,99.0,2564700,20141113
42,HD,2014-11-14 00:00:00-05:00,98.9,99.0,98.02,98.24,3316000,20141114
43,HD,2014-11-17 00:00:00-05:00,98.17,98.95,97.8,98.03,7187400,20141117
44,HD,2014-11-18 00:00:00-05:00,97.15,97.71,93.5,95.98,8633800,20141118
45,HD,2014-11-19 00:00:00-05:00,96.55,97.31,96.0,96.7,5526100,20141119
46,HD,2014-11-20 00:00:00-05:00,96.08,97.97,96.02,97.57,4123800,20141120
47,HD,2014-11-21 00:00:00-05:00,98.98,99.1,97.82,98.28,4943500,20141121
48,HD,2014-11-24 00:00:00-05:00,98.68,98.9,98.22,98.4,3791000,20141124
49,HD,2014-11-25 00:00:00-05:00,98.64,98.87,96.41,97.01,5883900,20141125
50,HD,2014-11-26 00:00:00-05:00,97.06,97.71,97.01,97.7,2761400,20141126
51,HD,2014-11-28 00:00:00-05:00,98.06,99.8,98.0,99.4,2460600,20141128
52,HD,2014-12-01 00:00:00-05:00,99.49,99.61,98.31,98.88,3358000,20141201
53,HD,2014-12-02 00:00:00-05:00,98.62,99.0,97.99,98.16,3825100,20141202
54,HD,2014-12-03 00:00:00-05:00,98.1,98.74,98.04,98.59,3215100,20141203
55,HD,2014-12-04 00:00:00-05:00,98.15,99.11,97.78,98.95,4501300,20141204
56,HD,2014-12-05 00:00:00-05:00,98.77,99.68,98.66,99.64,3894400,20141205
57,HD,2014-12-08 00:00:00-05:00,99.71,100.95,99.66,100.43,5588500,20141208
58,HD,2014-12-09 00:00:00-05:00,99.69,99.98,98.58,99.64,4228600,20141209
59,HD,2014-12-10 00:00:00-05:00,99.36,100.23,98.82,98.94,4088900,20141210
60,HD,2014-12-11 00:00:00-05:00,99.28,101.4,99.15,100.27,5186000,20141211
61,HD,2014-12-12 00:00:00-05:00,99.69,101.25,99.39,99.78,4608100,20141212
62,HD,2014-12-15 00:00:00-05:00,100.01,101.24,99.29,100.05,4503500,20141215
63,HD,2014-12-16 00:00:00-05:00,99.38,100.24,96.99,97.06,6341200,20141216
64,HD,2014-12-17 00:00:00-05:00,97.59,99.14,97.09,98.94,4653700,20141217
65,HD,2014-12-18 00:00:00-05:00,100.34,100.69,99.3,100.67,5389300,20141218
66,HD,2014-12-19 00:00:00-05:00,100.92,102.0,100.81,101.93,7828100,20141219
67,HD,2014-12-22 00:00:00-05:00,102.25,103.57,102.23,103.5,4364000,20141222
68,HD,2014-12-23 00:00:00-05:00,103.66,104.2,103.32,103.76,3286000,20141223
69,HD,2014-12-24 00:00:00-05:00,104.05,104.38,103.56,103.56,1415100,20141224
70,HD,2014-12-26 00:00:00-05:00,103.98,104.33,103.57,103.75,1919100,20141226
71,HD,2014-12-29 00:00:00-05:00,103.58,104.8,103.26,104.53,2754500,20141229
72,HD,2014-12-30 00:00:00-05:00,104.44,104.74,103.85,104.27,2403700,20141230
73,HD,2014-12-31 00:00:00-05:00,104.75,106.02,104.56,104.97,4945800,20141231
74,HD,2015-01-02 00:00:00-05:00,105.16,105.66,102.67,103.43,3374200,20150102
75,HD,2015-01-05 00:00:00-05:00,102.78,102.78,100.79,101.26,4787400,20150105
76,HD,2015-01-06 00:00:00-05:00,102.07,102.07,100.34,100.95,4064300,20150106
77,HD,2015-01-07 00:00:00-05:00,102.29,104.47,101.99,104.41,4020700,20150107
78,HD,2015-01-08 00:00:00-05:00,105.37,106.99,105.02,106.72,5402900,20150108
79,HD,2015-01-09 00:00:00-05:00,106.88,106.88,104.82,104.89,4496000,20150109
80,HD,2015-01-12 00:00:00-05:00,105.17,105.29,104.06,104.42,3695900,20150112
81,HD,2015-01-13 00:00:00-05:00,105.41,106.04,103.15,103.73,4317000,20150113
82,HD,2015-01-14 00:00:00-05:00,102.42,103.41,101.88,102.64,4477600,20150114
83,HD,2015-01-15 00:00:00-05:00,103.32,103.65,100.83,101.01,5039500,20150115
84,HD,2015-01-16 00:00:00-05:00,100.86,104.31,100.24,104.12,5249900,20150116
85,HD,2015-01-20 00:00:00-05:00,104.84,104.95,102.35,103.25,3985100,20150120
86,HD,2015-01-21 00:00:00-05:00,103.05,104.06,102.5,103.53,4873400,20150121
87,HD,2015-01-22 00:00:00-05:00,104.38,106.31,103.54,106.07,4809800,20150122
88,HD,2015-01-23 00:00:00-05:00,106.21,106.48,105.31,105.37,3346400,20150123
89,HD,2015-01-26 00:00:00-05:00,105.36,106.5,105.06,106.36,2684900,20150126
90,HD,2015-01-27 00:00:00-05:00,104.78,105.82,104.4,105.16,3798600,20150127
91,HD,2015-01-28 00:00:00-05:00,105.31,107.43,104.6,104.74,4084900,20150128
92,HD,2015-01-29 00:00:00-05:00,105.14,107.74,104.51,107.62,5471800,20150129
93,HD,2015-01-30 00:00:00-05:00,106.36,106.86,104.38,104.42,4603100,20150130
94,HD,2015-02-02 00:00:00-05:00,104.78,105.0,101.57,104.43,4101700,20150202
95,HD,2015-02-03 00:00:00-05:00,104.89,107.32,104.81,107.24,4989100,20150203
96,HD,2015-02-04 00:00:00-05:00,107.09,109.0,106.75,108.41,5636800,20150204
97,HD,2015-02-05 00:00:00-05:00,108.98,109.34,108.15,108.99,3812500,20150205
98,HD,2015-02-06 00:00:00-05:00,109.28,109.74,108.46,109.04,3512400,20150206
99,HD,2015-02-09 00:00:00-05:00,108.88,109.46,108.04,108.34,3353200,20150209
100,HD,2015-02-10 00:00:00-05:00,108.79,110.85,108.66,110.67,4435200,20150210
101,HD,2015-02-11 00:00:00-05:00,110.6,110.8,109.81,110.31,3611000,20150211
102,HD,2015-02-12 00:00:00-05:00,110.81,112.2,110.21,112.16,3784800,20150212
103,HD,2015-02-13 00:00:00-05:00,112.01,112.39,111.3,111.89,4248000,20150213
104,HD,2015-02-17 00:00:00-05:00,111.69,112.23,110.62,112.0,3801400,20150217
105,HD,2015-02-18 00:00:00-05:00,111.6,112.17,111.0,111.99,3013900,20150218
106,HD,2015-02-19 00:00:00-05:00,112.01,112.45,110.63,110.94,4979400,20150219
107,HD,2015-02-20 00:00:00-05:00,110.81,112.25,110.05,112.24,6248100,20150220
108,HD,2015-02-23 00:00:00-05:00,112.99,113.16,111.8,112.28,4645200,20150223
109,HD,2015-02-24 00:00:00-05:00,117.5,117.92,115.13,116.75,10936000,20150224
110,HD,2015-02-25 00:00:00-05:00,117.35,117.35,115.85,116.31,6317200,20150225
111,HD,2015-02-26 00:00:00-05:00,116.0,116.42,115.2,115.38,4658500,20150226
112,HD,2015-02-27 00:00:00-05:00,115.19,115.67,114.55,114.75,3780000,20150227
113,HD,2015-03-02 00:00:00-05:00,114.86,117.06,114.86,116.12,5037700,20150302
114,HD,2015-03-03 00:00:00-05:00,116.11,116.12,114.8,116.07,2958300,20150303
115,HD,2015-03-04 00:00:00-05:00,115.51,115.51,114.25,114.76,3084200,20150304
116,HD,2015-03-05 00:00:00-05:00,115.23,116.1,115.06,115.91,3259800,20150305
117,HD,2015-03-06 00:00:00-05:00,115.96,115.96,114.0,114.45,4013900,20150306
118,HD,2015-03-09 00:00:00-04:00,114.38,115.48,114.37,115.25,4478200,20150309
119,HD,2015-03-10 00:00:00-04:00,113.85,114.34,112.61,112.56,4215100,20150310
120,HD,2015-03-11 00:00:00-04:00,112.68,113.8,112.41,113.07,3386800,20150311
121,HD,2015-03-12 00:00:00-04:00,113.85,116.46,113.77,116.1,4675500,20150312
122,HD,2015-03-13 00:00:00-04:00,115.99,116.31,114.0,114.82,3779300,20150313
123,HD,2015-03-16 00:00:00-04:00,115.33,116.61,115.32,116.5,3663000,20150316
124,HD,2015-03-17 00:00:00-04:00,115.45,116.08,115.14,115.58,2433900,20150317
125,HD,2015-03-18 00:00:00-04:00,115.41,116.42,113.31,116.08,3606200,20150318
