,symbol,time,open,high,low,close,volume,date
0,JNJ,2014-09-17 00:00:00-04:00,105.93,106.63,105.8,106.19,5041100,20140917
1,JNJ,2014-09-18 00:00:00-04:00,106.18,107.41,106.03,107.35,4764100,20140918
2,JNJ,2014-09-19 00:00:00-04:00,107.89,108.37,107.62,107.99,8691400,20140919
3,JNJ,2014-09-22 00:00:00-04:00,108.0,108.25,107.78,107.88,4257200,20140922
4,JNJ,2014-09-23 00:00:00-04:00,107.77,108.1,107.19,107.46,4616100,20140923
5,JNJ,2014-09-24 00:00:00-04:00,107.7,108.77,107.34,108.64,4133100,20140924
6,JNJ,2014-09-25 00:00:00-04:00,108.53,108.55,107.07,107.1,4262200,20140925
7,JNJ,2014-09-26 00:00:00-04:00,107.41,107.49,106.2,107.1,3292800,20140926
8,JNJ,2014-09-29 00:00:00-04:00,106.38,106.65,106.04,106.54,4566600,20140929
9,JNJ,2014-09-30 00:00:00-04:00,106.5,107.21,106.45,106.59,4741600,20140930
10,JNJ,2014-10-01 00:00:00-04:00,105.98,106.28,103.95,104.3,9636100,20141001
11,JNJ,2014-10-02 00:00:00-04:00,104.06,104.54,103.25,103.85,5936900,20141002
12,JNJ,2014-10-03 00:00:00-04:00,104.23,105.19,104.13,105.13,5052300,20141003
13,JNJ,2014-10-06 00:00:00-04:00,105.68,106.0,104.37,104.86,4174600,20141006
14,JNJ,2014-10-07 00:00:00-04:00,104.46,104.46,102.34,102.39,6776600,20141007
15,JNJ,2014-10-08 00:00:00-04:00,102.43,105.03,102.04,104.91,6491600,20141008
16,JNJ,2014-10-09 00:00:00-04:00,104.63,104.86,101.79,102.08,8213500,20141009
17,JNJ,2014-10-10 00:00:00-04:00,102.35,102.53,101.23,101.23,7945100,20141010
18,JNJ,2014-10-13 00:00:00-04:00,101.46,101.46,99.02,99.12,8332100,20141013
19,JNJ,2014-10-14 00:00:00-04:00,100.53,100.9,95.34,97.01,17392700,20141014
20,JNJ,2014-10-15 00:00:00-04:00,96.05,98.72,95.1,98.21,18759900,20141015
21,JNJ,2014-10-16 00:00:00-04:00,96.97,98.0,96.5,96.78,12096100,20141016
22,JNJ,2014-10-17 00:00:00-04:00,97.54,99.15,97.31,98.7,8709500,20141017
23,JNJ,2014-10-20 00:00:00-04:00,98.83,99.18,98.32,99.2,6050000,20141020
24,JNJ,2014-10-21 00:00:00-04:00,99.83,100.38,99.34,100.36,5804300,20141021
25,JNJ,2014-10-22 00:00:00-04:00,101.1,101.79,100.52,101.22,7355700,20141022
26,JNJ,2014-10-23 00:00:00-04:00,102.26,102.98,101.94,102.63,5541300,20141023
27,JNJ,2014-10-24 00:00:00-04:00,102.95,103.29,102.21,103.13,4645800,20141024
28,JNJ,2014-10-27 00:00:00-04:00,103.07,104.24,103.04,104.07,5133400,20141027
29,JNJ,2014-10-28 00:00:00-04:00,104.55,104.8,103.56,104.79,5767300,20141028
30,JNJ,2014-10-29 00:00:00-04:00,105.0,105.56,104.86,105.56,6022900,20141029
31,JNJ,2014-10-30 00:00:00-04:00,105.17,107.05,104.91,107.04,6260500,20141030
32,JNJ,2014-10-31 00:00:00-04:00,107.94,108.18,107.26,107.78,7838900,20141031
33,JNJ,2014-11-03 00:00:00-05:00,107.83,108.12,106.75,107.46,5833700,20141103
34,JNJ,2014-11-04 00:00:00-05:00,107.89,108.73,107.34,108.62,7272900,20141104
35,JNJ,2014-11-05 00:00:00-05:00,109.05,109.26,107.95,108.82,5685000,20141105
36,JNJ,2014-11-06 00:00:00-05:00,108.93,109.32,108.56,109.01,4684400,20141106
37,JNJ,2014-11-07 00:00:00-05:00,109.0,109.03,107.92,108.2,4727700,20141107
38,JNJ,2014-11-10 00:00:00-05:00,108.07,108.92,107.2,108.82,5213500,20141110
39,JNJ,2014-11-11 00:00:00-05:00,108.88,109.4,108.55,108.91,4678100,20141111
40,JNJ,2014-11-12 00:00:00-05:00,108.67,109.0,108.39,108.75,3194900,20141112
41,JNJ,2014-11-13 00:00:00-05:00,109.05,109.49,108.5,109.07,3773300,20141113
42,JNJ,2014-11-14 00:00:00-05:00,108.92,109.06,108.01,108.16,4189800,20141114
43,JNJ,2014-11-17 00:00:00-05:00,108.0,108.69,107.61,108.3,4127700,20141117
44,JNJ,2014-11-18 00:00:00-05:00,108.13,109.06,107.72,108.83,3511700,20141118
45,JNJ,2014-11-19 00:00:00-05:00,108.45,108.81,108.1,108.76,3550000,20141119
46,JNJ,2014-11-20 00:00:00-05:00,108.55,108.57,107.69,108.18,4739800,20141120
47,JNJ,2014-11-21 00:00:00-05:00,108.73,108.74,107.62,107.86,6366600,20141121
48,JNJ,2014-11-24 00:00:00-05:00,107.92,108.23,106.64,106.88,7383800,20141124
49,JNJ,2014-11-25 00:00:00-05:00,106.98,107.19,106.7,106.7,4910200,20141125
50,JNJ,2014-11-26 00:00:00-05:00,106.77,107.25,106.6,107.21,4269100,20141126
51,JNJ,2014-11-28 00:00:00-05:00,107.61,108.82,107.32,108.25,3943800,20141128
52,JNJ,2014-12-01 00:00:00-05:00,107.89,108.82,107.35,108.03,4393000,20141201
53,JNJ,2014-12-02 00:00:00-05:00,107.97,108.53,107.5,108.51,4704400,20141202
54,JNJ,2014-12-03 00:00:00-05:00,108.54,108.99,107.65,107.72,6271500,20141203
55,JNJ,2014-12-04 00:00:00-05:00,108.09,108.3,107.38,107.56,5250100,20141204
56,JNJ,2014-12-05 00:00:00-05:00,107.53,108.74,107.22,108.51,4584500,20141205
57,JNJ,2014-12-08 00:00:00-05:00,108.42,108.96,105.98,108.52,4952600,20141208
58,JNJ,2014-12-09 00:00:00-05:00,108.22,108.47,106.89,108.05,5873800,20141209
59,JNJ,2014-12-10 00:00:00-05:00,107.61,107.96,106.15,106.24,7426500,20141210
60,JNJ,2014-12-11 00:00:00-05:00,105.85,107.31,105.36,106.72,5294200,20141211
61,JNJ,2014-12-12 00:00:00-05:00,106.65,106.87,104.39,104.43,6501300,20141212
62,JNJ,2014-12-15 00:00:00-05:00,104.77,105.06,103.63,103.96,10296700,20141215
63,JNJ,2014-12-16 00:00:00-05:00,103.48,105.21,102.5,102.76,8487800,20141216
