,symbol,time,open,high,low,close,volume,date
0,JPM,2014-09-17 00:00:00-04:00,59.95,60.59,59.82,60.31,12598500,20140917
1,JPM,2014-09-18 00:00:00-04:00,60.54,61.4,60.54,61.32,13408000,20140918
2,JPM,2014-09-19 00:00:00-04:00,61.75,61.85,60.98,61.11,13983500,20140919
3,JPM,2014-09-22 00:00:00-04:00,60.94,61.45,60.8,60.91,10430900,20140922
4,JPM,2014-09-23 00:00:00-04:00,60.82,61.4,60.77,60.94,11693700,20140923
5,JPM,2014-09-24 00:00:00-04:00,61.18,61.64,61.02,61.63,11165700,20140924
6,JPM,2014-09-25 00:00:00-04:00,61.49,61.5,60.17,60.15,11817300,20140925
7,JPM,2014-09-26 00:00:00-04:00,60.33,60.88,60.32,60.56,9930300,20140926
8,JPM,2014-09-29 00:00:00-04:00,60.03,60.5,59.73,60.33,8947600,20140929
9,JPM,2014-09-30 00:00:00-04:00,60.4,60.74,60.13,60.24,11012600,20140930
10,JPM,2014-10-01 00:00:00-04:00,60.24,60.4,59.73,59.77,15138000,20141001
11,JPM,2014-10-02 00:00:00-04:00,59.15,59.49,58.61,58.84,22162900,20141002
12,JPM,2014-10-03 00:00:00-04:00,59.25,60.39,59.05,60.3,14231800,20141003
13,JPM,2014-10-06 00:00:00-04:00,60.85,60.85,60.0,60.18,8794800,20141006
14,JPM,2014-10-07 00:00:00-04:00,59.92,59.92,59.19,59.27,12444500,20141007
15,JPM,2014-10-08 00:00:00-04:00,59.36,60.43,59.18,60.4,12839200,20141008
16,JPM,2014-10-09 00:00:00-04:00,60.33,60.34,58.89,59.08,15678200,20141009
17,JPM,2014-10-10 00:00:00-04:00,59.03,59.82,58.51,58.52,14598400,20141010
18,JPM,2014-10-13 00:00:00-04:00,58.5,59.15,58.11,58.16,15384100,20141013
19,JPM,2014-10-14 00:00:00-04:00,56.69,58.52,56.06,57.99,22639600,20141014
20,JPM,2014-10-15 00:00:00-04:00,57.02,57.38,54.26,55.53,31100100,20141015
21,JPM,2014-10-16 00:00:00-04:00,54.75,55.98,54.28,55.08,27439500,20141016
22,JPM,2014-10-17 00:00:00-04:00,55.73,56.78,55.57,56.2,16444800,20141017
23,JPM,2014-10-20 00:00:00-04:00,56.1,56.75,56.07,56.63,8028600,20141020
24,JPM,2014-10-21 00:00:00-04:00,57.21,58.01,57.08,57.93,11572500,20141021
25,JPM,2014-10-22 00:00:00-04:00,58.04,58.26,57.44,57.45,11429100,20141022
26,JPM,2014-10-23 00:00:00-04:00,58.12,58.6,57.94,58.06,9537600,20141023
27,JPM,2014-10-24 00:00:00-04:00,58.0,58.78,58.0,58.74,7580700,20141024
28,JPM,2014-10-27 00:00:00-04:00,58.45,58.79,58.25,58.64,7950000,20141027
29,JPM,2014-10-28 00:00:00-04:00,58.87,59.69,58.81,59.63,10093200,20141028
30,JPM,2014-10-29 00:00:00-04:00,59.62,59.78,58.76,59.29,14315600,20141029
31,JPM,2014-10-30 00:00:00-04:00,58.94,59.68,58.92,59.39,12250300,20141030
32,JPM,2014-10-31 00:00:00-04:00,60.12,60.54,59.87,60.48,14409400,20141031
33,JPM,2014-11-03 00:00:00-05:00,60.79,61.15,60.36,60.88,10319200,20141103
34,JPM,2014-11-04 00:00:00-05:00,60.24,60.37,59.42,60.25,13106400,20141104
35,JPM,2014-11-05 00:00:00-05:00,60.8,61.23,60.39,61.15,11795000,20141105
36,JPM,2014-11-06 00:00:00-05:00,61.08,61.31,60.63,61.23,7958800,20141106
37,JPM,2014-11-07 00:00:00-05:00,61.07,61.55,60.86,61.47,9956800,20141107
38,JPM,2014-11-10 00:00:00-05:00,61.25,61.93,61.2,61.93,8759600,20141110
39,JPM,2014-11-11 00:00:00-05:00,61.71,61.89,61.29,61.37,10516900,20141111
40,JPM,2014-11-12 00:00:00-05:00,60.42,60.84,60.23,60.56,13714400,20141112
41,JPM,2014-11-13 00:00:00-05:00,60.5,60.63,59.99,60.23,10538800,20141113
42,JPM,2014-11-14 00:00:00-05:00,60.32,60.62,60.18,60.28,5353000,20141114
43,JPM,2014-11-17 00:00:00-05:00,60.0,60.53,59.89,60.38,6203700,20141117
44,JPM,2014-11-18 00:00:00-05:00,60.35,60.82,60.2,60.53,7172100,20141118
45,JPM,2014-11-19 00:00:00-05:00,60.45,60.79,60.15,60.6,7684400,20141119
46,JPM,2014-11-20 00:00:00-05:00,60.2,60.25,59.75,60.12,8943500,20141120
47,JPM,2014-11-21 00:00:00-05:00,61.07,61.07,60.3,60.45,10132900,20141121
48,JPM,2014-11-24 00:00:00-05:00,60.7,61.31,60.7,60.96,6584700,20141124
49,JPM,2014-11-25 00:00:00-05:00,61.16,61.16,59.95,60.3,12086500,20141125
50,JPM,2014-11-26 00:00:00-05:00,60.57,60.57,60.2,60.34,5715600,20141126
51,JPM,2014-11-28 00:00:00-05:00,60.4,60.56,60.03,60.16,4961900,20141128
52,JPM,2014-12-01 00:00:00-05:00,59.98,60.21,59.55,60.0,10175100,20141201
53,JPM,2014-12-02 00:00:00-05:00,60.01,61.19,60.0,61.08,10269400,20141202
54,JPM,2014-12-03 00:00:00-05:00,60.94,61.62,60.81,61.54,10319500,20141203
55,JPM,2014-12-04 00:00:00-05:00,61.1,61.57,60.84,61.38,10170800,20141204
56,JPM,2014-12-05 00:00:00-05:00,62.02,63.06,61.88,62.7,16735200,20141205
57,JPM,2014-12-08 00:00:00-05:00,62.62,63.36,62.26,62.67,13123600,20141208
58,JPM,2014-12-09 00:00:00-05:00,61.85,62.85,61.56,62.45,16833900,20141209
