,symbol,time,open,high,low,close,volume,date
0,MSFT,2014-09-17 00:00:00-04:00,46.27,46.69,46.23,46.52,33587300,20140917
1,MSFT,2014-09-18 00:00:00-04:00,46.6,46.83,46.46,46.68,29292000,20140918
2,MSFT,2014-09-19 00:00:00-04:00,46.77,47.57,46.6,47.52,72503800,20140919
3,MSFT,2014-09-22 00:00:00-04:00,47.3,47.38,46.98,47.06,33085900,20140922
4,MSFT,2014-09-23 00:00:00-04:00,46.85,46.98,46.47,46.56,29903100,20140923
5,MSFT,2014-09-24 00:00:00-04:00,46.63,47.11,46.34,47.08,21065700,20140924
6,MSFT,2014-09-25 00:00:00-04:00,46.88,47.09,46.03,46.04,28223800,20140925
7,MSFT,2014-09-26 00:00:00-04:00,45.9,46.62,45.76,46.41,22337000,20140926
8,MSFT,2014-09-29 00:00:00-04:00,45.98,46.56,45.76,46.44,22173100,20140929
9,MSFT,2014-09-30 00:00:00-04:00,46.37,46.48,46.01,46.36,26746900,20140930
10,MSFT,2014-10-01 00:00:00-04:00,46.27,46.53,45.84,45.9,30875900,20141001
11,MSFT,2014-10-02 00:00:00-04:00,45.83,46.1,45.64,45.76,22809000,20141002
12,MSFT,2014-10-03 00:00:00-04:00,45.98,46.3,45.61,46.09,27261200,20141003
13,MSFT,2014-10-06 00:00:00-04:00,46.12,46.3,45.92,46.09,18389800,20141006
14,MSFT,2014-10-07 00:00:00-04:00,45.86,45.93,45.42,45.53,22276300,20141007
15,MSFT,2014-10-08 00:00:00-04:00,45.48,46.89,45.34,46.78,28269200,20141008
16,MSFT,2014-10-09 00:00:00-04:00,46.49,46.8,45.74,45.85,29096700,20141009
17,MSFT,2014-10-10 00:00:00-04:00,45.64,46.12,43.95,44.03,44966700,20141010
18,MSFT,2014-10-13 00:00:00-04:00,43.83,44.56,43.49,43.65,31799600,20141013
19,MSFT,2014-10-14 00:00:00-04:00,43.89,44.38,43.56,43.73,32948000,20141014
20,MSFT,2014-10-15 00:00:00-04:00,42.99,43.39,42.1,43.22,52128600,20141015
21,MSFT,2014-10-16 00:00:00-04:00,42.53,43.08,42.22,42.74,42354600,20141016
22,MSFT,2014-10-17 00:00:00-04:00,43.26,43.94,42.79,43.63,35539700,20141017
23,MSFT,2014-10-20 00:00:00-04:00,43.07,44.14,42.81,44.08,28004000,20141020
24,MSFT,2014-10-21 00:00:00-04:00,44.36,44.98,44.19,44.88,29771900,20141021
25,MSFT,2014-10-22 00:00:00-04:00,44.97,45.07,44.23,44.38,29174400,20141022
26,MSFT,2014-10-23 00:00:00-04:00,44.62,45.45,44.53,45.02,34590200,20141023
27,MSFT,2014-10-24 00:00:00-04:00,46.83,46.9,45.18,46.13,54692300,20141024
28,MSFT,2014-10-27 00:00:00-04:00,45.7,46.1,45.7,45.91,24582000,20141027
29,MSFT,2014-10-28 00:00:00-04:00,45.86,46.5,45.77,46.49,23977600,20141028
30,MSFT,2014-10-29 00:00:00-04:00,46.44,46.7,46.34,46.62,26732600,20141029
31,MSFT,2014-10-30 00:00:00-04:00,46.25,46.32,45.77,46.05,26146700,20141030
32,MSFT,2014-10-31 00:00:00-04:00,46.94,46.97,46.48,46.95,27464100,20141031
33,MSFT,2014-11-03 00:00:00-05:00,46.75,47.46,46.73,47.44,19235000,20141103
34,MSFT,2014-11-04 00:00:00-05:00,47.3,47.73,47.25,47.57,17926700,20141104
35,MSFT,2014-11-05 00:00:00-05:00,47.8,47.9,47.26,47.86,18734500,20141105
36,MSFT,2014-11-06 00:00:00-05:00,47.86,48.86,47.79,48.7,28862400,20141106
37,MSFT,2014-11-07 00:00:00-05:00,48.92,48.92,48.29,48.68,23172500,20141107
38,MSFT,2014-11-10 00:00:00-05:00,48.65,49.15,48.55,48.89,32828200,20141110
39,MSFT,2014-11-11 00:00:00-05:00,48.85,48.93,48.65,48.87,19631200,20141111
40,MSFT,2014-11-12 00:00:00-05:00,48.56,48.92,48.52,48.78,19077100,20141112
41,MSFT,2014-11-13 00:00:00-05:00,48.81,49.65,48.71,49.61,23215500,20141113
42,MSFT,2014-11-14 00:00:00-05:00,49.74,50.05,49.39,49.58,24470900,20141114
43,MSFT,2014-11-17 00:00:00-05:00,49.41,49.71,49.14,49.46,24803600,20141117
44,MSFT,2014-11-18 00:00:00-05:00,49.13,49.33,48.7,48.74,19387200,20141118
45,MSFT,2014-11-19 00:00:00-05:00,48.66,48.76,47.93,48.22,21422300,20141119
46,MSFT,2014-11-20 00:00:00-05:00,48.01,48.7,47.87,48.7,17529100,20141120
47,MSFT,2014-11-21 00:00:00-05:00,49.02,49.05,47.57,47.98,34186300,20141121
48,MSFT,2014-11-24 00:00:00-05:00,47.98,48.0,47.39,47.59,29122600,20141124
49,MSFT,2014-11-25 00:00:00-05:00,47.66,47.97,47.45,47.47,20537700,20141125
50,MSFT,2014-11-26 00:00:00-05:00,47.49,47.99,47.28,47.75,21311600,20141126
51,MSFT,2014-11-28 00:00:00-05:00,47.95,48.2,47.61,47.81,14978700,20141128
52,MSFT,2014-12-01 00:00:00-05:00,47.79,48.78,47.71,48.62,23890700,20141201
53,MSFT,2014-12-02 00:00:00-05:00,48.9,49.05,48.2,48.46,21922700,20141202
54,MSFT,2014-12-03 00:00:00-05:00,48.48,48.5,47.8,48.08,17267900,20141203
55,MSFT,2014-12-04 00:00:00-05:00,48.2,49.06,48.2,48.84,25915000,20141204
56,MSFT,2014-12-05 00:00:00-05:00,48.88,48.97,48.38,48.42,18987900,20141205
57,MSFT,2014-12-08 00:00:00-05:00,48.26,48.35,47.44,47.695,20794600,20141208
58,MSFT,2014-12-09 00:00:00-05:00,47.11,47.92,47.05,47.59,18670000,20141209
59,MSFT,2014-12-10 00:00:00-05:00,47.55,47.66,46.7,46.9,24754300,20141210
60,MSFT,2014-12-11 00:00:00-05:00,47.08,47.74,46.68,47.17,23931400,20141211
61,MSFT,2014-12-12 00:00:00-05:00,46.78,47.73,46.67,46.95,28130300,20141212
62,MSFT,2014-12-15 00:00:00-05:00,47.2,47.67,46.55,46.67,22387900,20141215
63,MSFT,2014-12-16 00:00:00-05:00,45.85,46.34,45.13,45.16,41479300,20141216
64,MSFT,2014-12-17 00:00:00-05:00,45.05,45.95,44.9,45.74,26912800,20141217
65,MSFT,2014-12-18 00:00:00-05:00,46.58,47.52,46.33,47.52,32032200,20141218
66,MSFT,2014-12-19 00:00:00-05:00,47.62,48.1,47.17,47.66,43329900,20141219
67,MSFT,2014-12-22 00:00:00-05:00,47.82,48.12,47.71,47.98,16789200,20141222
68,MSFT,2014-12-23 00:00:00-05:00,48.37,48.8,48.13,48.45,19100300,20141223
69,MSFT,2014-12-24 00:00:00-05:00,48.64,48.64,48.08,48.14,7449000,20141224
70,MSFT,2014-12-26 00:00:00-05:00,48.41,48.41,47.82,47.88,8862700,20141226
71,MSFT,2014-12-29 00:00:00-05:00,47.7,47.78,47.26,47.45,11630300,20141229
72,MSFT,2014-12-30 00:00:00-05:00,47.41,47.62,46.84,47.02,12867800,20141230
73,MSFT,2014-12-31 00:00:00-05:00,46.73,47.44,46.46,46.45,16175100,20141231
74,MSFT,2015-01-02 00:00:00-05:00,46.66,47.42,46.54,46.76,23548100,20150102
75,MSFT,2015-01-05 00:00:00-05:00,46.37,46.73,46.25,46.325,30324000,20150105
76,MSFT,2015-01-06 00:00:00-05:00,46.38,46.75,45.54,45.65,30459000,20150106
77,MSFT,2015-01-07 00:00:00-05:00,45.98,46.46,45.49,46.23,24504900,20150107
78,MSFT,2015-01-08 00:00:00-05:00,46.75,47.75,46.72,47.59,24277500,20150108
79,MSFT,2015-01-09 00:00:00-05:00,47.61,47.82,46.9,47.19,20149600,20150109
80,MSFT,2015-01-12 00:00:00-05:00,47.42,47.54,46.36,46.6,19278200,20150112
81,MSFT,2015-01-13 00:00:00-05:00,46.97,47.91,46.06,46.355,30913500,20150113
