,symbol,time,open,high,low,close,volume,date
0,PFE,2014-09-17 00:00:00-04:00,30.19,30.46,30.1,30.35,21681200,20140917
1,PFE,2014-09-18 00:00:00-04:00,30.41,30.72,30.34,30.58,22315100,20140918
2,PFE,2014-09-19 00:00:00-04:00,30.76,30.84,30.26,30.4,24877100,20140919
3,PFE,2014-09-22 00:00:00-04:00,30.26,30.37,29.98,30.18,21640900,20140922
4,PFE,2014-09-23 00:00:00-04:00,29.83,30.23,29.5,30.05,24353700,20140923
5,PFE,2014-09-24 00:00:00-04:00,30.11,30.45,30.07,30.31,18152200,20140924
6,PFE,2014-09-25 00:00:00-04:00,30.33,30.37,29.97,29.98,18330400,20140925
7,PFE,2014-09-26 00:00:00-04:00,29.97,29.98,29.56,29.72,20202900,20140926
8,PFE,2014-09-29 00:00:00-04:00,29.67,29.84,29.57,29.77,17590700,20140929
9,PFE,2014-09-30 00:00:00-04:00,29.77,29.99,29.55,29.57,20428100,20140930
10,PFE,2014-10-01 00:00:00-04:00,29.37,29.41,29.02,29.15,29792600,20141001
11,PFE,2014-10-02 00:00:00-04:00,29.16,29.29,28.89,29.06,25871600,20141002
12,PFE,2014-10-03 00:00:00-04:00,29.29,29.31,29.0,29.22,19736200,20141003
13,PFE,2014-10-06 00:00:00-04:00,29.35,29.41,29.01,29.17,14144600,20141006
14,PFE,2014-10-07 00:00:00-04:00,29.03,29.12,28.79,28.79,21387700,20141007
15,PFE,2014-10-08 00:00:00-04:00,28.81,29.39,28.54,29.38,25290700,20141008
16,PFE,2014-10-09 00:00:00-04:00,29.4,29.44,28.93,28.99,19360500,20141009
17,PFE,2014-10-10 00:00:00-04:00,29.11,29.47,29.0,29.13,27143300,20141010
18,PFE,2014-10-13 00:00:00-04:00,29.16,29.29,28.42,28.47,29820100,20141013
19,PFE,2014-10-14 00:00:00-04:00,28.64,28.8,28.4,28.46,20486000,20141014
20,PFE,2014-10-15 00:00:00-04:00,28.19,28.3,27.56,28.19,35806500,20141015
21,PFE,2014-10-16 00:00:00-04:00,27.87,28.01,27.51,27.7,32922200,20141016
22,PFE,2014-10-17 00:00:00-04:00,27.81,28.01,27.63,27.83,28757900,20141017
23,PFE,2014-10-20 00:00:00-04:00,27.87,27.97,27.6,27.93,34989700,20141020
24,PFE,2014-10-21 00:00:00-04:00,28.12,28.52,28.0,28.28,30551700,20141021
25,PFE,2014-10-22 00:00:00-04:00,28.25,28.49,28.01,28.3,26274700,20141022
26,PFE,2014-10-23 00:00:00-04:00,28.65,28.87,28.57,28.6,25873000,20141023
27,PFE,2014-10-24 00:00:00-04:00,28.8,29.27,28.71,29.11,22587800,20141024
28,PFE,2014-10-27 00:00:00-04:00,29.09,29.21,28.95,29.03,19351500,20141027
29,PFE,2014-10-28 00:00:00-04:00,29.17,29.3,28.86,29.09,24854000,20141028
30,PFE,2014-10-29 00:00:00-04:00,29.15,29.63,29.04,29.49,24365500,20141029
31,PFE,2014-10-30 00:00:00-04:00,29.39,29.98,29.39,29.84,17476800,20141030
32,PFE,2014-10-31 00:00:00-04:00,30.01,30.2,29.81,29.95,19331600,20141031
33,PFE,2014-11-03 00:00:00-05:00,29.9,30.2,29.86,30.19,17551200,20141103
34,PFE,2014-11-04 00:00:00-05:00,30.14,30.3,29.87,30.28,20305900,20141104
35,PFE,2014-11-05 00:00:00-05:00,30.37,30.41,29.95,30.04,16051500,20141105
36,PFE,2014-11-06 00:00:00-05:00,30.08,30.26,29.97,30.04,12956000,20141106
