,symbol,time,open,high,low,close,volume,date
0,T,2014-09-17 00:00:00-04:00,35.02,35.19,34.83,35.02,12697600,20140917
1,T,2014-09-18 00:00:00-04:00,35.12,35.24,35.01,35.16,11755800,20140918
2,T,2014-09-19 00:00:00-04:00,35.35,35.48,35.23,35.47,16523200,20140919
3,T,2014-09-22 00:00:00-04:00,35.46,35.55,35.29,35.5,13886200,20140922
4,T,2014-09-23 00:00:00-04:00,35.46,35.51,35.23,35.26,14352600,20140923
5,T,2014-09-24 00:00:00-04:00,35.33,35.49,35.18,35.4,10497500,20140924
6,T,2014-09-25 00:00:00-04:00,35.42,35.43,34.98,35.08,16792800,20140925
7,T,2014-09-26 00:00:00-04:00,35.2,35.34,34.96,35.28,12026700,20140926
8,T,2014-09-29 00:00:00-04:00,35.14,35.27,34.97,35.23,12500100,20140929
9,T,2014-09-30 00:00:00-04:00,35.26,35.4,35.1,35.24,15865100,20140930
10,T,2014-10-01 00:00:00-04:00,35.09,35.23,34.93,34.96,19578400,20141001
11,T,2014-10-02 00:00:00-04:00,35.04,35.12,34.82,34.97,21683700,20141002
12,T,2014-10-03 00:00:00-04:00,35.26,35.4,35.08,35.36,17373900,20141003
13,T,2014-10-06 00:00:00-04:00,35.56,35.73,35.36,35.49,19619400,20141006
14,T,2014-10-07 00:00:00-04:00,35.53,35.61,35.31,35.33,17455400,20141007
15,T,2014-10-08 00:00:00-04:00,34.91,35.17,34.62,35.15,20124800,20141008
16,T,2014-10-09 00:00:00-04:00,35.1,35.22,34.6,34.66,18682800,20141009
17,T,2014-10-10 00:00:00-04:00,34.76,34.8,34.24,34.25,23175700,20141010
18,T,2014-10-13 00:00:00-04:00,34.17,34.34,33.82,33.82,20662200,20141013
19,T,2014-10-14 00:00:00-04:00,33.88,34.06,33.72,33.84,19660000,20141014
20,T,2014-10-15 00:00:00-04:00,33.68,33.98,33.1,33.87,42336600,20141015
21,T,2014-10-16 00:00:00-04:00,33.63,33.83,33.25,33.64,25639900,20141016
22,T,2014-10-17 00:00:00-04:00,33.76,34.2,33.66,34.08,21569200,20141017
23,T,2014-10-20 00:00:00-04:00,34.08,34.29,33.84,34.28,13203500,20141020
24,T,2014-10-21 00:00:00-04:00,34.27,34.66,34.09,34.62,18895600,20141021
25,T,2014-10-22 00:00:00-04:00,34.78,34.83,34.38,34.5,19408400,20141022
26,T,2014-10-23 00:00:00-04:00,34.04,34.11,33.45,33.66,49701700,20141023
27,T,2014-10-24 00:00:00-04:00,33.62,33.94,33.32,33.87,25427600,20141024
28,T,2014-10-27 00:00:00-04:00,33.88,34.24,33.0,34.11,18344000,20141027
29,T,2014-10-28 00:00:00-04:00,34.31,34.41,34.08,34.33,20598500,20141028
30,T,2014-10-29 00:00:00-04:00,34.4,34.65,34.17,34.4,19158000,20141029
31,T,2014-10-30 00:00:00-04:00,34.26,34.55,34.12,34.51,14916500,20141030
32,T,2014-10-31 00:00:00-04:00,34.76,34.85,34.58,34.84,19016200,20141031
33,T,2014-11-03 00:00:00-05:00,34.97,35.03,34.61,34.84,17751500,20141103
34,T,2014-11-04 00:00:00-05:00,35.01,35.08,34.64,34.79,15567700,20141104
35,T,2014-11-05 00:00:00-05:00,34.94,34.96,34.71,34.92,12989200,20141105
36,T,2014-11-06 00:00:00-05:00,34.9,34.95,34.52,34.72,14261800,20141106
37,T,2014-11-07 00:00:00-05:00,34.71,34.97,34.53,34.91,12138000,20141107
38,T,2014-11-10 00:00:00-05:00,35.06,35.14,34.66,35.12,15656400,20141110
39,T,2014-11-11 00:00:00-05:00,35.15,35.15,34.8,35.1,10892700,20141111
40,T,2014-11-12 00:00:00-05:00,35.05,35.44,34.96,35.4,15375100,20141112
41,T,2014-11-13 00:00:00-05:00,35.37,35.9,35.29,35.61,18125300,20141113
42,T,2014-11-14 00:00:00-05:00,35.64,36.15,35.6,35.9,15308800,20141114
43,T,2014-11-17 00:00:00-05:00,35.86,35.9,35.63,35.85,9382300,20141117
44,T,2014-11-18 00:00:00-05:00,35.77,35.87,35.62,35.72,12178100,20141118
45,T,2014-11-19 00:00:00-05:00,35.67,35.67,35.18,35.37,16429200,20141119
46,T,2014-11-20 00:00:00-05:00,35.35,35.44,35.19,35.28,9782400,20141120
47,T,2014-11-21 00:00:00-05:00,35.48,35.5,34.99,35.28,20591200,20141121
48,T,2014-11-24 00:00:00-05:00,34.98,35.1,34.22,34.7,32327800,20141124
49,T,2014-11-25 00:00:00-05:00,34.65,34.85,34.3,34.82,23433100,20141125
50,T,2014-11-26 00:00:00-05:00,34.89,35.2,34.86,35.13,11652000,20141126
51,T,2014-11-28 00:00:00-05:00,35.28,35.57,35.23,35.38,9809300,20141128
52,T,2014-12-01 00:00:00-05:00,35.28,35.37,34.91,35.06,17012700,20141201
53,T,2014-12-02 00:00:00-05:00,34.89,35.01,34.17,34.29,30776100,20141202
54,T,2014-12-03 00:00:00-05:00,34.25,34.26,33.92,34.0,24757700,20141203
55,T,2014-12-04 00:00:00-05:00,34.08,34.1,33.75,33.91,19296700,20141204
56,T,2014-12-05 00:00:00-05:00,33.88,33.95,33.71,33.94,16457200,20141205
57,T,2014-12-08 00:00:00-05:00,33.98,34.09,33.85,33.88,12668700,20141208
58,T,2014-12-09 00:00:00-05:00,33.31,33.33,32.4,32.89,51189400,20141209
59,T,2014-12-10 00:00:00-05:00,32.89,32.89,32.41,32.49,29369700,20141210
60,T,2014-12-11 00:00:00-05:00,32.62,33.05,32.56,32.71,23799600,20141211
61,T,2014-12-12 00:00:00-05:00,32.52,32.58,32.16,32.16,24833100,20141212
