,symbol,time,open,high,low,close,volume,date
0,UNH,2014-09-17 00:00:00-04:00,86.95,87.56,86.47,86.99,2406600,20140917
1,UNH,2014-09-18 00:00:00-04:00,87.42,87.97,87.19,87.63,1929000,20140918
2,UNH,2014-09-19 00:00:00-04:00,88.51,88.72,87.64,87.8,4760800,20140919
3,UNH,2014-09-22 00:00:00-04:00,87.8,88.44,87.48,87.77,1823900,20140922
4,UNH,2014-09-23 00:00:00-04:00,87.32,87.69,86.38,86.59,1985400,20140923
5,UNH,2014-09-24 00:00:00-04:00,86.62,88.46,86.6,88.21,1818000,20140924
6,UNH,2014-09-25 00:00:00-04:00,87.79,88.0,86.03,86.18,2764700,20140925
7,UNH,2014-09-26 00:00:00-04:00,86.25,86.97,85.91,86.6,1745800,20140926
8,UNH,2014-09-29 00:00:00-04:00,85.58,86.95,85.58,86.51,1803800,20140929
9,UNH,2014-09-30 00:00:00-04:00,86.68,87.08,86.12,86.25,1826200,20140930
10,UNH,2014-10-01 00:00:00-04:00,86.0,86.26,84.61,84.88,3323800,20141001
11,UNH,2014-10-02 00:00:00-04:00,84.85,85.27,83.73,84.9,2550800,20141002
12,UNH,2014-10-03 00:00:00-04:00,85.37,86.28,85.07,86.02,2171600,20141003
13,UNH,2014-10-06 00:00:00-04:00,86.65,86.95,84.95,85.09,2025000,20141006
14,UNH,2014-10-07 00:00:00-04:00,84.9,85.13,83.93,84.19,2609600,20141007
15,UNH,2014-10-08 00:00:00-04:00,84.29,86.84,83.99,86.62,3835000,20141008
16,UNH,2014-10-09 00:00:00-04:00,86.35,86.55,84.63,84.94,3341800,20141009
17,UNH,2014-10-10 00:00:00-04:00,85.09,86.82,85.05,85.39,3207100,20141010
18,UNH,2014-10-13 00:00:00-04:00,85.22,85.95,83.76,83.95,2900800,20141013
19,UNH,2014-10-14 00:00:00-04:00,84.34,84.57,82.55,82.82,4955900,20141014
20,UNH,2014-10-15 00:00:00-04:00,82.17,82.98,80.72,82.16,7009700,20141015
21,UNH,2014-10-16 00:00:00-04:00,84.76,86.7,84.1,85.39,8845700,20141016
22,UNH,2014-10-17 00:00:00-04:00,86.85,88.81,86.75,88.18,7283800,20141017
23,UNH,2014-10-20 00:00:00-04:00,88.24,88.84,88.0,88.54,4092200,20141020
24,UNH,2014-10-21 00:00:00-04:00,89.16,91.08,88.85,90.95,4727700,20141021
25,UNH,2014-10-22 00:00:00-04:00,91.44,91.44,89.71,89.77,3485200,20141022
26,UNH,2014-10-23 00:00:00-04:00,90.94,91.28,90.42,90.66,2563500,20141023
27,UNH,2014-10-24 00:00:00-04:00,90.66,91.7,90.59,91.64,2074500,20141024
28,UNH,2014-10-27 00:00:00-04:00,91.43,92.28,91.38,92.13,2692700,20141027
29,UNH,2014-10-28 00:00:00-04:00,91.05,92.78,90.36,92.64,3845800,20141028
30,UNH,2014-10-29 00:00:00-04:00,92.9,93.68,92.69,92.96,3442600,20141029
31,UNH,2014-10-30 00:00:00-04:00,92.56,94.87,91.01,93.88,2158900,20141030
32,UNH,2014-10-31 00:00:00-04:00,95.0,95.67,94.31,95.01,3827000,20141031
33,UNH,2014-11-03 00:00:00-05:00,95.45,95.67,94.5,94.86,2935600,20141103
34,UNH,2014-11-04 00:00:00-05:00,94.99,95.6,94.24,94.98,3481200,20141104
35,UNH,2014-11-05 00:00:00-05:00,96.0,96.01,95.02,95.8,2817600,20141105
36,UNH,2014-11-06 00:00:00-05:00,96.04,96.64,95.9,96.21,2925800,20141106
37,UNH,2014-11-07 00:00:00-05:00,95.5,95.72,93.01,93.61,4970100,20141107
38,UNH,2014-11-10 00:00:00-05:00,93.68,95.0,93.5,94.75,3279000,20141110
39,UNH,2014-11-11 00:00:00-05:00,95.05,95.75,94.72,95.69,1852700,20141111
40,UNH,2014-11-12 00:00:00-05:00,95.23,95.97,94.52,95.68,2308400,20141112
41,UNH,2014-11-13 00:00:00-05:00,95.64,96.74,95.4,95.9,2265500,20141113
42,UNH,2014-11-14 00:00:00-05:00,96.02,96.12,94.87,95.11,2120900,20141114
43,UNH,2014-11-17 00:00:00-05:00,95.2,96.69,94.84,96.47,2659200,20141117
44,UNH,2014-11-18 00:00:00-05:00,96.99,98.61,96.85,98.19,3393200,20141118
45,UNH,2014-11-19 00:00:00-05:00,97.73,98.41,96.79,96.86,2657500,20141119
46,UNH,2014-11-20 00:00:00-05:00,96.46,96.85,96.17,96.85,2698600,20141120
47,UNH,2014-11-21 00:00:00-05:00,97.4,98.04,96.59,96.71,3405600,20141121
48,UNH,2014-11-24 00:00:00-05:00,97.27,97.29,96.51,96.9,3285300,20141124
49,UNH,2014-11-25 00:00:00-05:00,97.0,98.14,96.91,97.9,2813200,20141125
50,UNH,2014-11-26 00:00:00-05:00,97.99,98.74,97.82,98.11,2096200,20141126
51,UNH,2014-11-28 00:00:00-05:00,98.7,99.42,98.43,98.63,1654200,20141128
52,UNH,2014-12-01 00:00:00-05:00,98.75,99.83,98.01,99.06,3468400,20141201
53,UNH,2014-12-02 00:00:00-05:00,99.0,100.0,98.2,99.83,3221900,20141202
54,UNH,2014-12-03 00:00:00-05:00,99.88,101.33,99.7,100.8,5380100,20141203
55,UNH,2014-12-04 00:00:00-05:00,100.84,100.93,99.42,99.67,3457400,20141204
56,UNH,2014-12-05 00:00:00-05:00,99.81,100.71,99.68,100.33,2449200,20141205
57,UNH,2014-12-08 00:00:00-05:00,100.32,100.9,99.63,99.92,2432900,20141208
58,UNH,2014-12-09 00:00:00-05:00,99.04,101.09,98.75,101.02,3000900,20141209
59,UNH,2014-12-10 00:00:00-05:00,100.77,101.02,99.0,99.09,2961800,20141210
60,UNH,2014-12-11 00:00:00-05:00,99.39,100.67,99.24,99.73,2348300,20141211
61,UNH,2014-12-12 00:00:00-05:00,99.58,100.41,98.69,98.76,2006100,20141212
62,UNH,2014-12-15 00:00:00-05:00,98.8,99.75,97.41,98.27,2851600,20141215
63,UNH,2014-12-16 00:00:00-05:00,97.65,98.78,95.75,95.85,3928700,20141216
64,UNH,2014-12-17 00:00:00-05:00,96.55,99.75,96.17,99.14,5270400,20141217
65,UNH,2014-12-18 00:00:00-05:00,100.28,102.26,99.91,102.24,3693700,20141218
66,UNH,2014-12-19 00:00:00-05:00,102.0,104.0,102.0,102.49,5227400,20141219
67,UNH,2014-12-22 00:00:00-05:00,102.58,103.24,102.47,103.04,1624000,20141222
68,UNH,2014-12-23 00:00:00-05:00,103.72,103.93,102.44,102.85,2566400,20141223
69,UNH,2014-12-24 00:00:00-05:00,103.0,103.32,102.54,102.68,731500,20141224
70,UNH,2014-12-26 00:00:00-05:00,102.59,103.0,102.16,102.55,963900,20141226
71,UNH,2014-12-29 00:00:00-05:00,102.38,103.01,101.83,102.33,1202200,20141229
72,UNH,2014-12-30 00:00:00-05:00,102.25,103.06,102.25,102.85,1359900,20141230
73,UNH,2014-12-31 00:00:00-05:00,103.12,103.68,101.03,101.09,1600800,20141231
74,UNH,2015-01-02 00:00:00-05:00,101.5,102.62,100.0,100.78,2276700,20150102
75,UNH,2015-01-05 00:00:00-05:00,100.3,100.45,98.74,99.12,3200500,20150105
76,UNH,2015-01-06 00:00:00-05:00,99.83,100.14,98.46,98.92,2753200,20150106
77,UNH,2015-01-07 00:00:00-05:00,98.96,100.3,98.92,99.93,2660100,20150107
78,UNH,2015-01-08 00:00:00-05:00,101.57,104.99,100.72,104.7,4283400,20150108
79,UNH,2015-01-09 00:00:00-05:00,104.42,104.63,102.9,103.72,2670000,20150109
80,UNH,2015-01-12 00:00:00-05:00,103.83,104.0,101.91,102.55,2459500,20150112
81,UNH,2015-01-13 00:00:00-05:00,103.94,105.6,101.84,103.07,3132500,20150113
82,UNH,2015-01-14 00:00:00-05:00,101.61,103.48,101.18,103.33,3936500,20150114
83,UNH,2015-01-15 00:00:00-05:00,103.56,104.59,103.13,104.46,4221600,20150115
84,UNH,2015-01-16 00:00:00-05:00,104.5,106.0,103.65,105.77,5209500,20150116
85,UNH,2015-01-20 00:00:00-05:00,106.2,106.38,104.49,105.62,5724300,20150120
86,UNH,2015-01-21 00:00:00-05:00,106.52,109.45,105.9,109.32,6383600,20150121
87,UNH,2015-01-22 00:00:00-05:00,109.75,114.12,109.33,113.85,6911000,20150122
88,UNH,2015-01-23 00:00:00-05:00,113.64,114.32,112.0,112.0,4379000,20150123
89,UNH,2015-01-26 00:00:00-05:00,112.0,112.0,110.76,111.61,3432900,20150126
90,UNH,2015-01-27 00:00:00-05:00,110.95,111.25,109.92,110.01,3869000,20150127
91,UNH,2015-01-28 00:00:00-05:00,110.57,110.88,108.45,108.46,5648000,20150128
92,UNH,2015-01-29 00:00:00-05:00,108.49,109.58,106.74,109.39,4107700,20150129
93,UNH,2015-01-30 00:00:00-05:00,108.62,109.39,106.14,106.25,3866500,20150130
94,UNH,2015-02-02 00:00:00-05:00,106.73,107.34,105.07,107.29,3809300,20150202
95,UNH,2015-02-03 00:00:00-05:00,107.35,108.0,106.52,107.81,3493200,20150203
96,UNH,2015-02-04 00:00:00-05:00,106.83,108.74,106.75,107.92,4092600,20150204
