,symbol,time,open,high,low,close,volume,date
0,VZ,2014-09-17 00:00:00-04:00,49.05,49.48,48.95,49.21,12804600,20140917
1,VZ,2014-09-18 00:00:00-04:00,49.45,49.72,49.37,49.69,9275300,20140918
2,VZ,2014-09-19 00:00:00-04:00,50.04,50.38,49.83,50.35,21783300,20140919
3,VZ,2014-09-22 00:00:00-04:00,50.11,50.32,49.83,50.18,12052600,20140922
4,VZ,2014-09-23 00:00:00-04:00,50.09,50.15,49.78,49.91,8771400,20140923
5,VZ,2014-09-24 00:00:00-04:00,49.98,50.15,49.82,50.07,9324800,20140924
6,VZ,2014-09-25 00:00:00-04:00,50.1,50.2,49.43,49.61,11349200,20140925
7,VZ,2014-09-26 00:00:00-04:00,49.57,49.91,49.31,49.77,7159200,20140926
8,VZ,2014-09-29 00:00:00-04:00,49.62,49.79,49.21,49.75,7989600,20140929
9,VZ,2014-09-30 00:00:00-04:00,49.67,50.24,49.6,49.99,9641600,20140930
10,VZ,2014-10-01 00:00:00-04:00,49.73,49.95,49.4,49.43,13973800,20141001
11,VZ,2014-10-02 00:00:00-04:00,49.7,49.73,49.2,49.29,12884300,20141002
12,VZ,2014-10-03 00:00:00-04:00,49.7,49.83,49.5,49.71,9927300,20141003
13,VZ,2014-10-06 00:00:00-04:00,49.94,50.26,49.92,50.08,9756800,20141006
14,VZ,2014-10-07 00:00:00-04:00,49.99,50.03,49.67,49.68,13257100,20141007
15,VZ,2014-10-08 00:00:00-04:00,49.15,49.86,48.95,49.87,12445100,20141008
16,VZ,2014-10-09 00:00:00-04:00,49.78,49.89,48.84,48.93,12601700,20141009
17,VZ,2014-10-10 00:00:00-04:00,49.0,49.5,48.94,48.94,16857200,20141010
18,VZ,2014-10-13 00:00:00-04:00,49.05,49.46,48.36,48.37,17450100,20141013
19,VZ,2014-10-14 00:00:00-04:00,48.48,48.68,48.1,48.22,16265200,20141014
20,VZ,2014-10-15 00:00:00-04:00,47.74,48.07,46.89,47.92,24633500,20141015
21,VZ,2014-10-16 00:00:00-04:00,47.41,48.04,47.03,47.67,15890900,20141016
22,VZ,2014-10-17 00:00:00-04:00,47.8,48.19,47.61,48.07,15379600,20141017
23,VZ,2014-10-20 00:00:00-04:00,48.06,48.55,47.81,48.48,11152400,20141020
24,VZ,2014-10-21 00:00:00-04:00,48.09,48.85,47.95,48.69,20101800,20141021
25,VZ,2014-10-22 00:00:00-04:00,48.69,48.84,48.26,48.31,10945300,20141022
26,VZ,2014-10-23 00:00:00-04:00,48.58,48.6,47.85,48.22,12790600,20141023
27,VZ,2014-10-24 00:00:00-04:00,48.2,49.11,48.1,48.77,11561000,20141024
28,VZ,2014-10-27 00:00:00-04:00,48.78,49.54,48.73,49.42,10841300,20141027
29,VZ,2014-10-28 00:00:00-04:00,49.7,50.03,49.61,49.96,11394000,20141028
30,VZ,2014-10-29 00:00:00-04:00,50.05,50.25,49.55,49.83,10163100,20141029
31,VZ,2014-10-30 00:00:00-04:00,49.63,50.28,49.5,49.9,10099400,20141030
32,VZ,2014-10-31 00:00:00-04:00,50.42,50.5,50.07,50.25,14358200,20141031
33,VZ,2014-11-03 00:00:00-05:00,50.49,50.65,50.05,50.39,9589700,20141103
34,VZ,2014-11-04 00:00:00-05:00,50.46,50.92,50.13,50.33,11895900,20141104
35,VZ,2014-11-05 00:00:00-05:00,50.69,50.98,49.93,50.34,8999000,20141105
36,VZ,2014-11-06 00:00:00-05:00,50.37,50.38,49.67,50.28,11195300,20141106
37,VZ,2014-11-07 00:00:00-05:00,50.33,50.87,50.12,50.86,10576900,20141107
38,VZ,2014-11-10 00:00:00-05:00,50.72,51.05,50.15,50.72,14615900,20141110
39,VZ,2014-11-11 00:00:00-05:00,50.94,50.95,50.33,50.61,7793900,20141111
40,VZ,2014-11-12 00:00:00-05:00,50.35,51.02,50.3,50.82,7992200,20141112
41,VZ,2014-11-13 00:00:00-05:00,50.66,51.29,50.64,51.2,9682000,20141113
42,VZ,2014-11-14 00:00:00-05:00,51.26,51.73,51.18,51.5,10499200,20141114
43,VZ,2014-11-17 00:00:00-05:00,51.41,51.48,51.14,51.4,4756500,20141117
44,VZ,2014-11-18 00:00:00-05:00,51.42,51.42,51.06,51.22,6567700,20141118
45,VZ,2014-11-19 00:00:00-05:00,51.0,51.03,50.29,50.49,13515500,20141119
46,VZ,2014-11-20 00:00:00-05:00,50.44,50.52,49.96,50.19,7926500,20141120
47,VZ,2014-11-21 00:00:00-05:00,50.53,50.54,49.7,50.21,14934400,20141121
48,VZ,2014-11-24 00:00:00-05:00,49.55,49.89,48.86,49.5,15679700,20141124
49,VZ,2014-11-25 00:00:00-05:00,49.34,49.52,48.91,49.34,10778200,20141125
50,VZ,2014-11-26 00:00:00-05:00,49.37,50.17,49.32,50.04,9915800,20141126
51,VZ,2014-11-28 00:00:00-05:00,50.2,50.8,50.2,50.59,6930500,20141128
52,VZ,2014-12-01 00:00:00-05:00,50.68,50.84,50.0,50.03,9878300,20141201
53,VZ,2014-12-02 00:00:00-05:00,49.8,50.02,49.05,49.11,15403400,20141202
54,VZ,2014-12-03 00:00:00-05:00,49.0,49.02,48.28,48.79,19453600,20141203
55,VZ,2014-12-04 00:00:00-05:00,48.73,48.9,48.41,48.78,12314900,20141204
56,VZ,2014-12-05 00:00:00-05:00,48.68,48.75,48.43,48.61,13064800,20141205
57,VZ,2014-12-08 00:00:00-05:00,48.77,49.34,48.56,48.9,11359500,20141208
58,VZ,2014-12-09 00:00:00-05:00,47.5,47.56,46.2,46.92,44471400,20141209
59,VZ,2014-12-10 00:00:00-05:00,46.97,46.98,45.67,46.18,29288900,20141210
60,VZ,2014-12-11 00:00:00-05:00,46.42,46.81,46.19,46.36,15747400,20141211
61,VZ,2014-12-12 00:00:00-05:00,46.02,46.09,45.32,45.58,19402900,20141212
62,VZ,2014-12-15 00:00:00-05:00,46.06,46.06,45.09,45.42,16578000,20141215
63,VZ,2014-12-16 00:00:00-05:00,45.25,46.64,45.2,45.53,19104600,20141216
64,VZ,2014-12-17 00:00:00-05:00,45.4,46.69,45.3,46.44,20230800,20141217
65,VZ,2014-12-18 00:00:00-05:00,47.35,47.35,46.51,47.05,19025900,20141218
66,VZ,2014-12-19 00:00:00-05:00,46.97,47.33,46.6,47.02,20339100,20141219
67,VZ,2014-12-22 00:00:00-05:00,47.09,47.51,46.89,47.51,10798600,20141222
68,VZ,2014-12-23 00:00:00-05:00,47.72,47.89,47.44,47.67,9002100,20141223
69,VZ,2014-12-24 00:00:00-05:00,47.67,47.87,47.38,47.67,5076700,20141224
70,VZ,2014-12-26 00:00:00-05:00,47.9,47.95,47.73,47.86,4777700,20141226
71,VZ,2014-12-29 00:00:00-05:00,47.62,47.79,47.3,47.55,7293500,20141229
72,VZ,2014-12-30 00:00:00-05:00,47.47,47.59,47.15,47.33,7405200,20141230
