,symbol,time,open,high,low,close,volume,date
0,V,2014-09-17 00:00:00-04:00,54.25,54.375,53.425,53.885,8133600,20140917
1,V,2014-09-18 00:00:00-04:00,53.985,54.17,53.79,54.11,6390000,20140918
2,V,2014-09-19 00:00:00-04:00,54.425,54.54,53.875,54.065,11565600,20140919
3,V,2014-09-22 00:00:00-04:00,54.245,54.245,53.44,53.47,6870800,20140922
4,V,2014-09-23 00:00:00-04:00,53.475,53.475,53.125,53.115,5672800,20140923
5,V,2014-09-24 00:00:00-04:00,53.195,53.75,53.065,53.605,5385600,20140924
6,V,2014-09-25 00:00:00-04:00,53.51,53.57,52.605,52.68,8503200,20140925
7,V,2014-09-26 00:00:00-04:00,52.865,53.055,52.64,52.985,5286400,20140926
8,V,2014-09-29 00:00:00-04:00,52.555,52.865,52.28,52.735,6464000,20140929
9,V,2014-09-30 00:00:00-04:00,52.79,53.505,52.755,53.345,8044400,20140930
10,V,2014-10-01 00:00:00-04:00,53.21,53.455,52.44,52.505,8457200,20141001
11,V,2014-10-02 00:00:00-04:00,52.25,52.5,51.95,52.43,7970800,20141002
12,V,2014-10-03 00:00:00-04:00,52.76,53.075,52.545,53.0,5199200,20141003
13,V,2014-10-06 00:00:00-04:00,53.15,53.29,52.915,52.945,5982800,20141006
14,V,2014-10-07 00:00:00-04:00,52.705,52.775,51.96,52.015,6953600,20141007
15,V,2014-10-08 00:00:00-04:00,52.04,53.135,51.925,53.09,8444000,20141008
16,V,2014-10-09 00:00:00-04:00,53.055,53.055,51.895,51.93,7967600,20141009
17,V,2014-10-10 00:00:00-04:00,51.975,52.395,51.25,51.245,7750000,20141010
18,V,2014-10-13 00:00:00-04:00,51.125,51.94,50.93,51.07,9554400,20141013
19,V,2014-10-14 00:00:00-04:00,51.105,51.475,50.61,50.68,10032800,20141014
20,V,2014-10-15 00:00:00-04:00,50.215,50.495,49.24,50.065,14482400,20141015
21,V,2014-10-16 00:00:00-04:00,49.275,50.805,48.8,50.75,11960800,20141016
22,V,2014-10-17 00:00:00-04:00,51.21,51.645,50.895,51.5,9568000,20141017
23,V,2014-10-20 00:00:00-04:00,51.385,52.05,51.285,51.96,5581200,20141020
24,V,2014-10-21 00:00:00-04:00,52.445,53.345,51.975,53.33,9208000,20141021
25,V,2014-10-22 00:00:00-04:00,53.32,53.49,52.695,52.73,8754800,20141022
26,V,2014-10-23 00:00:00-04:00,53.47,53.975,53.17,53.57,7290800,20141023
27,V,2014-10-24 00:00:00-04:00,53.41,53.54,52.965,53.37,7266000,20141024
28,V,2014-10-27 00:00:00-04:00,53.265,53.68,53.055,53.355,4978800,20141027
29,V,2014-10-28 00:00:00-04:00,53.655,54.215,53.515,54.18,6887200,20141028
30,V,2014-10-29 00:00:00-04:00,54.08,54.6,53.44,53.665,10724000,20141029
31,V,2014-10-30 00:00:00-04:00,57.135,59.82,57.005,59.165,41708000,20141030
32,V,2014-10-31 00:00:00-04:00,59.32,60.625,59.32,60.36,19340800,20141031
33,V,2014-11-03 00:00:00-05:00,60.245,60.8,59.75,60.385,10136800,20141103
34,V,2014-11-04 00:00:00-05:00,59.915,60.755,59.775,60.745,12076000,20141104
35,V,2014-11-05 00:00:00-05:00,61.04,63.085,61.0,62.385,18307200,20141105
36,V,2014-11-06 00:00:00-05:00,62.38,62.725,61.885,62.525,10068400,20141106
37,V,2014-11-07 00:00:00-05:00,62.53,63.105,62.26,63.11,7096000,20141107
38,V,2014-11-10 00:00:00-05:00,62.995,63.1,62.135,62.555,11066800,20141110
39,V,2014-11-11 00:00:00-05:00,62.295,62.47,62.04,62.43,6964800,20141111
40,V,2014-11-12 00:00:00-05:00,62.21,63.04,62.085,62.99,8447200,20141112
41,V,2014-11-13 00:00:00-05:00,63.1,63.1,62.4,62.73,8024000,20141113
42,V,2014-11-14 00:00:00-05:00,62.785,62.79,62.18,62.21,6643200,20141114
43,V,2014-11-17 00:00:00-05:00,62.145,62.86,62.04,62.45,6459200,20141117
44,V,2014-11-18 00:00:00-05:00,62.445,62.935,62.27,62.43,5615200,20141118
45,V,2014-11-19 00:00:00-05:00,62.555,62.71,61.8,62.465,4412800,20141119
46,V,2014-11-20 00:00:00-05:00,61.885,62.975,61.88,62.915,5262000,20141120
