,symbol,time,open,high,low,close,volume,date
0,XOM,2014-09-17 00:00:00-04:00,97.83,97.93,96.8,97.08,6561500,20140917
1,XOM,2014-09-18 00:00:00-04:00,97.15,97.32,96.48,96.61,6155500,20140918
2,XOM,2014-09-19 00:00:00-04:00,97.08,97.56,96.87,97.12,12205300,20140919
3,XOM,2014-09-22 00:00:00-04:00,96.9,97.0,96.27,96.54,6553100,20140922
4,XOM,2014-09-23 00:00:00-04:00,96.28,97.16,96.04,96.03,7475400,20140923
5,XOM,2014-09-24 00:00:00-04:00,95.87,96.25,94.84,95.82,9265700,20140924
6,XOM,2014-09-25 00:00:00-04:00,95.66,95.89,94.2,94.25,9193000,20140925
7,XOM,2014-09-26 00:00:00-04:00,94.33,95.76,93.8,95.43,8825600,20140926
8,XOM,2014-09-29 00:00:00-04:00,94.71,94.78,93.8,94.43,10936900,20140929
9,XOM,2014-09-30 00:00:00-04:00,94.11,94.81,93.62,94.05,10524900,20140930
10,XOM,2014-10-01 00:00:00-04:00,94.11,94.54,92.72,92.86,11074800,20141001
11,XOM,2014-10-02 00:00:00-04:00,92.57,93.9,92.06,93.3,11415100,20141002
12,XOM,2014-10-03 00:00:00-04:00,93.6,94.04,92.58,93.92,8755900,20141003
13,XOM,2014-10-06 00:00:00-04:00,94.01,95.33,93.91,94.52,8310300,20141006
14,XOM,2014-10-07 00:00:00-04:00,94.27,95.19,93.33,93.37,8378400,20141007
15,XOM,2014-10-08 00:00:00-04:00,93.42,94.83,92.42,94.61,11176500,20141008
16,XOM,2014-10-09 00:00:00-04:00,94.05,94.49,91.63,91.82,13930600,20141009
17,XOM,2014-10-10 00:00:00-04:00,92.44,93.27,90.9,91.6,14786200,20141010
18,XOM,2014-10-13 00:00:00-04:00,91.32,92.53,90.76,90.84,11479200,20141013
19,XOM,2014-10-14 00:00:00-04:00,91.32,92.23,90.06,90.55,18652700,20141014
20,XOM,2014-10-15 00:00:00-04:00,89.0,90.61,86.91,90.22,20294400,20141015
21,XOM,2014-10-16 00:00:00-04:00,88.58,91.27,88.18,90.6,20982400,20141016
22,XOM,2014-10-17 00:00:00-04:00,91.13,92.25,90.5,91.21,14739300,20141017
23,XOM,2014-10-20 00:00:00-04:00,90.63,91.89,90.63,91.77,7974200,20141020
24,XOM,2014-10-21 00:00:00-04:00,92.86,94.03,92.36,93.65,11834500,20141021
25,XOM,2014-10-22 00:00:00-04:00,93.96,94.59,92.98,93.13,9832700,20141022
26,XOM,2014-10-23 00:00:00-04:00,94.31,94.98,93.87,94.11,8586400,20141023
27,XOM,2014-10-24 00:00:00-04:00,94.19,94.53,93.22,94.49,7501600,20141024
28,XOM,2014-10-27 00:00:00-04:00,93.85,93.85,92.77,93.71,9026000,20141027
29,XOM,2014-10-28 00:00:00-04:00,94.44,95.2,93.93,95.1,8976000,20141028
30,XOM,2014-10-29 00:00:00-04:00,95.42,95.98,93.62,94.59,9915400,20141029
31,XOM,2014-10-30 00:00:00-04:00,93.87,94.67,93.22,94.45,7405100,20141030
32,XOM,2014-10-31 00:00:00-04:00,94.99,96.89,94.31,96.71,12078000,20141031
33,XOM,2014-11-03 00:00:00-05:00,96.56,97.1,94.8,95.26,10816500,20141103
34,XOM,2014-11-04 00:00:00-05:00,94.5,94.89,93.89,94.52,10502400,20141104
35,XOM,2014-11-05 00:00:00-05:00,95.36,95.77,94.65,95.07,9986200,20141105
36,XOM,2014-11-06 00:00:00-05:00,95.18,96.42,94.28,96.26,10709100,20141106
37,XOM,2014-11-07 00:00:00-05:00,95.8,97.16,95.72,96.59,9643300,20141107
38,XOM,2014-11-10 00:00:00-05:00,96.88,97.1,96.07,96.28,6995800,20141110
39,XOM,2014-11-11 00:00:00-05:00,95.78,96.51,95.61,96.41,6415800,20141111
40,XOM,2014-11-12 00:00:00-05:00,95.9,96.4,95.11,95.38,8742600,20141112
41,XOM,2014-11-13 00:00:00-05:00,94.96,95.21,93.83,94.66,9811800,20141113
42,XOM,2014-11-14 00:00:00-05:00,94.87,95.11,94.65,95.09,6984100,20141114
