,symbol,time,open,high,low,close,volume
0,AAPL,2019-05-24 09:30:00-04:00,180.3,180.6,180.13,180.5273,525943
1,AAPL,2019-05-24 09:31:00-04:00,180.5273,180.74,180.29,180.7,146778
2,AAPL,2019-05-24 09:32:00-04:00,180.7,181.15,180.64,181.05,272887
3,AAPL,2019-05-24 09:33:00-04:00,181.05,181.1,180.8,181.035,172058
4,AAPL,2019-05-24 09:34:00-04:00,181.035,181.66,180.99,181.66,239181
5,AAPL,2019-05-24 09:35:00-04:00,181.66,181.82,181.46,181.66,252243
6,AAPL,2019-05-24 09:36:00-04:00,181.68,181.76,181.34,181.47,151711
7,AAPL,2019-05-24 09:37:00-04:00,181.47,181.625,181.35,181.59,122247
8,AAPL,2019-05-24 09:38:00-04:00,181.5991,181.65,181.48,181.53,91227
9,AAPL,2019-05-24 09:39:00-04:00,181.53,181.6,181.39,181.55,101751
10,AAPL,2019-05-24 09:40:00-04:00,181.56,181.6223,181.415,181.56,104026
11,AAPL,2019-05-24 09:41:00-04:00,181.56,181.7,181.48,181.48,100668
12,AAPL,2019-05-24 09:42:00-04:00,181.49,181.7,181.49,181.66,91504
13,AAPL,2019-05-24 09:43:00-04:00,181.67,181.88,181.6558,181.8432,122121
14,AAPL,2019-05-24 09:44:00-04:00,181.8432,182.0,181.63,181.98,140037
15,AAPL,2019-05-24 09:45:00-04:00,181.98,182.14,181.95,182.03,197798
16,AAPL,2019-05-24 09:46:00-04:00,182.03,182.0431,181.8,181.89,101371
17,AAPL,2019-05-24 09:47:00-04:00,181.89,181.96,181.6256,181.7,161780
18,AAPL,2019-05-24 09:48:00-04:00,181.705,181.78,181.51,181.57,95948
19,AAPL,2019-05-24 09:49:00-04:00,181.57,181.5839,181.33,181.5178,178897
20,AAPL,2019-05-24 09:50:00-04:00,181.52,181.56,181.26,181.4,124688
21,AAPL,2019-05-24 09:51:00-04:00,181.42,181.55,181.35,181.46,103214
22,AAPL,2019-05-24 09:52:00-04:00,181.47,181.555,181.2101,181.37,84100
23,AAPL,2019-05-24 09:53:00-04:00,181.37,181.53,181.35,181.42,101977
24,AAPL,2019-05-24 09:54:00-04:00,181.45,181.49,181.29,181.4,125064
25,AAPL,2019-05-24 09:55:00-04:00,181.4,181.5,181.33,181.34,67541
26,AAPL,2019-05-24 09:56:00-04:00,181.34,181.36,181.11,181.29,124313
27,AAPL,2019-05-24 09:57:00-04:00,181.3,181.4935,181.25,181.45,65742
28,AAPL,2019-05-24 09:58:00-04:00,181.48,181.4895,181.36,181.44,113669
29,AAPL,2019-05-24 09:59:00-04:00,181.455,181.46,181.32,181.39,44593
30,AAPL,2019-05-24 10:00:00-04:00,181.39,181.5,181.28,181.48,55449
31,AAPL,2019-05-24 10:01:00-04:00,181.48,181.63,181.44,181.5285,131608
32,AAPL,2019-05-24 10:02:00-04:00,181.5285,181.56,181.43,181.51,43445
33,AAPL,2019-05-24 10:03:00-04:00,181.51,181.74,181.45,181.74,77588
34,AAPL,2019-05-24 10:04:00-04:00,181.74,181.81,181.66,181.71,93680
35,AAPL,2019-05-24 10:05:00-04:00,181.71,181.72,181.57,181.57,73330
36,AAPL,2019-05-24 10:06:00-04:00,181.58,181.58,181.34,181.55,95731
37,AAPL,2019-05-24 10:07:00-04:00,181.55,181.55,181.28,181.3278,82023
38,AAPL,2019-05-24 10:08:00-04:00,181.33,181.46,181.2198,181.33,91001
39,AAPL,2019-05-24 10:09:00-04:00,181.33,181.4255,181.17,181.2099,75697
40,AAPL,2019-05-24 10:10:00-04:00,181.19,181.22,181.0538,181.1953,98297
41,AAPL,2019-05-24 10:11:00-04:00,181.1953,181.5183,181.19,181.5177,103430
42,AAPL,2019-05-24 10:12:00-04:00,181.5177,181.54,181.28,181.324,69323
43,AAPL,2019-05-24 10:13:00-04:00,181.3247,181.425,181.31,181.35,70240
44,AAPL,2019-05-24 10:14:00-04:00,181.35,181.42,181.17,181.23,77635
45,AAPL,2019-05-24 10:15:00-04:00,181.22,181.4,181.22,181.33,47138
46,AAPL,2019-05-24 10:16:00-04:00,181.33,181.36,181.24,181.31,48352
47,AAPL,2019-05-24 10:17:00-04:00,181.31,181.35,181.18,181.315,41969
48,AAPL,2019-05-24 10:18:00-04:00,181.315,181.34,181.14,181.26,42460
49,AAPL,2019-05-24 10:19:00-04:00,181.26,181.39,181.26,181.32,45555
50,AAPL,2019-05-24 10:20:00-04:00,181.32,181.35,181.19,181.34,43217
51,AAPL,2019-05-24 10:21:00-04:00,181.34,181.3798,181.25,181.28,34100
52,AAPL,2019-05-24 10:22:00-04:00,181.28,181.3508,181.25,181.28,27633
53,AAPL,2019-05-24 10:23:00-04:00,181.28,181.37,181.22,181.33,41216
54,AAPL,2019-05-24 10:24:00-04:00,181.32,181.38,181.14,181.255,56779
55,AAPL,2019-05-24 10:25:00-04:00,181.255,181.255,181.02,181.04,75394
56,AAPL,2019-05-24 10:26:00-04:00,181.02,181.04,180.9,180.93,495945
57,AAPL,2019-05-24 10:27:00-04:00,180.9305,181.04,180.88,181.0,71708
58,AAPL,2019-05-24 10:28:00-04:00,181.0,181.09,180.66,180.68,108466
59,AAPL,2019-05-24 10:29:00-04:00,180.68,180.72,180.52,180.58,104540
60,AAPL,2019-05-24 10:30:00-04:00,180.58,180.68,180.51,180.63,88580
61,AAPL,2019-05-24 10:31:00-04:00,180.645,180.86,180.645,180.8271,54526
62,AAPL,2019-05-24 10:32:00-04:00,180.84,180.84,180.7,180.728,50348
63,AAPL,2019-05-24 10:33:00-04:00,180.728,180.8352,180.7,180.76,34503
64,AAPL,2019-05-24 10:34:00-04:00,180.76,180.83,180.7,180.7,37059
