,symbol,time,open,high,low,close,volume
0,BAC,2019-06-03 09:30:00-04:00,26.59,26.59,26.4,26.49,913198
1,BAC,2019-06-03 09:31:00-04:00,26.49,26.58,26.49,26.51,201305
2,BAC,2019-06-03 09:32:00-04:00,26.5,26.56,26.48,26.55,206868
3,BAC,2019-06-03 09:33:00-04:00,26.545,26.59,26.545,26.58,111786
4,BAC,2019-06-03 09:34:00-04:00,26.575,26.59,26.54,26.56,136684
5,BAC,2019-06-03 09:35:00-04:00,26.56,26.59,26.54,26.59,153308
6,BAC,2019-06-03 09:36:00-04:00,26.5825,26.59,26.57,26.585,173876
7,BAC,2019-06-03 09:37:00-04:00,26.585,26.64,26.585,26.63,244683
8,BAC,2019-06-03 09:38:00-04:00,26.63,26.661,26.615,26.65,82460
9,BAC,2019-06-03 09:39:00-04:00,26.65,26.67,26.63,26.64,210280
10,BAC,2019-06-03 09:40:00-04:00,26.635,26.69,26.635,26.66,250714
11,BAC,2019-06-03 09:41:00-04:00,26.66,26.69,26.65,26.6503,106992
12,BAC,2019-06-03 09:42:00-04:00,26.6503,26.67,26.6357,26.64,157404
13,BAC,2019-06-03 09:43:00-04:00,26.64,26.66,26.62,26.64,127931
14,BAC,2019-06-03 09:44:00-04:00,26.6399,26.68,26.63,26.67,84770
15,BAC,2019-06-03 09:45:00-04:00,26.675,26.68,26.64,26.65,105348
16,BAC,2019-06-03 09:46:00-04:00,26.65,26.6617,26.64,26.6558,87227
17,BAC,2019-06-03 09:47:00-04:00,26.6558,26.66,26.61,26.63,75782
18,BAC,2019-06-03 09:48:00-04:00,26.64,26.647,26.61,26.62,136180
19,BAC,2019-06-03 09:49:00-04:00,26.62,26.65,26.6101,26.6339,114309
20,BAC,2019-06-03 09:50:00-04:00,26.635,26.66,26.62,26.66,69191
21,BAC,2019-06-03 09:51:00-04:00,26.66,26.68,26.645,26.66,83821
22,BAC,2019-06-03 09:52:00-04:00,26.66,26.69,26.66,26.6631,156307
23,BAC,2019-06-03 09:53:00-04:00,26.6631,26.67,26.64,26.655,147993
24,BAC,2019-06-03 09:54:00-04:00,26.6594,26.6608,26.61,26.62,145919
25,BAC,2019-06-03 09:55:00-04:00,26.615,26.6855,26.615,26.68,113419
26,BAC,2019-06-03 09:56:00-04:00,26.68,26.68,26.66,26.675,80002
27,BAC,2019-06-03 09:57:00-04:00,26.68,26.68,26.65,26.66,80974
28,BAC,2019-06-03 09:58:00-04:00,26.6508,26.655,26.63,26.65,94397
29,BAC,2019-06-03 09:59:00-04:00,26.65,26.67,26.64,26.65,97927
30,BAC,2019-06-03 10:00:00-04:00,26.65,26.68,26.62,26.6737,273134
31,BAC,2019-06-03 10:01:00-04:00,26.68,26.68,26.635,26.645,94672
32,BAC,2019-06-03 10:02:00-04:00,26.64,26.65,26.61,26.62,141008
33,BAC,2019-06-03 10:03:00-04:00,26.62,26.66,26.62,26.65,74312
34,BAC,2019-06-03 10:04:00-04:00,26.65,26.6513,26.62,26.63,102233
35,BAC,2019-06-03 10:05:00-04:00,26.625,26.66,26.624,26.64,164641
36,BAC,2019-06-03 10:06:00-04:00,26.64,26.68,26.63,26.67,193883
37,BAC,2019-06-03 10:07:00-04:00,26.671,26.69,26.66,26.69,228556
38,BAC,2019-06-03 10:08:00-04:00,26.6899,26.71,26.68,26.69,164135
39,BAC,2019-06-03 10:09:00-04:00,26.69,26.71,26.69,26.7,105794
40,BAC,2019-06-03 10:10:00-04:00,26.705,26.7083,26.67,26.695,114128
41,BAC,2019-06-03 10:11:00-04:00,26.695,26.72,26.695,26.705,60339
42,BAC,2019-06-03 10:12:00-04:00,26.71,26.725,26.685,26.7238,63813
43,BAC,2019-06-03 10:13:00-04:00,26.7238,26.7468,26.71,26.71,65933
44,BAC,2019-06-03 10:14:00-04:00,26.71,26.735,26.71,26.735,73591
45,BAC,2019-06-03 10:15:00-04:00,26.735,26.735,26.7,26.729,78251
46,BAC,2019-06-03 10:16:00-04:00,26.73,26.75,26.715,26.75,138523
47,BAC,2019-06-03 10:17:00-04:00,26.75,26.75,26.73,26.735,191477
48,BAC,2019-06-03 10:18:00-04:00,26.735,26.76,26.73,26.75,43192
49,BAC,2019-06-03 10:19:00-04:00,26.75,26.79,26.75,26.7835,81740
50,BAC,2019-06-03 10:20:00-04:00,26.785,26.8,26.78,26.8,65217
51,BAC,2019-06-03 10:21:00-04:00,26.8,26.82,26.78,26.785,110403
52,BAC,2019-06-03 10:22:00-04:00,26.78,26.8,26.77,26.785,73754
53,BAC,2019-06-03 10:23:00-04:00,26.79,26.8,26.78,26.7932,46165
54,BAC,2019-06-03 10:24:00-04:00,26.8,27.77,26.8,26.8331,675472
55,BAC,2019-06-03 10:25:00-04:00,26.835,26.85,26.82,26.841,136414
56,BAC,2019-06-03 10:26:00-04:00,26.85,26.86,26.83,26.86,107019
57,BAC,2019-06-03 10:27:00-04:00,26.855,26.9152,26.855,26.91,396832
58,BAC,2019-06-03 10:28:00-04:00,26.91,26.923,26.9,26.905,164096
59,BAC,2019-06-03 10:29:00-04:00,26.905,26.92,26.9,26.91,182271
60,BAC,2019-06-03 10:30:00-04:00,26.92,26.92,26.89,26.9,254890
61,BAC,2019-06-03 10:31:00-04:00,26.9,26.965,26.9,26.955,243260
62,BAC,2019-06-03 10:32:00-04:00,26.95,26.95,26.77,26.91,1159626
63,BAC,2019-06-03 10:33:00-04:00,26.91,26.94,26.91,26.9374,88939
64,BAC,2019-06-03 10:34:00-04:00,26.93,26.9468,26.92,26.93,96484
65,BAC,2019-06-03 10:35:00-04:00,26.925,26.9271,26.91,26.91,39537
66,BAC,2019-06-03 10:36:00-04:00,26.91,26.96,26.91,26.945,186716
67,BAC,2019-06-03 10:37:00-04:00,26.94,26.94,26.93,26.93,53182
68,BAC,2019-06-03 10:38:00-04:00,26.9341,26.95,26.93,26.94,48481
69,BAC,2019-06-03 10:39:00-04:00,26.94,26.98,26.93,26.965,115318
70,BAC,2019-06-03 10:40:00-04:00,26.975,26.98,26.96,26.96,115160
71,BAC,2019-06-03 10:41:00-04:00,26.96,26.99,26.96,26.97,104214
