,symbol,time,open,high,low,close,volume
0,CSCO,2019-06-07 09:30:00-04:00,55.43,55.45,55.11,55.15,290723
1,CSCO,2019-06-07 09:31:00-04:00,55.15,55.17,55.05,55.13,83320
2,CSCO,2019-06-07 09:32:00-04:00,55.12,55.17,55.04,55.06,54938
3,CSCO,2019-06-07 09:33:00-04:00,55.06,55.125,55.03,55.05,45997
4,CSCO,2019-06-07 09:34:00-04:00,55.05,55.16,55.05,55.11,45771
5,CSCO,2019-06-07 09:35:00-04:00,55.12,55.15,55.1,55.12,55656
6,CSCO,2019-06-07 09:36:00-04:00,55.1207,55.22,55.11,55.2199,60098
7,CSCO,2019-06-07 09:37:00-04:00,55.215,55.3,55.21,55.3,47351
8,CSCO,2019-06-07 09:38:00-04:00,55.3,55.35,55.285,55.3435,52385
9,CSCO,2019-06-07 09:39:00-04:00,55.3435,55.465,55.3435,55.445,90365
10,CSCO,2019-06-07 09:40:00-04:00,55.45,55.46,55.4,55.41,58135
11,CSCO,2019-06-07 09:41:00-04:00,55.41,55.47,55.41,55.455,30585
12,CSCO,2019-06-07 09:42:00-04:00,55.455,55.52,55.45,55.47,51843
13,CSCO,2019-06-07 09:43:00-04:00,55.46,55.48,55.36,55.37,32731
14,CSCO,2019-06-07 09:44:00-04:00,55.37,55.38,55.32,55.34,39829
15,CSCO,2019-06-07 09:45:00-04:00,55.33,55.38,55.33,55.38,46810
16,CSCO,2019-06-07 09:46:00-04:00,55.375,55.51,55.375,55.51,32473
17,CSCO,2019-06-07 09:47:00-04:00,55.51,55.51,55.47,55.5043,31906
18,CSCO,2019-06-07 09:48:00-04:00,55.51,55.51,55.46,55.5,27652
19,CSCO,2019-06-07 09:49:00-04:00,55.494,55.54,55.47,55.53,54673
20,CSCO,2019-06-07 09:50:00-04:00,55.53,55.56,55.5,55.5,30408
21,CSCO,2019-06-07 09:51:00-04:00,55.495,55.55,55.48,55.5301,60428
22,CSCO,2019-06-07 09:52:00-04:00,55.53,55.54,55.48,55.5,47199
23,CSCO,2019-06-07 09:53:00-04:00,55.5,55.55,55.49,55.535,25544
24,CSCO,2019-06-07 09:54:00-04:00,55.54,55.57,55.52,55.53,27978
25,CSCO,2019-06-07 09:55:00-04:00,55.53,55.58,55.515,55.5584,35551
26,CSCO,2019-06-07 09:56:00-04:00,55.55,55.6,55.55,55.5601,39576
27,CSCO,2019-06-07 09:57:00-04:00,55.565,55.61,55.56,55.58,39529
28,CSCO,2019-06-07 09:58:00-04:00,55.58,55.64,55.56,55.62,44030
29,CSCO,2019-06-07 09:59:00-04:00,55.62,55.6498,55.58,55.597,79764
30,CSCO,2019-06-07 10:00:00-04:00,55.595,55.635,55.58,55.635,30747
31,CSCO,2019-06-07 10:01:00-04:00,55.635,55.67,55.63,55.635,61269
32,CSCO,2019-06-07 10:02:00-04:00,55.6341,55.66,55.615,55.655,28873
33,CSCO,2019-06-07 10:03:00-04:00,55.655,55.655,55.59,55.63,59888
34,CSCO,2019-06-07 10:04:00-04:00,55.63,55.6647,55.63,55.66,25526
35,CSCO,2019-06-07 10:05:00-04:00,55.66,55.72,55.66,55.695,64853
36,CSCO,2019-06-07 10:06:00-04:00,55.695,55.695,55.63,55.64,34877
37,CSCO,2019-06-07 10:07:00-04:00,55.64,55.68,55.6381,55.6666,34860
38,CSCO,2019-06-07 10:08:00-04:00,55.67,55.69,55.63,55.675,43149
39,CSCO,2019-06-07 10:09:00-04:00,55.67,55.68,55.635,55.665,25242
40,CSCO,2019-06-07 10:10:00-04:00,55.665,55.69,55.66,55.68,27782
41,CSCO,2019-06-07 10:11:00-04:00,55.68,55.68,55.655,55.6637,18467
42,CSCO,2019-06-07 10:12:00-04:00,55.6637,55.7,55.65,55.7,27725
