,symbol,time,open,high,low,close,volume
0,DIS,2019-06-19 09:30:00-04:00,139.58,139.77,139.32,139.41,157439
1,DIS,2019-06-19 09:31:00-04:00,139.331,139.375,138.67,138.89,48506
2,DIS,2019-06-19 09:32:00-04:00,138.89,138.91,138.61,138.91,22463
3,DIS,2019-06-19 09:33:00-04:00,138.91,139.03,138.7,138.7,21904
4,DIS,2019-06-19 09:34:00-04:00,138.7,138.72,138.58,138.65,36162
5,DIS,2019-06-19 09:35:00-04:00,138.65,138.8,138.635,138.69,27600
6,DIS,2019-06-19 09:36:00-04:00,138.69,138.94,138.65,138.91,24031
7,DIS,2019-06-19 09:37:00-04:00,138.91,139.09,138.8779,138.97,22221
8,DIS,2019-06-19 09:38:00-04:00,139.0,139.0696,138.9,139.0207,26252
9,DIS,2019-06-19 09:39:00-04:00,139.0207,139.1,138.89,138.94,9008
10,DIS,2019-06-19 09:40:00-04:00,138.94,138.96,138.73,138.79,21008
11,DIS,2019-06-19 09:41:00-04:00,138.78,138.89,138.73,138.835,16435
12,DIS,2019-06-19 09:42:00-04:00,138.835,138.85,138.75,138.85,14528
13,DIS,2019-06-19 09:43:00-04:00,138.85,138.87,138.72,138.76,12602
14,DIS,2019-06-19 09:44:00-04:00,138.76,138.9,138.76,138.9,13309
15,DIS,2019-06-19 09:45:00-04:00,138.9,139.07,138.9,139.015,22345
16,DIS,2019-06-19 09:46:00-04:00,139.015,139.18,139.0001,139.1602,9449
17,DIS,2019-06-19 09:47:00-04:00,139.1602,139.36,139.1602,139.345,26623
18,DIS,2019-06-19 09:48:00-04:00,139.345,139.554,139.345,139.45,26796
19,DIS,2019-06-19 09:49:00-04:00,139.4501,139.49,139.4,139.47,22199
20,DIS,2019-06-19 09:50:00-04:00,139.47,139.58,139.41,139.56,29326
21,DIS,2019-06-19 09:51:00-04:00,139.56,139.61,139.51,139.54,18746
22,DIS,2019-06-19 09:52:00-04:00,139.54,139.54,139.4211,139.52,19691
23,DIS,2019-06-19 09:53:00-04:00,139.52,139.66,139.5,139.66,19437
24,DIS,2019-06-19 09:54:00-04:00,139.675,139.7,139.63,139.68,26192
25,DIS,2019-06-19 09:55:00-04:00,139.68,139.835,139.67,139.835,20960
26,DIS,2019-06-19 09:56:00-04:00,139.8452,140.0,139.84,139.865,34094
27,DIS,2019-06-19 09:57:00-04:00,139.865,139.88,139.77,139.8,25332
28,DIS,2019-06-19 09:58:00-04:00,139.8016,139.88,139.8016,139.8103,12755
29,DIS,2019-06-19 09:59:00-04:00,139.8103,139.89,139.79,139.8,17488
30,DIS,2019-06-19 10:00:00-04:00,139.8099,139.85,139.76,139.77,25824
31,DIS,2019-06-19 10:01:00-04:00,139.77,139.79,139.67,139.6724,19009
32,DIS,2019-06-19 10:02:00-04:00,139.6724,139.7,139.61,139.63,16657
33,DIS,2019-06-19 10:03:00-04:00,139.63,139.73,139.61,139.7,14436
34,DIS,2019-06-19 10:04:00-04:00,139.7,139.75,139.67,139.6911,9737
35,DIS,2019-06-19 10:05:00-04:00,139.6911,139.7255,139.6,139.6,16071
36,DIS,2019-06-19 10:06:00-04:00,139.6,139.6001,139.405,139.425,15076
37,DIS,2019-06-19 10:07:00-04:00,139.425,139.4886,139.39,139.403,6398
38,DIS,2019-06-19 10:08:00-04:00,139.41,139.4402,139.33,139.37,11579
39,DIS,2019-06-19 10:09:00-04:00,139.37,139.425,139.34,139.36,14437
40,DIS,2019-06-19 10:10:00-04:00,139.36,139.37,139.28,139.32,17124
41,DIS,2019-06-19 10:11:00-04:00,139.325,139.3535,139.2838,139.35,14158
42,DIS,2019-06-19 10:12:00-04:00,139.34,139.36,139.335,139.35,29275
43,DIS,2019-06-19 10:13:00-04:00,139.36,139.42,139.34,139.36,25642
44,DIS,2019-06-19 10:14:00-04:00,139.36,139.48,139.34,139.47,18875
45,DIS,2019-06-19 10:15:00-04:00,139.47,139.54,139.47,139.53,9881
46,DIS,2019-06-19 10:16:00-04:00,139.53,139.595,139.41,139.42,9622
47,DIS,2019-06-19 10:17:00-04:00,139.391,139.405,139.34,139.35,27411
48,DIS,2019-06-19 10:18:00-04:00,139.35,139.45,139.35,139.4,9686
49,DIS,2019-06-19 10:19:00-04:00,139.4,139.4,139.35,139.36,7333
