,symbol,time,open,high,low,close,volume
0,HD,2019-05-31 09:30:00-04:00,189.64,189.77,188.66,188.66,72690
1,HD,2019-05-31 09:31:00-04:00,188.66,189.287,188.66,189.14,9171
2,HD,2019-05-31 09:32:00-04:00,189.14,189.46,189.08,189.46,8775
3,HD,2019-05-31 09:33:00-04:00,189.46,189.52,189.17,189.17,7917
4,HD,2019-05-31 09:34:00-04:00,189.0437,189.25,189.02,189.02,11089
5,HD,2019-05-31 09:35:00-04:00,189.02,189.39,189.0,189.32,12568
6,HD,2019-05-31 09:36:00-04:00,189.32,189.7599,189.1931,189.33,13316
7,HD,2019-05-31 09:37:00-04:00,189.24,189.5,189.24,189.46,6040
8,HD,2019-05-31 09:38:00-04:00,189.39,189.67,189.36,189.6313,7683
9,HD,2019-05-31 09:39:00-04:00,189.595,189.82,189.3109,189.38,12815
10,HD,2019-05-31 09:40:00-04:00,189.38,189.49,189.01,189.04,8080
11,HD,2019-05-31 09:41:00-04:00,189.07,189.2,188.92,189.04,22176
12,HD,2019-05-31 09:42:00-04:00,189.04,189.04,188.85,188.89,14146
13,HD,2019-05-31 09:43:00-04:00,188.84,188.97,188.7199,188.97,12228
14,HD,2019-05-31 09:44:00-04:00,189.0,189.25,189.0,189.245,6324
15,HD,2019-05-31 09:45:00-04:00,189.245,189.345,189.05,189.095,32975
16,HD,2019-05-31 09:46:00-04:00,189.02,189.19,189.01,189.13,4331
17,HD,2019-05-31 09:47:00-04:00,189.13,189.41,189.13,189.15,9851
18,HD,2019-05-31 09:48:00-04:00,189.195,189.195,189.07,189.115,4917
19,HD,2019-05-31 09:49:00-04:00,189.12,189.12,188.84,188.995,8111
20,HD,2019-05-31 09:50:00-04:00,188.995,189.26,188.995,189.26,9035
21,HD,2019-05-31 09:51:00-04:00,189.26,189.26,189.12,189.25,8469
22,HD,2019-05-31 09:52:00-04:00,189.25,189.28,188.98,188.98,8278
23,HD,2019-05-31 09:53:00-04:00,188.98,189.233,188.98,189.16,22858
24,HD,2019-05-31 09:54:00-04:00,189.16,189.35,189.14,189.33,8993
