,symbol,time,open,high,low,close,volume
0,JNJ,2019-06-12 09:30:00-04:00,140.67,140.98,140.3,140.71,148604
1,JNJ,2019-06-12 09:31:00-04:00,140.78,140.92,140.69,140.91,22246
2,JNJ,2019-06-12 09:32:00-04:00,140.91,141.08,140.86,141.02,74281
3,JNJ,2019-06-12 09:33:00-04:00,141.02,141.12,140.98,141.11,15623
4,JNJ,2019-06-12 09:34:00-04:00,141.13,141.34,141.05,141.29,22651
5,JNJ,2019-06-12 09:35:00-04:00,141.29,141.55,141.29,141.525,34870
6,JNJ,2019-06-12 09:36:00-04:00,141.55,141.65,141.28,141.365,77027
7,JNJ,2019-06-12 09:37:00-04:00,141.365,141.5761,141.321,141.52,18511
8,JNJ,2019-06-12 09:38:00-04:00,141.53,141.89,141.53,141.89,25163
9,JNJ,2019-06-12 09:39:00-04:00,141.89,141.98,141.79,141.91,55405
10,JNJ,2019-06-12 09:40:00-04:00,141.91,141.98,141.84,141.9612,25529
11,JNJ,2019-06-12 09:41:00-04:00,141.96,141.98,141.88,141.913,22837
12,JNJ,2019-06-12 09:42:00-04:00,141.913,141.913,141.62,141.64,25017
13,JNJ,2019-06-12 09:43:00-04:00,141.6,141.65,141.43,141.47,11628
14,JNJ,2019-06-12 09:44:00-04:00,141.47,141.55,141.42,141.44,15657
15,JNJ,2019-06-12 09:45:00-04:00,141.43,141.46,141.37,141.405,8296
16,JNJ,2019-06-12 09:46:00-04:00,141.405,141.95,141.405,141.76,92643
17,JNJ,2019-06-12 09:47:00-04:00,141.8299,141.89,141.82,141.87,7486
18,JNJ,2019-06-12 09:48:00-04:00,141.87,141.95,141.82,141.94,9228
19,JNJ,2019-06-12 09:49:00-04:00,141.94,142.05,141.92,142.0,105474
20,JNJ,2019-06-12 09:50:00-04:00,142.0,142.0805,141.98,142.025,34462
21,JNJ,2019-06-12 09:51:00-04:00,142.025,142.06,141.9,141.95,36107
22,JNJ,2019-06-12 09:52:00-04:00,141.95,142.07,141.95,142.02,13844
23,JNJ,2019-06-12 09:53:00-04:00,142.03,142.07,142.0,142.0,12415
24,JNJ,2019-06-12 09:54:00-04:00,142.015,142.15,142.015,142.115,37736
25,JNJ,2019-06-12 09:55:00-04:00,142.115,142.125,142.05,142.08,22149
26,JNJ,2019-06-12 09:56:00-04:00,142.09,142.18,142.08,142.115,15046
27,JNJ,2019-06-12 09:57:00-04:00,142.1,142.23,142.1,142.205,16308
