,symbol,time,open,high,low,close,volume
0,JPM,2019-06-03 09:30:00-04:00,105.71,105.85,105.3,105.555,143071
1,JPM,2019-06-03 09:31:00-04:00,105.575,105.86,105.54,105.8,59206
2,JPM,2019-06-03 09:32:00-04:00,105.775,105.84,105.575,105.84,39288
3,JPM,2019-06-03 09:33:00-04:00,105.8471,105.98,105.835,105.9104,40718
4,JPM,2019-06-03 09:34:00-04:00,105.9265,105.95,105.83,105.87,38532
5,JPM,2019-06-03 09:35:00-04:00,105.87,105.95,105.78,105.88,49645
6,JPM,2019-06-03 09:36:00-04:00,105.895,105.96,105.85,105.96,17623
7,JPM,2019-06-03 09:37:00-04:00,105.96,106.1,105.95,106.09,51367
8,JPM,2019-06-03 09:38:00-04:00,106.08,106.1847,106.05,106.1,37985
9,JPM,2019-06-03 09:39:00-04:00,106.1,106.13,106.05,106.06,39463
10,JPM,2019-06-03 09:40:00-04:00,106.065,106.22,106.06,106.1124,29317
11,JPM,2019-06-03 09:41:00-04:00,106.12,106.21,106.11,106.154,21092
12,JPM,2019-06-03 09:42:00-04:00,106.15,106.18,106.07,106.13,24392
13,JPM,2019-06-03 09:43:00-04:00,106.13,106.233,106.08,106.08,51938
14,JPM,2019-06-03 09:44:00-04:00,106.08,106.23,106.0733,106.12,17412
15,JPM,2019-06-03 09:45:00-04:00,106.12,106.125,105.98,106.06,30016
16,JPM,2019-06-03 09:46:00-04:00,106.06,106.1392,106.03,106.1392,18856
17,JPM,2019-06-03 09:47:00-04:00,106.14,106.15,106.01,106.05,31834
18,JPM,2019-06-03 09:48:00-04:00,106.053,106.12,106.01,106.03,27605
19,JPM,2019-06-03 09:49:00-04:00,106.05,106.125,106.02,106.04,17284
20,JPM,2019-06-03 09:50:00-04:00,106.05,106.125,106.01,106.1,20539
21,JPM,2019-06-03 09:51:00-04:00,106.1,106.16,106.06,106.1,25396
22,JPM,2019-06-03 09:52:00-04:00,106.1,106.17,106.07,106.1,19113
23,JPM,2019-06-03 09:53:00-04:00,106.08,106.1,105.99,106.02,19895
24,JPM,2019-06-03 09:54:00-04:00,106.02,106.02,105.91,105.92,25726
25,JPM,2019-06-03 09:55:00-04:00,105.91,106.06,105.87,106.04,32250
26,JPM,2019-06-03 09:56:00-04:00,106.04,106.04,105.97,105.98,16275
27,JPM,2019-06-03 09:57:00-04:00,105.98,105.99,105.85,105.92,18950
28,JPM,2019-06-03 09:58:00-04:00,105.92,105.94,105.84,105.94,18930
29,JPM,2019-06-03 09:59:00-04:00,105.94,106.0217,105.94,105.98,12693
