,symbol,time,open,high,low,close,volume
0,MSFT,2019-06-12 09:30:00-04:00,131.4,131.97,131.37,131.435,413161
1,MSFT,2019-06-12 09:31:00-04:00,131.435,131.68,131.18,131.28,79865
2,MSFT,2019-06-12 09:32:00-04:00,131.28,131.28,130.85,130.86,190449
3,MSFT,2019-06-12 09:33:00-04:00,130.86,131.07,130.815,130.91,111985
4,MSFT,2019-06-12 09:34:00-04:00,130.92,130.96,130.81,130.87,68390
5,MSFT,2019-06-12 09:35:00-04:00,130.87,131.18,130.79,131.12,115414
6,MSFT,2019-06-12 09:36:00-04:00,131.15,131.21,131.06,131.14,80809
7,MSFT,2019-06-12 09:37:00-04:00,131.14,131.265,131.13,131.25,73186
8,MSFT,2019-06-12 09:38:00-04:00,131.26,131.47,131.25,131.39,95172
9,MSFT,2019-06-12 09:39:00-04:00,131.39,131.49,131.34,131.385,97906
10,MSFT,2019-06-12 09:40:00-04:00,131.385,131.48,131.26,131.48,86450
11,MSFT,2019-06-12 09:41:00-04:00,131.48,131.55,131.44,131.51,83098
12,MSFT,2019-06-12 09:42:00-04:00,131.51,131.51,131.43,131.45,52018
13,MSFT,2019-06-12 09:43:00-04:00,131.45,131.45,131.28,131.36,65443
14,MSFT,2019-06-12 09:44:00-04:00,131.36,131.36,131.2,131.255,70521
15,MSFT,2019-06-12 09:45:00-04:00,131.255,131.42,131.15,131.405,85748
16,MSFT,2019-06-12 09:46:00-04:00,131.405,131.54,131.405,131.48,63774
17,MSFT,2019-06-12 09:47:00-04:00,131.475,131.5,131.16,131.16,73251
18,MSFT,2019-06-12 09:48:00-04:00,131.1637,131.29,131.15,131.28,72066
19,MSFT,2019-06-12 09:49:00-04:00,131.285,131.33,131.08,131.085,67057
20,MSFT,2019-06-12 09:50:00-04:00,131.09,131.31,131.085,131.3,76038
21,MSFT,2019-06-12 09:51:00-04:00,131.29,131.42,131.29,131.3339,64814
22,MSFT,2019-06-12 09:52:00-04:00,131.3339,131.43,131.26,131.29,47600
23,MSFT,2019-06-12 09:53:00-04:00,131.3,131.35,131.23,131.32,76195
24,MSFT,2019-06-12 09:54:00-04:00,131.32,131.34,131.25,131.28,78329
25,MSFT,2019-06-12 09:55:00-04:00,131.28,131.39,131.25,131.29,51933
26,MSFT,2019-06-12 09:56:00-04:00,131.29,131.4,131.27,131.37,45064
27,MSFT,2019-06-12 09:57:00-04:00,131.36,131.48,131.34,131.475,35707
28,MSFT,2019-06-12 09:58:00-04:00,131.48,131.49,131.3101,131.35,72896
29,MSFT,2019-06-12 09:59:00-04:00,131.35,131.47,131.34,131.44,62599
30,MSFT,2019-06-12 10:00:00-04:00,131.45,131.5027,131.34,131.5,53818
31,MSFT,2019-06-12 10:01:00-04:00,131.505,131.69,131.505,131.61,48452
32,MSFT,2019-06-12 10:02:00-04:00,131.61,131.69,131.53,131.54,53116
33,MSFT,2019-06-12 10:03:00-04:00,131.54,131.55,131.44,131.4691,67304
34,MSFT,2019-06-12 10:04:00-04:00,131.4691,131.47,131.36,131.47,57619
35,MSFT,2019-06-12 10:05:00-04:00,131.47,131.5101,131.42,131.44,65416
36,MSFT,2019-06-12 10:06:00-04:00,131.45,131.45,131.3569,131.37,26937
37,MSFT,2019-06-12 10:07:00-04:00,131.38,131.4,131.22,131.23,53332
38,MSFT,2019-06-12 10:08:00-04:00,131.23,131.38,131.2238,131.375,35202
39,MSFT,2019-06-12 10:09:00-04:00,131.375,131.375,131.22,131.25,34567
40,MSFT,2019-06-12 10:10:00-04:00,131.25,131.38,131.25,131.37,32746
41,MSFT,2019-06-12 10:11:00-04:00,131.37,131.37,131.28,131.31,39061
42,MSFT,2019-06-12 10:12:00-04:00,131.31,131.32,131.2449,131.31,47154
43,MSFT,2019-06-12 10:13:00-04:00,131.31,131.31,131.18,131.255,29406
44,MSFT,2019-06-12 10:14:00-04:00,131.255,131.255,131.13,131.15,45940
45,MSFT,2019-06-12 10:15:00-04:00,131.15,131.185,131.12,131.175,30959
46,MSFT,2019-06-12 10:16:00-04:00,131.175,131.25,131.15,131.24,24965
47,MSFT,2019-06-12 10:17:00-04:00,131.23,131.24,131.1,131.13,28665
48,MSFT,2019-06-12 10:18:00-04:00,131.13,131.1599,131.1053,131.1053,20684
49,MSFT,2019-06-12 10:19:00-04:00,131.11,131.12,131.07,131.0937,63102
50,MSFT,2019-06-12 10:20:00-04:00,131.0937,131.14,131.0665,131.0665,66025
51,MSFT,2019-06-12 10:21:00-04:00,131.07,131.12,131.02,131.115,31477
52,MSFT,2019-06-12 10:22:00-04:00,131.115,131.17,131.115,131.12,26868
53,MSFT,2019-06-12 10:23:00-04:00,131.12,131.12,131.0384,131.0384,31110
54,MSFT,2019-06-12 10:24:00-04:00,131.0384,131.04,130.87,130.8896,68280
55,MSFT,2019-06-12 10:25:00-04:00,130.885,130.94,130.82,130.89,51346
56,MSFT,2019-06-12 10:26:00-04:00,130.89,130.91,130.83,130.905,34219
57,MSFT,2019-06-12 10:27:00-04:00,130.905,130.96,130.85,130.88,38283
58,MSFT,2019-06-12 10:28:00-04:00,130.88,130.93,130.835,130.85,26485
59,MSFT,2019-06-12 10:29:00-04:00,130.85,130.88,130.8,130.81,48066
60,MSFT,2019-06-12 10:30:00-04:00,130.81,130.8875,130.72,130.74,87298
61,MSFT,2019-06-12 10:31:00-04:00,130.73,130.82,130.71,130.82,39001
62,MSFT,2019-06-12 10:32:00-04:00,130.82,130.82,130.76,130.79,58835
63,MSFT,2019-06-12 10:33:00-04:00,130.79,130.82,130.74,130.82,34615
64,MSFT,2019-06-12 10:34:00-04:00,130.82,130.9,130.79,130.9,48678
65,MSFT,2019-06-12 10:35:00-04:00,130.9,131.05,130.895,131.03,57575
66,MSFT,2019-06-12 10:36:00-04:00,131.03,131.1,131.03,131.097,58669
67,MSFT,2019-06-12 10:37:00-04:00,131.097,131.15,131.0787,131.127,37875
68,MSFT,2019-06-12 10:38:00-04:00,131.127,131.19,131.09,131.19,33057
69,MSFT,2019-06-12 10:39:00-04:00,131.19,131.34,131.18,131.33,51266
70,MSFT,2019-06-12 10:40:00-04:00,131.34,131.38,131.29,131.325,50387
71,MSFT,2019-06-12 10:41:00-04:00,131.325,131.354,131.195,131.21,74471
72,MSFT,2019-06-12 10:42:00-04:00,131.21,131.23,131.16,131.19,41450
73,MSFT,2019-06-12 10:43:00-04:00,131.19,131.22,131.16,131.19,30589
74,MSFT,2019-06-12 10:44:00-04:00,131.19,131.19,131.13,131.155,34875
75,MSFT,2019-06-12 10:45:00-04:00,131.15,131.21,131.14,131.18,30789
76,MSFT,2019-06-12 10:46:00-04:00,131.18,131.36,131.18,131.345,42794
77,MSFT,2019-06-12 10:47:00-04:00,131.34,131.34,131.275,131.275,36608
78,MSFT,2019-06-12 10:48:00-04:00,131.275,131.35,131.265,131.28,44268
