,symbol,time,open,high,low,close,volume
0,PFE,2019-06-06 09:30:00-04:00,42.78,42.8,42.65,42.65,234848
1,PFE,2019-06-06 09:31:00-04:00,42.65,42.67,42.6,42.66,20946
2,PFE,2019-06-06 09:32:00-04:00,42.66,42.66,42.55,42.58,14902
3,PFE,2019-06-06 09:33:00-04:00,42.5735,42.59,42.5,42.5,22330
4,PFE,2019-06-06 09:34:00-04:00,42.495,42.54,42.49,42.53,20218
5,PFE,2019-06-06 09:35:00-04:00,42.535,42.54,42.48,42.5,53103
6,PFE,2019-06-06 09:36:00-04:00,42.5,42.55,42.5,42.5,21290
7,PFE,2019-06-06 09:37:00-04:00,42.51,42.56,42.505,42.54,46525
8,PFE,2019-06-06 09:38:00-04:00,42.535,42.57,42.52,42.57,24386
9,PFE,2019-06-06 09:39:00-04:00,42.565,42.58,42.54,42.55,29543
10,PFE,2019-06-06 09:40:00-04:00,42.55,42.665,42.54,42.655,77149
11,PFE,2019-06-06 09:41:00-04:00,42.655,42.76,42.655,42.75,63301
12,PFE,2019-06-06 09:42:00-04:00,42.75,42.75,42.69,42.73,41729
13,PFE,2019-06-06 09:43:00-04:00,42.74,42.75,42.69,42.725,19423
14,PFE,2019-06-06 09:44:00-04:00,42.72,42.75,42.715,42.745,24309
15,PFE,2019-06-06 09:45:00-04:00,42.745,42.8,42.735,42.79,66864
16,PFE,2019-06-06 09:46:00-04:00,42.795,42.8,42.785,42.79,39258
17,PFE,2019-06-06 09:47:00-04:00,42.79,42.8,42.73,42.75,41859
18,PFE,2019-06-06 09:48:00-04:00,42.745,42.78,42.74,42.75,50453
19,PFE,2019-06-06 09:49:00-04:00,42.75,42.79,42.75,42.78,29752
20,PFE,2019-06-06 09:50:00-04:00,42.78,42.84,42.78,42.835,35335
21,PFE,2019-06-06 09:51:00-04:00,42.83,42.86,42.8,42.85,50440
22,PFE,2019-06-06 09:52:00-04:00,42.85,42.86,42.82,42.83,52320
23,PFE,2019-06-06 09:53:00-04:00,42.83,42.83,42.73,42.78,39168
