,symbol,time,open,high,low,close,volume
0,PG,2019-05-17 09:30:00-04:00,107.05,107.3,107.05,107.3,879
1,PG,2019-05-17 09:31:00-04:00,107.38,107.5,107.3,107.48,15185
2,PG,2019-05-17 09:32:00-04:00,107.54,107.54,107.3,107.45,462343
3,PG,2019-05-17 09:33:00-04:00,107.45,107.56,107.4,107.56,24460
4,PG,2019-05-17 09:34:00-04:00,107.56,107.66,107.56,107.57,21408
5,PG,2019-05-17 09:35:00-04:00,107.58,107.63,107.43,107.43,20970
6,PG,2019-05-17 09:36:00-04:00,107.445,107.445,107.29,107.34,23189
7,PG,2019-05-17 09:37:00-04:00,107.34,107.49,107.315,107.48,12661
8,PG,2019-05-17 09:38:00-04:00,107.4786,107.6,107.4786,107.6,13851
9,PG,2019-05-17 09:39:00-04:00,107.59,107.69,107.59,107.65,12799
10,PG,2019-05-17 09:40:00-04:00,107.62,107.69,107.59,107.59,14020
11,PG,2019-05-17 09:41:00-04:00,107.59,107.72,107.59,107.72,20504
12,PG,2019-05-17 09:42:00-04:00,107.71,107.71,107.58,107.58,14034
13,PG,2019-05-17 09:43:00-04:00,107.58,107.64,107.53,107.56,11394
14,PG,2019-05-17 09:44:00-04:00,107.55,107.6,107.52,107.58,12489
15,PG,2019-05-17 09:45:00-04:00,107.585,107.63,107.55,107.58,8917
16,PG,2019-05-17 09:46:00-04:00,107.58,107.61,107.54,107.56,12429
17,PG,2019-05-17 09:47:00-04:00,107.56,107.61,107.56,107.6,10529
18,PG,2019-05-17 09:48:00-04:00,107.61,107.63,107.53,107.62,11466
19,PG,2019-05-17 09:49:00-04:00,107.63,107.69,107.61,107.69,12577
20,PG,2019-05-17 09:50:00-04:00,107.689,107.73,107.68,107.72,23493
21,PG,2019-05-17 09:51:00-04:00,107.72,107.72,107.58,107.66,15213
22,PG,2019-05-17 09:52:00-04:00,107.67,107.68,107.5901,107.65,6855
23,PG,2019-05-17 09:53:00-04:00,107.65,107.65,107.5,107.51,20886
24,PG,2019-05-17 09:54:00-04:00,107.51,107.59,107.51,107.54,15543
25,PG,2019-05-17 09:55:00-04:00,107.5374,107.55,107.49,107.5,7785
26,PG,2019-05-17 09:56:00-04:00,107.47,107.49,107.38,107.385,14023
27,PG,2019-05-17 09:57:00-04:00,107.385,107.47,107.38,107.47,17564
28,PG,2019-05-17 09:58:00-04:00,107.485,107.5,107.38,107.39,13895
29,PG,2019-05-17 09:59:00-04:00,107.39,107.425,107.35,107.39,14620
30,PG,2019-05-17 10:00:00-04:00,107.39,107.57,107.33,107.56,21517
31,PG,2019-05-17 10:01:00-04:00,107.56,107.66,107.56,107.63,11307
32,PG,2019-05-17 10:02:00-04:00,107.63,107.63,107.53,107.5432,12817
33,PG,2019-05-17 10:03:00-04:00,107.54,107.57,107.52,107.53,9355
34,PG,2019-05-17 10:04:00-04:00,107.53,107.57,107.49,107.57,16126
35,PG,2019-05-17 10:05:00-04:00,107.565,107.5672,107.515,107.515,4212
36,PG,2019-05-17 10:06:00-04:00,107.515,107.58,107.515,107.56,9306
37,PG,2019-05-17 10:07:00-04:00,107.56,107.59,107.53,107.57,8135
38,PG,2019-05-17 10:08:00-04:00,107.54,107.54,107.49,107.54,8647
39,PG,2019-05-17 10:09:00-04:00,107.53,107.58,107.52,107.56,5069
40,PG,2019-05-17 10:10:00-04:00,107.56,107.585,107.545,107.57,7271
41,PG,2019-05-17 10:11:00-04:00,107.57,107.65,107.57,107.61,11675
42,PG,2019-05-17 10:12:00-04:00,107.61,107.62,107.57,107.6,11990
43,PG,2019-05-17 10:13:00-04:00,107.6,107.65,107.59,107.61,7927
44,PG,2019-05-17 10:14:00-04:00,107.61,107.63,107.55,107.57,11947
45,PG,2019-05-17 10:15:00-04:00,107.56,107.59,107.53,107.59,7778
46,PG,2019-05-17 10:16:00-04:00,107.59,107.61,107.555,107.59,3369
47,PG,2019-05-17 10:17:00-04:00,107.59,107.63,107.57,107.63,6585
48,PG,2019-05-17 10:18:00-04:00,107.635,107.69,107.62,107.63,14987
49,PG,2019-05-17 10:19:00-04:00,107.63,107.63,107.5701,107.605,7862
50,PG,2019-05-17 10:20:00-04:00,107.605,107.63,107.58,107.605,6153
51,PG,2019-05-17 10:21:00-04:00,107.61,107.635,107.6001,107.625,8661
52,PG,2019-05-17 10:22:00-04:00,107.63,107.66,107.63,107.6513,7532
53,PG,2019-05-17 10:23:00-04:00,107.6513,107.715,107.6513,107.715,4435
54,PG,2019-05-17 10:24:00-04:00,107.71,107.71,107.685,107.685,8364
55,PG,2019-05-17 10:25:00-04:00,107.685,107.705,107.65,107.67,21413
56,PG,2019-05-17 10:26:00-04:00,107.67,107.67,107.65,107.66,7171
57,PG,2019-05-17 10:27:00-04:00,107.66,107.72,107.65,107.69,21440
58,PG,2019-05-17 10:28:00-04:00,107.69,107.7,107.67,107.69,6756
59,PG,2019-05-17 10:29:00-04:00,107.7,107.72,107.69,107.69,4914
60,PG,2019-05-17 10:30:00-04:00,107.69,107.715,107.685,107.685,4657
61,PG,2019-05-17 10:31:00-04:00,107.685,107.71,107.67,107.71,5961
62,PG,2019-05-17 10:32:00-04:00,107.71,107.73,107.7,107.7,7281
63,PG,2019-05-17 10:33:00-04:00,107.7,107.705,107.66,107.67,5427
64,PG,2019-05-17 10:34:00-04:00,107.67,107.7,107.6615,107.68,4706
65,PG,2019-05-17 10:35:00-04:00,107.68,107.68,107.65,107.68,6417
66,PG,2019-05-17 10:36:00-04:00,107.69,107.705,107.62,107.62,12994
67,PG,2019-05-17 10:37:00-04:00,107.63,107.6587,107.6158,107.64,29084
68,PG,2019-05-17 10:38:00-04:00,107.645,107.6552,107.59,107.59,11518
69,PG,2019-05-17 10:39:00-04:00,107.595,107.61,107.56,107.5805,8841
70,PG,2019-05-17 10:40:00-04:00,107.6,107.69,107.6,107.67,10070
71,PG,2019-05-17 10:41:00-04:00,107.67,107.71,107.64,107.64,13761
72,PG,2019-05-17 10:42:00-04:00,107.64,107.68,107.625,107.68,4658
73,PG,2019-05-17 10:43:00-04:00,107.68,107.7,107.66,107.69,14750
74,PG,2019-05-17 10:44:00-04:00,107.69,107.69,107.64,107.67,14835
75,PG,2019-05-17 10:45:00-04:00,107.67,107.705,107.67,107.7,4740
76,PG,2019-05-17 10:46:00-04:00,107.7,107.728,107.675,107.71,6546
77,PG,2019-05-17 10:47:00-04:00,107.7198,107.77,107.71,107.77,8887
78,PG,2019-05-17 10:48:00-04:00,107.76,107.76,107.7,107.71,5986
79,PG,2019-05-17 10:49:00-04:00,107.71,107.7143,107.685,107.7,6893
80,PG,2019-05-17 10:50:00-04:00,107.7,107.79,107.69,107.785,14879
81,PG,2019-05-17 10:51:00-04:00,107.785,107.81,107.77,107.8,11087
82,PG,2019-05-17 10:52:00-04:00,107.8,107.825,107.79,107.81,13523
83,PG,2019-05-17 10:53:00-04:00,107.81,107.82,107.79,107.79,8548
84,PG,2019-05-17 10:54:00-04:00,107.79,107.82,107.78,107.82,9184
85,PG,2019-05-17 10:55:00-04:00,107.81,107.81,107.77,107.79,6351
86,PG,2019-05-17 10:56:00-04:00,107.79,107.95,107.7883,107.92,13933
87,PG,2019-05-17 10:57:00-04:00,107.91,108.0,107.91,107.98,34183
88,PG,2019-05-17 10:58:00-04:00,107.99,107.99,107.93,107.95,12612
89,PG,2019-05-17 10:59:00-04:00,107.95,107.95,107.9,107.9,7298
90,PG,2019-05-17 11:00:00-04:00,107.9,107.93,107.85,107.87,11214
91,PG,2019-05-17 11:01:00-04:00,107.87,107.87,107.81,107.84,7982
92,PG,2019-05-17 11:02:00-04:00,107.84,107.885,107.81,107.87,9026
93,PG,2019-05-17 11:03:00-04:00,107.87,107.87,107.84,107.87,7046
94,PG,2019-05-17 11:04:00-04:00,107.87,107.89,107.83,107.84,7327
95,PG,2019-05-17 11:05:00-04:00,107.85,107.86,107.79,107.79,5680
96,PG,2019-05-17 11:06:00-04:00,107.7953,107.88,107.7953,107.865,5675
97,PG,2019-05-17 11:07:00-04:00,107.87,107.87,107.8053,107.87,11461
98,PG,2019-05-17 11:08:00-04:00,107.87,107.91,107.84,107.9,7889
99,PG,2019-05-17 11:09:00-04:00,107.9,107.9,107.84,107.8664,7042
100,PG,2019-05-17 11:10:00-04:00,107.8664,107.89,107.85,107.87,4445
101,PG,2019-05-17 11:11:00-04:00,107.85,107.87,107.84,107.85,3966
102,PG,2019-05-17 11:12:00-04:00,107.85,107.875,107.84,107.85,4364
103,PG,2019-05-17 11:13:00-04:00,107.86,107.88,107.837,107.8563,6354
104,PG,2019-05-17 11:14:00-04:00,107.8555,107.88,107.85,107.88,10130
105,PG,2019-05-17 11:15:00-04:00,107.88,107.96,107.875,107.91,12548
106,PG,2019-05-17 11:16:00-04:00,107.91,107.91,107.81,107.825,16858
107,PG,2019-05-17 11:17:00-04:00,107.82,107.86,107.82,107.85,7009
108,PG,2019-05-17 11:18:00-04:00,107.85,107.85,107.72,107.732,27693
109,PG,2019-05-17 11:19:00-04:00,107.732,107.74,107.71,107.71,8956
110,PG,2019-05-17 11:20:00-04:00,107.72,107.74,107.7092,107.71,5619
111,PG,2019-05-17 11:21:00-04:00,107.725,107.765,107.725,107.76,6189
112,PG,2019-05-17 11:22:00-04:00,107.76,107.77,107.73,107.745,6206
113,PG,2019-05-17 11:23:00-04:00,107.745,107.745,107.68,107.68,10744
114,PG,2019-05-17 11:24:00-04:00,107.68,107.75,107.65,107.75,9518
115,PG,2019-05-17 11:25:00-04:00,107.75,107.75,107.73,107.74,5482
116,PG,2019-05-17 11:26:00-04:00,107.74,107.7445,107.69,107.74,9467
117,PG,2019-05-17 11:27:00-04:00,107.74,107.78,107.74,107.75,11156
118,PG,2019-05-17 11:28:00-04:00,107.75,107.75,107.7,107.71,5046
119,PG,2019-05-17 11:29:00-04:00,107.71,107.71,107.67,107.71,4068
120,PG,2019-05-17 11:30:00-04:00,107.72,107.77,107.7193,107.76,7935
121,PG,2019-05-17 11:31:00-04:00,107.75,107.76,107.71,107.7406,18738
122,PG,2019-05-17 11:32:00-04:00,107.745,107.785,107.745,107.785,9564
123,PG,2019-05-17 11:33:00-04:00,107.77,107.7902,107.75,107.76,5503
124,PG,2019-05-17 11:34:00-04:00,107.76,107.79,107.755,107.7678,5805
125,PG,2019-05-17 11:35:00-04:00,107.7678,107.7678,107.74,107.76,3447
126,PG,2019-05-17 11:36:00-04:00,107.77,107.775,107.7167,107.7167,3689
127,PG,2019-05-17 11:37:00-04:00,107.7167,107.74,107.7,107.725,7157
128,PG,2019-05-17 11:38:00-04:00,107.72,107.73,107.7,107.73,7060
129,PG,2019-05-17 11:39:00-04:00,107.73,107.73,107.65,107.67,8914
