,symbol,time,open,high,low,close,volume
0,T,2019-06-07 09:30:00-04:00,32.25,32.25,32.17,32.23,10353
1,T,2019-06-07 09:31:00-04:00,32.22,32.25,32.17,32.24,446035
2,T,2019-06-07 09:32:00-04:00,32.24,32.3,32.2018,32.21,163323
3,T,2019-06-07 09:33:00-04:00,32.21,32.28,32.21,32.28,134769
4,T,2019-06-07 09:34:00-04:00,32.28,32.28,32.24,32.27,63922
5,T,2019-06-07 09:35:00-04:00,32.27,32.32,32.27,32.32,74785
6,T,2019-06-07 09:36:00-04:00,32.3123,32.35,32.31,32.32,131511
7,T,2019-06-07 09:37:00-04:00,32.32,32.39,32.31,32.38,149667
8,T,2019-06-07 09:38:00-04:00,32.3768,32.39,32.35,32.3532,73411
9,T,2019-06-07 09:39:00-04:00,32.3532,32.37,32.34,32.37,92065
10,T,2019-06-07 09:40:00-04:00,32.37,32.38,32.34,32.35,81597
11,T,2019-06-07 09:41:00-04:00,32.35,32.37,32.34,32.35,57403
12,T,2019-06-07 09:42:00-04:00,32.35,32.37,32.345,32.36,20493
13,T,2019-06-07 09:43:00-04:00,32.36,32.3666,32.35,32.35,58337
14,T,2019-06-07 09:44:00-04:00,32.35,32.367,32.34,32.3599,63154
15,T,2019-06-07 09:45:00-04:00,32.3599,32.36,32.34,32.3495,67779
16,T,2019-06-07 09:46:00-04:00,32.3462,32.35,32.3046,32.3059,93309
17,T,2019-06-07 09:47:00-04:00,32.3059,32.34,32.3,32.32,116489
18,T,2019-06-07 09:48:00-04:00,32.33,32.34,32.3177,32.3177,54288
19,T,2019-06-07 09:49:00-04:00,32.3177,32.33,32.31,32.32,37150
20,T,2019-06-07 09:50:00-04:00,32.32,32.35,32.31,32.3378,48413
21,T,2019-06-07 09:51:00-04:00,32.33,32.35,32.32,32.3359,93936
22,T,2019-06-07 09:52:00-04:00,32.33,32.335,32.3034,32.33,66631
23,T,2019-06-07 09:53:00-04:00,32.33,32.3351,32.32,32.325,72888
24,T,2019-06-07 09:54:00-04:00,32.325,32.325,32.31,32.311,43842
25,T,2019-06-07 09:55:00-04:00,32.32,32.33,32.31,32.3276,43576
26,T,2019-06-07 09:56:00-04:00,32.3276,32.33,32.32,32.32,18195
27,T,2019-06-07 09:57:00-04:00,32.33,32.34,32.32,32.335,63879
28,T,2019-06-07 09:58:00-04:00,32.3366,32.3371,32.32,32.325,18579
29,T,2019-06-07 09:59:00-04:00,32.325,32.335,32.32,32.32,84612
30,T,2019-06-07 10:00:00-04:00,32.32,32.33,32.32,32.325,50864
31,T,2019-06-07 10:01:00-04:00,32.3265,32.33,32.31,32.3101,135641
32,T,2019-06-07 10:02:00-04:00,32.31,32.32,32.31,32.315,44441
33,T,2019-06-07 10:03:00-04:00,32.318,32.33,32.3146,32.325,36921
34,T,2019-06-07 10:04:00-04:00,32.325,32.34,32.3201,32.335,65751
35,T,2019-06-07 10:05:00-04:00,32.34,32.34,32.3235,32.3349,70391
36,T,2019-06-07 10:06:00-04:00,32.3349,32.34,32.31,32.32,42726
37,T,2019-06-07 10:07:00-04:00,32.32,32.34,32.313,32.3383,72838
38,T,2019-06-07 10:08:00-04:00,32.3353,32.345,32.33,32.34,34351
39,T,2019-06-07 10:09:00-04:00,32.34,32.341,32.3217,32.335,29656
40,T,2019-06-07 10:10:00-04:00,32.335,32.35,32.33,32.345,62631
41,T,2019-06-07 10:11:00-04:00,32.345,32.345,32.32,32.32,17728
42,T,2019-06-07 10:12:00-04:00,32.32,32.3285,32.305,32.305,33420
43,T,2019-06-07 10:13:00-04:00,32.3061,32.31,32.3,32.305,36109
44,T,2019-06-07 10:14:00-04:00,32.3051,32.31,32.3,32.305,42991
45,T,2019-06-07 10:15:00-04:00,32.3035,32.32,32.3,32.3148,70134
46,T,2019-06-07 10:16:00-04:00,32.3153,32.32,32.3,32.31,36930
47,T,2019-06-07 10:17:00-04:00,32.305,32.31,32.27,32.275,48964
48,T,2019-06-07 10:18:00-04:00,32.271,32.3,32.27,32.295,52178
