,symbol,time,open,high,low,close,volume
0,UNH,2019-06-05 09:30:00-04:00,243.17,244.95,243.03,243.36,69073
1,UNH,2019-06-05 09:31:00-04:00,243.225,243.37,242.8836,243.14,17271
2,UNH,2019-06-05 09:32:00-04:00,243.36,243.61,243.14,243.14,8251
3,UNH,2019-06-05 09:33:00-04:00,243.11,243.54,242.95,243.54,12368
4,UNH,2019-06-05 09:34:00-04:00,243.54,244.19,243.39,243.6694,15210
5,UNH,2019-06-05 09:35:00-04:00,243.525,243.86,243.365,243.52,10374
6,UNH,2019-06-05 09:36:00-04:00,243.77,243.85,243.31,243.41,9365
7,UNH,2019-06-05 09:37:00-04:00,243.41,243.92,243.04,243.92,10962
8,UNH,2019-06-05 09:38:00-04:00,243.92,244.0,243.74,243.82,7107
9,UNH,2019-06-05 09:39:00-04:00,243.82,244.09,243.46,244.08,7645
10,UNH,2019-06-05 09:40:00-04:00,244.11,244.22,243.94,244.08,7218
11,UNH,2019-06-05 09:41:00-04:00,244.08,244.32,244.01,244.17,7615
12,UNH,2019-06-05 09:42:00-04:00,244.29,244.51,244.17,244.39,6383
13,UNH,2019-06-05 09:43:00-04:00,244.39,244.74,244.3,244.72,8629
14,UNH,2019-06-05 09:44:00-04:00,244.72,245.08,244.325,244.465,21591
15,UNH,2019-06-05 09:45:00-04:00,244.465,244.83,244.42,244.58,7967
16,UNH,2019-06-05 09:46:00-04:00,244.58,244.812,244.54,244.54,17717
17,UNH,2019-06-05 09:47:00-04:00,244.62,244.96,244.07,244.3525,52865
18,UNH,2019-06-05 09:48:00-04:00,244.38,244.8,244.35,244.36,10458
19,UNH,2019-06-05 09:49:00-04:00,244.46,244.83,244.46,244.82,8601
20,UNH,2019-06-05 09:50:00-04:00,244.87,245.02,244.77,245.0,21201
21,UNH,2019-06-05 09:51:00-04:00,245.0,245.4,244.86,245.1056,12891
22,UNH,2019-06-05 09:52:00-04:00,245.1056,245.23,243.93,243.9618,16289
23,UNH,2019-06-05 09:53:00-04:00,243.93,244.63,243.93,244.63,11206
24,UNH,2019-06-05 09:54:00-04:00,244.62,244.64,244.22,244.39,14702
25,UNH,2019-06-05 09:55:00-04:00,244.45,245.22,244.45,245.0,6329
26,UNH,2019-06-05 09:56:00-04:00,244.94,245.5,244.94,245.3,10739
27,UNH,2019-06-05 09:57:00-04:00,245.3,245.79,245.15,245.3985,13535
28,UNH,2019-06-05 09:58:00-04:00,245.3985,245.51,245.015,245.13,6955
29,UNH,2019-06-05 09:59:00-04:00,245.13,245.47,245.0,245.28,24483
30,UNH,2019-06-05 10:00:00-04:00,245.37,245.59,245.0,245.05,9870
31,UNH,2019-06-05 10:01:00-04:00,245.135,245.135,244.57,244.57,7603
32,UNH,2019-06-05 10:02:00-04:00,244.57,244.73,244.5,244.59,13929
33,UNH,2019-06-05 10:03:00-04:00,244.65,244.97,244.62,244.86,11075
34,UNH,2019-06-05 10:04:00-04:00,244.775,245.25,244.775,245.25,7969
35,UNH,2019-06-05 10:05:00-04:00,245.25,245.33,244.38,244.67,16976
36,UNH,2019-06-05 10:06:00-04:00,244.655,244.655,244.141,244.44,8627
37,UNH,2019-06-05 10:07:00-04:00,244.44,244.76,244.21,244.76,6587
38,UNH,2019-06-05 10:08:00-04:00,244.76,244.86,244.555,244.67,8669
39,UNH,2019-06-05 10:09:00-04:00,244.69,244.95,244.57,244.95,5869
40,UNH,2019-06-05 10:10:00-04:00,244.94,245.07,244.66,244.7,13575
41,UNH,2019-06-05 10:11:00-04:00,244.73,244.77,244.4,244.5877,12994
42,UNH,2019-06-05 10:12:00-04:00,244.65,244.8,244.5,244.59,7253
43,UNH,2019-06-05 10:13:00-04:00,244.5118,244.68,244.46,244.68,5984
