,symbol,time,open,high,low,close,volume
0,V,2019-06-12 09:30:00-04:00,170.09,170.8,170.09,170.635,160151
1,V,2019-06-12 09:31:00-04:00,170.72,170.76,170.2428,170.27,57947
2,V,2019-06-12 09:32:00-04:00,170.25,170.28,170.05,170.2,45797
3,V,2019-06-12 09:33:00-04:00,170.2,170.25,170.0852,170.0852,10481
4,V,2019-06-12 09:34:00-04:00,170.06,170.19,170.01,170.09,25132
5,V,2019-06-12 09:35:00-04:00,170.09,170.28,169.7,170.23,47382
6,V,2019-06-12 09:36:00-04:00,170.23,170.29,169.89,169.93,16374
7,V,2019-06-12 09:37:00-04:00,169.93,170.01,169.83,169.94,19706
8,V,2019-06-12 09:38:00-04:00,169.94,170.18,169.94,170.05,19048
9,V,2019-06-12 09:39:00-04:00,170.05,170.2184,169.99,170.19,13811
10,V,2019-06-12 09:40:00-04:00,170.22,170.45,170.22,170.45,16719
11,V,2019-06-12 09:41:00-04:00,170.45,170.76,170.41,170.64,23179
12,V,2019-06-12 09:42:00-04:00,170.6722,170.7,170.6,170.635,9697
13,V,2019-06-12 09:43:00-04:00,170.61,170.785,170.6,170.72,12973
14,V,2019-06-12 09:44:00-04:00,170.749,170.77,170.53,170.6799,17358
15,V,2019-06-12 09:45:00-04:00,170.6799,170.78,170.59,170.78,16226
16,V,2019-06-12 09:46:00-04:00,170.78,170.895,170.68,170.835,17907
17,V,2019-06-12 09:47:00-04:00,170.86,170.86,170.73,170.73,14354
18,V,2019-06-12 09:48:00-04:00,170.72,170.84,170.7,170.71,12837
19,V,2019-06-12 09:49:00-04:00,170.71,170.7541,170.42,170.42,21154
20,V,2019-06-12 09:50:00-04:00,170.42,170.7,170.415,170.6564,13964
21,V,2019-06-12 09:51:00-04:00,170.6564,170.79,170.6,170.6,16276
22,V,2019-06-12 09:52:00-04:00,170.6,170.7,170.52,170.545,15702
23,V,2019-06-12 09:53:00-04:00,170.545,170.57,170.45,170.54,8063
24,V,2019-06-12 09:54:00-04:00,170.52,170.59,170.47,170.51,7474
25,V,2019-06-12 09:55:00-04:00,170.51,170.66,170.4792,170.485,14146
26,V,2019-06-12 09:56:00-04:00,170.47,170.66,170.47,170.66,7994
27,V,2019-06-12 09:57:00-04:00,170.64,170.77,170.61,170.752,14557
28,V,2019-06-12 09:58:00-04:00,170.752,170.81,170.63,170.66,15926
29,V,2019-06-12 09:59:00-04:00,170.67,170.77,170.64,170.71,8644
30,V,2019-06-12 10:00:00-04:00,170.71,170.79,170.66,170.74,11870
31,V,2019-06-12 10:01:00-04:00,170.74,170.893,170.74,170.85,12847
32,V,2019-06-12 10:02:00-04:00,170.85,170.95,170.85,170.937,7195
33,V,2019-06-12 10:03:00-04:00,170.937,171.03,170.92,171.015,20273
34,V,2019-06-12 10:04:00-04:00,171.015,171.11,171.0,171.05,8717
35,V,2019-06-12 10:05:00-04:00,171.05,171.054,170.785,170.8,11509
36,V,2019-06-12 10:06:00-04:00,170.8,170.8,170.66,170.67,8754
37,V,2019-06-12 10:07:00-04:00,170.67,170.73,170.5,170.5,11828
38,V,2019-06-12 10:08:00-04:00,170.5116,170.62,170.51,170.6189,8737
39,V,2019-06-12 10:09:00-04:00,170.6189,170.6201,170.515,170.55,6352
40,V,2019-06-12 10:10:00-04:00,170.55,170.66,170.55,170.62,6087
41,V,2019-06-12 10:11:00-04:00,170.62,170.645,170.5779,170.64,9292
42,V,2019-06-12 10:12:00-04:00,170.64,170.64,170.565,170.62,8579
43,V,2019-06-12 10:13:00-04:00,170.62,170.635,170.55,170.62,7989
44,V,2019-06-12 10:14:00-04:00,170.615,170.66,170.53,170.6,7720
45,V,2019-06-12 10:15:00-04:00,170.6,170.62,170.56,170.61,11528
