,symbol,time,open,high,low,close,volume
0,XOM,2019-05-21 09:30:00-04:00,76.22,76.27,76.18,76.18,1729
1,XOM,2019-05-21 09:31:00-04:00,76.15,76.15,76.14,76.14,1100
2,XOM,2019-05-21 09:32:00-04:00,76.14,76.18,76.0,76.08,149326
3,XOM,2019-05-21 09:33:00-04:00,76.08,76.16,76.045,76.1063,34002
4,XOM,2019-05-21 09:34:00-04:00,76.1063,76.11,75.9537,75.9537,25302
5,XOM,2019-05-21 09:35:00-04:00,75.9537,76.01,75.93,75.965,14958
6,XOM,2019-05-21 09:36:00-04:00,75.965,76.045,75.95,76.0401,15027
7,XOM,2019-05-21 09:37:00-04:00,76.0401,76.05,76.01,76.02,10092
8,XOM,2019-05-21 09:38:00-04:00,76.01,76.0703,76.005,76.05,25796
9,XOM,2019-05-21 09:39:00-04:00,76.06,76.1,76.05,76.1,29466
10,XOM,2019-05-21 09:40:00-04:00,76.1,76.1001,76.065,76.095,29164
11,XOM,2019-05-21 09:41:00-04:00,76.1,76.15,76.09,76.095,17742
12,XOM,2019-05-21 09:42:00-04:00,76.09,76.1067,76.04,76.04,20698
13,XOM,2019-05-21 09:43:00-04:00,76.025,76.105,76.02,76.08,45998
14,XOM,2019-05-21 09:44:00-04:00,76.08,76.11,76.045,76.11,40827
15,XOM,2019-05-21 09:45:00-04:00,76.11,76.11,76.035,76.0368,16575
16,XOM,2019-05-21 09:46:00-04:00,76.04,76.125,76.03,76.115,17052
17,XOM,2019-05-21 09:47:00-04:00,76.12,76.16,76.11,76.12,30682
18,XOM,2019-05-21 09:48:00-04:00,76.12,76.17,76.12,76.15,37301
19,XOM,2019-05-21 09:49:00-04:00,76.15,76.195,76.14,76.15,15617
20,XOM,2019-05-21 09:50:00-04:00,76.15,76.155,76.06,76.0601,26531
21,XOM,2019-05-21 09:51:00-04:00,76.07,76.135,76.06,76.1,44158
22,XOM,2019-05-21 09:52:00-04:00,76.1,76.13,76.09,76.1,14628
23,XOM,2019-05-21 09:53:00-04:00,76.1,76.135,76.065,76.08,75135
24,XOM,2019-05-21 09:54:00-04:00,76.08,76.13,76.08,76.1028,34144
25,XOM,2019-05-21 09:55:00-04:00,76.1,76.105,76.06,76.07,27028
26,XOM,2019-05-21 09:56:00-04:00,76.07,76.12,76.07,76.12,7180
27,XOM,2019-05-21 09:57:00-04:00,76.12,76.15,76.11,76.11,12403
28,XOM,2019-05-21 09:58:00-04:00,76.105,76.145,76.1,76.13,22018
29,XOM,2019-05-21 09:59:00-04:00,76.13,76.16,76.11,76.115,43140
30,XOM,2019-05-21 10:00:00-04:00,76.115,76.21,76.115,76.18,33404
31,XOM,2019-05-21 10:01:00-04:00,76.2,76.2143,76.195,76.2,35130
32,XOM,2019-05-21 10:02:00-04:00,76.2,76.2,76.14,76.15,117645
33,XOM,2019-05-21 10:03:00-04:00,76.15,76.21,76.15,76.18,14238
34,XOM,2019-05-21 10:04:00-04:00,76.18,76.18,76.14,76.14,20135
35,XOM,2019-05-21 10:05:00-04:00,76.1467,76.1739,76.14,76.16,19385
36,XOM,2019-05-21 10:06:00-04:00,76.16,76.16,76.12,76.13,57962
37,XOM,2019-05-21 10:07:00-04:00,76.13,76.19,76.13,76.17,13891
38,XOM,2019-05-21 10:08:00-04:00,76.16,76.17,76.14,76.1553,9251
39,XOM,2019-05-21 10:09:00-04:00,76.15,76.19,76.13,76.1747,13021
40,XOM,2019-05-21 10:10:00-04:00,76.18,76.21,76.17,76.19,23869
41,XOM,2019-05-21 10:11:00-04:00,76.2,76.21,76.16,76.1645,13840
42,XOM,2019-05-21 10:12:00-04:00,76.161,76.19,76.16,76.17,11835
43,XOM,2019-05-21 10:13:00-04:00,76.17,76.17,76.13,76.14,13088
44,XOM,2019-05-21 10:14:00-04:00,76.14,76.14,76.12,76.125,12492
45,XOM,2019-05-21 10:15:00-04:00,76.12,76.1927,76.12,76.19,10063
46,XOM,2019-05-21 10:16:00-04:00,76.19,76.24,76.19,76.24,9675
47,XOM,2019-05-21 10:17:00-04:00,76.24,76.24,76.1901,76.1901,22402
48,XOM,2019-05-21 10:18:00-04:00,76.1901,76.2051,76.19,76.19,6742
49,XOM,2019-05-21 10:19:00-04:00,76.19,76.2,76.16,76.19,12715
50,XOM,2019-05-21 10:20:00-04:00,76.19,76.2,76.17,76.17,10767
51,XOM,2019-05-21 10:21:00-04:00,76.165,76.19,76.16,76.18,9270
52,XOM,2019-05-21 10:22:00-04:00,76.18,76.225,76.18,76.22,12009
53,XOM,2019-05-21 10:23:00-04:00,76.22,76.2334,76.22,76.225,5559
54,XOM,2019-05-21 10:24:00-04:00,76.2253,76.23,76.205,76.225,8755
55,XOM,2019-05-21 10:25:00-04:00,76.23,76.25,76.23,76.2499,10551
56,XOM,2019-05-21 10:26:00-04:00,76.25,76.26,76.23,76.24,23139
57,XOM,2019-05-21 10:27:00-04:00,76.23,76.25,76.23,76.25,9037
58,XOM,2019-05-21 10:28:00-04:00,76.25,76.25,76.215,76.215,10690
59,XOM,2019-05-21 10:29:00-04:00,76.215,76.26,76.215,76.25,11661
60,XOM,2019-05-21 10:30:00-04:00,76.25,76.28,76.25,76.26,14230
61,XOM,2019-05-21 10:31:00-04:00,76.26,76.2851,76.25,76.255,9485
62,XOM,2019-05-21 10:32:00-04:00,76.25,76.255,76.22,76.25,19354
63,XOM,2019-05-21 10:33:00-04:00,76.255,76.29,76.25,76.29,7938
64,XOM,2019-05-21 10:34:00-04:00,76.285,76.29,76.26,76.265,10237
65,XOM,2019-05-21 10:35:00-04:00,76.265,76.27,76.255,76.255,5275
66,XOM,2019-05-21 10:36:00-04:00,76.26,76.29,76.24,76.24,15576
67,XOM,2019-05-21 10:37:00-04:00,76.24,76.24,76.22,76.24,4611
68,XOM,2019-05-21 10:38:00-04:00,76.24,76.25,76.23,76.245,14534
69,XOM,2019-05-21 10:39:00-04:00,76.2427,76.28,76.235,76.28,12282
